id	category	tags	topic_text	trivia_fact	source
prometheus-stack/t001	prometheus-stack	promql,borgmon,query-language	PromQL Inspired by Borgmon	PromQL, Prometheus's query language, was directly inspired by Borgmon's query language at Google. Borgmon used a similar expression-based approach for selecting and aggregating time series, but it was never publicly documented — PromQL is its spiritual open-source successor.	prometheus.io/docs
prometheus-stack/t002	prometheus-stack	pull-model,push,debate	Pull vs Push Controversy	Prometheus's pull-based model (scraping HTTP endpoints) was controversial because most monitoring systems used push (agents send data to a central server). Defenders argue pull simplifies service discovery and avoids flood risk; critics say pull fails at massive scale, prompting Pushgateway as a compromise.	Prometheus design docs
prometheus-stack/t003	prometheus-stack	alertmanager,dedup,routing	Alertmanager Deduplication	Alertmanager was designed with sophisticated deduplication, grouping, and silencing because Google engineers experienced alert fatigue at Borgmon scale. It groups related alerts into single notifications and routes them by severity, team, and time of day.	prometheus.io/docs/alerting
prometheus-stack/t004	prometheus-stack	scrape-interval,fifteen-seconds,default	Why 15-Second Scrape Default	Prometheus defaults to a 15-second scrape interval, balancing resolution against resource cost. At Google, Borgmon used 10-second intervals for critical systems. Going below 10 seconds creates significant CPU and storage pressure — most teams find 15-30 seconds sufficient for alerting.	Prometheus configuration docs
prometheus-stack/t005	prometheus-stack	thanos,naming,marvel	Thanos Named After Marvel Villain	Thanos, the long-term storage system for Prometheus, is named after the Marvel Comics villain. The joke: Thanos collects Infinity Stones, and the project collects Prometheus metrics for infinite retention. It was created at Improbable in 2017.	thanos.io
prometheus-stack/t006	prometheus-stack	cortex,alternative,multi-tenant	Cortex Multi-Tenancy	Cortex was created at Weaveworks as a horizontally-scalable, multi-tenant Prometheus backend. It was the first CNCF project to provide long-term storage and multi-tenancy for Prometheus. Grafana Labs later forked Cortex's code to create Mimir.	cortexmetrics.io
prometheus-stack/t007	prometheus-stack	victoria-metrics,alternative,performance	Victoria Metrics Performance	VictoriaMetrics, created by Aliaksandr Valialkin, claims up to 20x better performance than Prometheus for ingestion and query. It uses a custom compression algorithm and storage engine optimized for time-series data, and can act as a drop-in Prometheus replacement.	victoriametrics.com
prometheus-stack/t008	prometheus-stack	label-cardinality,explosion,antipattern	Label Cardinality Explosion	Adding a high-cardinality label (like user_id or request_id) to a Prometheus metric is the most common antipattern. A metric with 10 labels each having 100 values creates 10^20 potential time series. Prometheus documentation explicitly warns against this.	prometheus.io/docs/practices
prometheus-stack/t009	prometheus-stack	recording-rules,precompute,performance	Recording Rules for Speed	Prometheus recording rules pre-compute expensive queries and store results as new time series. This concept came from Borgmon, where pre-aggregation was essential because querying raw data at Google's scale was too slow for dashboards.	prometheus.io/docs/configuration
prometheus-stack/t010	prometheus-stack	exposition-format,openmetrics,standard	OpenMetrics Standard	Prometheus's text exposition format became so widely adopted that it was formalized as the OpenMetrics standard under CNCF. OpenMetrics adds features like exemplars (linking metrics to traces) and created-timestamp, while maintaining backward compatibility.	openmetrics.io
prometheus-stack/t011	prometheus-stack	cncf,graduation,second	Second CNCF Graduate	Prometheus became the second project to graduate from CNCF in August 2018, after Kubernetes. Graduation requires demonstrating production adoption, healthy contributor diversity, and security audit completion — Prometheus had all three within two years of joining CNCF.	cncf.io
prometheus-stack/t012	prometheus-stack	remote-write,federation,scaling	Remote Write Protocol	Prometheus remote write protocol was created to solve the single-server limitation. It allows Prometheus to forward samples to external long-term storage (Thanos, Cortex, Mimir, VictoriaMetrics). The protocol was standardized in 2023 as Remote Write 2.0 with improved efficiency.	prometheus.io/docs/specs
