id	category	tags	topic_text	trivia_fact	source
server-hardware/t001	server-hardware	rack-unit,1u,eia	Rack Unit Origin	A rack unit (1U) equals 1.75 inches (44.45mm), standardized by the EIA in the RS-310 specification. Servers are described as 1U, 2U, or 4U based on how many rack units they occupy. The 1.75-inch measurement dates back to early 19-inch telecom racks from the 1920s.	eia-310-d
server-hardware/t002	server-hardware	dimm,memory,naming	DIMM Acronym	DIMM stands for Dual In-line Memory Module, meaning it has electrical contacts on both sides of the circuit board that function independently. Its predecessor, the SIMM (Single In-line Memory Module), had contacts on both sides but they were electrically identical.	jedec-memory-standards
server-hardware/t003	server-hardware	ecc,hamming,error-correction	ECC Memory	ECC (Error-Correcting Code) memory can detect and correct single-bit errors automatically. The underlying math comes from Richard Hamming's work at Bell Labs in 1950. Hamming invented his error-correcting codes after getting frustrated that his programs kept failing due to bit errors on relay computers.	hamming-1950-bell-labs
server-hardware/t004	server-hardware	cpu,cores,clock-speed	Server CPU Design	Server CPUs prioritize more cores at lower clock speeds rather than fewer fast cores. This is because server workloads are typically parallelizable — running many threads simultaneously matters more than single-thread speed. A 64-core server CPU may run at 2.0 GHz while a desktop chip runs at 5.0 GHz.	intel-xeon-design
server-hardware/t005	server-hardware	nic,teaming,bonding	NIC Teaming	NIC teaming (Linux calls it bonding) combines multiple network interfaces into one logical link for redundancy and bandwidth. The concept dates to the IEEE 802.3ad Link Aggregation standard (2000). Linux supports seven bonding modes, from simple active-backup to 802.3ad LACP.	ieee-802.3ad
server-hardware/t006	server-hardware	hot-swap,reliability	Hot-Swap Design	Hot-swap means replacing a component without shutting down the system. Server power supplies, fans, and drives are designed for hot-swap because server downtime costs roughly $5,600 per minute on average. The electrical connectors are staggered so ground pins connect first.	itic-downtime-survey
server-hardware/t007	server-hardware	blade,pizza-box,form-factor	Blade vs Pizza Box	"Pizza box" servers are traditional 1U/2U rackmounts — flat like pizza boxes. Blade servers slide vertically into a shared chassis that provides power, cooling, and networking. Blades offer higher density but lock you into a vendor's chassis ecosystem.	datacenter-design
server-hardware/t008	server-hardware	ipmi,remote,management	IPMI Purpose	IPMI (Intelligent Platform Management Interface) exists so administrators can manage servers even when the OS is crashed, hung, or not installed. You can power cycle, view the console, and mount virtual media remotely — essential when your server is in a datacenter hundreds of miles away.	intel-ipmi-spec
server-hardware/t009	server-hardware	bmc,embedded-os	BMC Hidden OS	The BMC (Baseboard Management Controller) on every server runs its own independent operating system, typically a small Linux or RTOS on an ARM chip. It has its own network stack, web server, and IP address. Security researchers have found that many BMC firmwares ship with hardcoded credentials.	bmc-security-research
server-hardware/t010	server-hardware	numa,memory,architecture	NUMA Architecture	NUMA (Non-Uniform Memory Access) means each CPU socket has its own local memory that it can access faster than remote memory attached to another socket. NUMA-unaware applications can suffer 30-40% performance penalties because they randomly access slow remote memory.	numa-architecture
server-hardware/t011	server-hardware	pcie,expansion,lanes	PCIe Generations	PCIe bandwidth doubles with each generation: PCIe 3.0 delivers ~1 GB/s per lane, PCIe 4.0 doubles to ~2 GB/s, and PCIe 5.0 reaches ~4 GB/s per lane. A x16 slot at PCIe 5.0 provides 64 GB/s — fast enough to bottleneck on other components.	pci-sig
server-hardware/t012	server-hardware	19-inch,rack,telecom	19-Inch Rack Width	The 19-inch rack width standard predates computers entirely. It was originally designed for telephone switching equipment in the early 1900s by AT&T's Western Electric. The width was chosen to fit standard relay panels, and the entire server industry inherited it.	western-electric-history
