id	category	tags	topic_text	trivia_fact	source
chaos-engineering/t001	chaos-engineering	netflix,chaos-monkey,history	Chaos Monkey Origin	Netflix created Chaos Monkey in 2011 to randomly terminate virtual machine instances in production. The motivation was Netflix's migration to AWS — they needed confidence that their systems could survive the inherent unreliability of cloud infrastructure. The tool was open-sourced in 2012.	netflix-techblog
chaos-engineering/t002	chaos-engineering	netflix,simian-army,tools	The Simian Army	Netflix built an entire "Simian Army" of chaos tools: Chaos Monkey (kills instances), Chaos Gorilla (takes out an availability zone), Chaos Kong (simulates region failure), Latency Monkey (injects delays), Conformity Monkey (finds non-conforming instances), and Janitor Monkey (cleans unused resources).	netflix-techblog
chaos-engineering/t003	chaos-engineering	principles,netflix,theory	Principles of Chaos	The Principles of Chaos Engineering (principlesofchaos.org) were written in 2014 by Netflix engineers including Casey Rosenthal and Nora Jones. The document formalized chaos engineering as a discipline: define steady state, hypothesize, introduce real-world events, and look for differences.	principlesofchaos.org
chaos-engineering/t004	chaos-engineering	game-days,military,practice	Game Days	"Game days" — planned exercises to test system resilience — borrow their name from military war games and disaster preparedness drills. Amazon popularized game days internally after the 2004 holiday season outages. Jesse Robbins, Amazon's "Master of Disaster," championed the practice.	jesserobbins.com
chaos-engineering/t005	chaos-engineering	aws,outages,justification	AWS Outages as Justification	Major AWS outages (S3 in 2017, us-east-1 in 2017 and 2020) actually helped justify chaos engineering budgets. Engineering managers could point to real multi-hour outages affecting thousands of companies and argue that proactive failure testing was cheaper than reactive recovery.	aws-post-event-summaries
chaos-engineering/t006	chaos-engineering	gremlin,business,chaos	Chaos as a Business	Gremlin Inc., founded in 2016 by former Netflix and Amazon engineers, built a venture-backed business around controlled chaos injection. The company offers "Failure as a Service" — a commercial platform for safely running chaos experiments without building custom tooling.	gremlin.com
chaos-engineering/t007	chaos-engineering	steady-state,hypothesis,method	Steady State Hypothesis	The "steady state hypothesis" is chaos engineering's key scientific concept. Before injecting failure, you define measurable indicators of normal system behavior (throughput, error rate, latency). The experiment tests whether the steady state holds under turbulent conditions, not whether the system "works."	principlesofchaos.org
chaos-engineering/t008	chaos-engineering	litmus,kubernetes,cncf	LitmusChaos for Kubernetes	LitmusChaos, created by MayaData (now part of the CNCF landscape), brought chaos engineering natively to Kubernetes. It uses custom resources (ChaosExperiments, ChaosEngines) to define and run chaos experiments as Kubernetes-native objects, fitting naturally into GitOps workflows.	litmuschaos.io
chaos-engineering/t009	chaos-engineering	blast-radius,safety,practice	Blast Radius Control	The term "blast radius" in chaos engineering comes from explosives engineering. A core principle is starting with the smallest possible blast radius — one instance, one user, one request — and gradually expanding. Netflix calls this "minimizing the blast radius while maximizing learning."	netflix-techblog
chaos-engineering/t010	chaos-engineering	resilience,antifragile,theory	Beyond Resilience	Chaos engineering draws from Nassim Taleb's concept of "antifragility" — systems that get stronger from stress, not just survive it. The goal is not merely resilience (surviving failure) but antifragility (improving because of failure). Each experiment that reveals a weakness makes the system stronger once fixed.	taleb-antifragile
