---
tags:
- devops
- l1
- flashcard-deck
- cicd
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [CI/CD](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
cicd/01040d4c4b8f	cicd	hard	cicd, pipeline, testing, secrets	How do you measure your CI/CD quality? Are there any metrics or KPIs you are using for measuring the quality?	Measuring the quality of CI/CD processes is crucial to identify areas for improvement, ensure efficient and reliable software delivery, and achieve continuous improvement. Here are some commonly used metrics and KPIs (Key Performance Indicators) to measure CI/CD quality:\n\n1. Build Success Rate: This metric measures the percentage of successful builds compared to the total number of builds. A high build success rate indicates that the majority of builds are successful and the CI/CD pipeline is stable.\n2.\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/011-how-do-you-measure-your-cicd-quality-are-there-any.txt
cicd/0b879901c3fb	cicd	hard	cicd, pipeline, testing, deployment	How would you structure/implement CD for an application which depends on several other applications?	Implementing Continuous Deployment (CD) for an application that depends on several other applications requires careful planning and coordination to ensure smooth and efficient deployment of changes across the entire ecosystem. Here are some general steps to structure/implement CD for an application with dependencies:\n\n1. Define the deployment pipeline\n2. Automate the deployment process\n3. Version control and dependency management\n4. Continuous integration and testing\n5. Rolling deployments\n6. Monitor and manage dependencies\n7. Testing across the ecosystem\n8.\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/010-how-would-you-structureimplement-cd-for-an-applica.txt
cicd/1044513ea71b	cicd	easy	cicd, testing, deployment	What is CI/CD and why is it important in DevOps?	Automation of the building, testing, and deployment of apps.\n\nName origin: CI = Continuous Integration (merge + test frequently). CD = Continuous Delivery (automated release pipeline) or Continuous Deployment (auto-deploy to prod).\n\nFun fact: CI was popularized by Martin Fowler and Kent Beck in early 2000s Extreme Programming (XP).\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/041-what-is-cicd.txt
cicd/13253baeffd5	cicd	medium	cicd, pipeline, testing	What is an Action in GitHub Actions?	An action is the smallest unit in a workflow. It includes the commands to execute as part of the job.\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/034-what-is-an-action-in-github-actions.txt
cicd/166b8901da48	cicd	medium	cicd, pipeline, stages	How do you perform plan capacity for your CI/CD resources? (e.g. servers, storage, etc.)	Capacity planning for CI/CD resources involves estimating the resources required to support the CI/CD pipeline and ensuring that the infrastructure has enough capacity to meet the demands of the pipeline. Here are some steps to perform capacity planning for CI/CD resources:\n\n1. Analyze workload\n2. Monitor current usage\n3. Identify resource bottlenecks\n4. Forecast future demand\n5. Plan for growth\n6. Consider scalability and elasticity\n7. Evaluate cost and budget\n8.\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/009-how-do-you-perform-plan-capacity-for-your-cicd-res.txt
cicd/1c8ad834f736	cicd	medium	cicd, secrets, pipeline	What are the advantages of Jenkins over its competitors? Can you compare it to one of the following systems?	Jenkins has several advantages over its competitors, including Travis, Bamboo, TeamCity, and CircleCI. Here are some of the key advantages:\n\n1. Open-source and free\n2. Customizable and flexible\n3. Wide range of integrations and Plugins\n4. Active and supportive community\n\nWhen comparing Jenkins to its competitors, there are some key differences in terms of features and capabilities. For example:\n\n- Travis: Travis is a cloud-based CI/CD platform that is known for its ease of use and fast setup.\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/013-what-are-the-advantages-of-jenkins-over-its-compet.txt
cicd/1e25aa8eec4e	cicd	medium	cicd, triggers, pipeline	How did you report build results to users? What ways are there to report the results?	You can report via:\n  * Emails\n  * Messaging apps\n  * Dashboards\n\nEach has its own disadvantages and advantages. Emails for example, if sent too often, can be eventually disregarded or ignored.\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/019-how-did-you-report-build-results-to-users-what-way.txt
cicd/220244cf7c51	cicd	hard	cicd, pipeline, testing, artifacts	You need to run unit tests every time a change submitted to a given project. Describe in details how your pipeline would look like and what will be executed in each stage	The pipelines will have multiple stages:\n\n  * Clone the project\n  * Install test dependencies (for example, if I need tox package to run the tests, I will install it in this stage)\n  * Run unit tests\n  * (Optional) report results (For example an email to the users)\n  * Archive the relevant logs/files\n\nRemember: typical pipeline stages: Source -> Build -> Test -> Deploy. Mnemonic: 'Source Builds Tests Deployed.'	projects/knowledge/interview/cicd/020-you-need-to-run-unit-tests-every-time-a-change-sub.txt
cicd/27d606ea7fe7	cicd	medium	cicd, pipeline, testing	How to add a Workflow to a repository?	"CLI:\n\n1. Create the directory `.github/workflows` in the repository\n2. Add a YAML file\n\nUI:\n\n1. In the repository page, click on ""Actions""\n2. Choose workflow and click on ""Set up this workflow""\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix."	projects/knowledge/interview/cicd/037-how-to-add-a-workflow-to-a-repository.txt
cicd/281fcd83c19a	cicd	medium	cicd, pipeline, testing, deployment	What is the difference between Continuous Integration, Continuous Delivery, and Continuous Deployment?	These are three related but distinct practices in modern software development:\n\nContinuous Integration (CI):\n- Developers frequently merge code to shared repository\n- Each merge triggers automated build and tests\n- Catches integration issues early\n- Goal: Always have working, tested code in main branch\n\nContinuous Delivery (CD):\n- Extends CI: code is always in deployable state\n- Automated pipeline builds, tests, and prepares releases\n- Deployment to production requires MANUAL approval\n- Goal: Can deploy any version at any time with one click\n\nContinuous Deployment:\\n\nRemember: shift left — run security scanning, linting, and testing as early as possible in the pipeline. The later you find a bug, the more expensive it is to fix.	projects/knowledge/interview/cicd/053-ci-vs-cd.txt
