---
tags:
- linux
- l1
- flashcard-deck
- bash-scripting
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Bash / Shell Scripting](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
bash/07b6dc8d3502	bash	easy	bash, commands, redirection	How do you append the output of a command to a file?	Using the >> operator.\n\nRemember: > overwrites the file, >> appends to it. Mnemonic: one arrow = one shot (overwrite), two arrows = add more.\n\nExample: echo 'new line' >> logfile.txt adds without destroying existing content. Use > only when you want a fresh file.	projects/knowledge/interview/bash/038-append-to-file.txt
bash/0a8700fcd06f	bash	easy	bash, scripting, permissions	How do you make a shell script executable?	Give it execute permission (e.g., chmod +x script.sh) and ensure it has a proper shebang (#!/bin/bash) if run by name.\n\nExample: #!/usr/bin/env bash is preferred over #!/bin/bash — env finds bash in $PATH for portability.\n\nName origin: 'sharp' (#) + 'bang' (!) = shebang. Also called hashbang.\n\nRemember: cut -d',' -f1 extracts the first comma-separated field. -d sets delimiter, -f selects fields. For complex parsing, prefer awk.	projects/knowledge/interview/bash/027-make-script-executable.txt
bash/12bbfdb962c0	bash	medium	bash, scripting, source	How do you run a script in the current shell environment?	Use the source command (or .) like source script.sh (runs the script in the current shell, so its environment changes persist).\n\nRemember: source script.sh (or . script.sh) runs in the current shell — variables and functions persist after execution. ./script.sh runs in a subshell — changes are lost.\n\nGotcha: sourcing a script that calls 'exit' will close your current terminal! Use 'return' in sourced scripts instead of 'exit.'	projects/knowledge/interview/bash/028-run-script-in-current-shell.txt
bash/158488006f18	bash	medium	bash	Generate 8 digit random number	shuf -i 10000000-99999999 -n 1\n\nExample: $RANDOM gives a random integer 0-32767. For larger ranges, use shuf, /dev/urandom, or openssl rand. shuf is the simplest for integer ranges.	projects/knowledge/interview/bash/020-generate-8-digit-random-number.txt
bash/1608eb5716f1	bash	medium	bash, control-flow, debugging, scripting	How do you debug shell scripts?	Answer depends on the language you are using for writing your scripts. If Bash is used for example then:\n\n  * Adding -x to the script I'm running in Bash\n  * Old good way of adding echo statements\n\nIf Python, then using pdb is very useful.\n\nRemember: for complex text processing, consider Python over bash. Bash excels at file operations and command orchestration; Python excels at data manipulation and error handling.	projects/knowledge/interview/bash/016-how-do-you-debug-shell-scripts.txt
bash/16911028970e	bash	medium	bash, networking, security	What command is used for security audits and network scanning?	nmap (Network Mapper). It discovers hosts, open ports, running services, and OS versions on a network. Common usage: `nmap -sV -sC <target>` for service detection with default scripts.\n\nExample: sed -i 's/old/new/g' file.txt replaces all occurrences in-place. -i flag edits the file directly (use -i.bak for backup).	projects/knowledge/interview/bash/043-nmap-command.txt
bash/1a6db7cae0ea	bash	easy	bash	What is the ternary operator? How do you use it in bash?	"A short way of using if/else. An example:\n\n[[ $a = 1 ]] && b=""yes, equal"" || b=""nope""\n\nGotcha: bash scripts should start with set -euo pipefail for strict error handling. Without it, errors silently continue, producing wrong results."	projects/knowledge/interview/bash/021-what-is-the-ternary-operator-how-do-you-use-it-in-.txt
bash/1c9a83a1b845	bash	medium	bash, scripting, variables	What does ${VAR:=VALUE} accomplish?	It assigns VALUE to VAR only if VAR is unset or null.\n\nGotcha: bash scripts should start with set -euo pipefail for strict error handling. Without it, errors silently continue, producing wrong results.	projects/knowledge/interview/bash/027-default-value-assignment.txt
bash/1ea8c33c99cd	bash	easy	bash, background, jobs	How do you run a command in the background in Bash?	Append an ampersand (&) to the command (e.g., ./long_task & runs long_task in the background).\n\nGotcha: bash scripts should start with set -euo pipefail for strict error handling. Without it, errors silently continue, producing wrong results.	projects/knowledge/interview/bash/035-run-command-in-background.txt
bash/1f721f3a5161	bash	easy	bash, scripting	How can you create a temporary file safely in a script?	"By using the mktemp utility.\n\nGotcha: always quote variables in bash: ""$var"" prevents word splitting and glob expansion. Unquoted variables are the #1 source of bash bugs.\n\nRemember: bash is powerful but fragile. Use shellcheck (shellcheck.net) to catch common errors. It finds bugs that even experienced developers miss."	projects/knowledge/interview/bash/032-mktemp-command.txt
