---
tags:
- datacenter
- l1
- flashcard-deck
- datacenter-oob-and-provisioning
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Out-of-Band Management](../../../../library/portal/topics.md) | **Domain:** Datacenter & Hardware
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
datacenter/racadm-001	datacenter	medium	datacenter, idrac, racadm	What is RACADM and when do you use it?	RACADM (Remote Access Controller Admin) is Dell's CLI for managing iDRAC. Use it for headless server configuration: setting IP addresses, resetting iDRAC, updating firmware, and querying hardware inventory. Example: racadm getconfig -g cfgLanNetworking\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/racadm-002	datacenter	medium	datacenter, racadm	How do you reset an iDRAC using RACADM?	racadm racreset soft (graceful reset) or racadm racreset hard (forced reset). Use when iDRAC web UI is unresponsive. Can also run locally: racadm -r <idrac-ip> -u admin -p pass racreset\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/racadm-003	datacenter	medium	datacenter, racadm	How do you set the iDRAC IP address via RACADM from the host OS?	racadm setniccfg -s 10.0.0.50 255.255.255.0 10.0.0.1. Can also use: racadm set iDRAC.IPv4.Address 10.0.0.50. Requires the local RACADM package installed on the host.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/redfish-001	datacenter	medium	datacenter, redfish, api	What is Redfish and why is it replacing IPMI?	Redfish is a RESTful API standard (DMTF) for server management using JSON over HTTPS. Replaces IPMI's binary protocol. Benefits: TLS encryption, role-based access, scriptable with curl/Python, richer data model.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.\n\nRemember: Redfish = modern replacement for IPMI. RESTful JSON over HTTPS vs. IPMI's binary protocol. Scriptable with curl: curl -k -u admin:pass https://bmc-ip/redfish/v1/Systems/1.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/redfish-002	datacenter	hard	datacenter, redfish	How do you power cycle a server using the Redfish API?	"curl -k -u admin:pass -X POST https://<idrac-ip>/redfish/v1/Systems/System.Embedded.1/Actions/ComputerSystem.Reset -d '{\ResetType\"":\""ForceRestart\""}' -H 'Content-Type: application/json'""\n\nRemember: Redfish = modern replacement for IPMI. RESTful JSON over HTTPS vs. IPMI's binary protocol. Scriptable with curl: curl -k -u admin:pass https://bmc-ip/redfish/v1/Systems/1.\n\nGotcha: always calculate power at full load, not idle. A server may idle at 200W but spike to 700W under CPU stress. Plan PDU capacity for peak, not average.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely."	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/redfish-003	datacenter	medium	datacenter, redfish	How do you query server health via Redfish?	curl -k -u admin:pass https://<idrac-ip>/redfish/v1/Systems/System.Embedded.1 | jq '{Health: .Status.Health, Power: .PowerState, Model: .Model}'. Returns JSON with health status, power state, and hardware model.\n\nRemember: Redfish = modern replacement for IPMI. RESTful JSON over HTTPS vs. IPMI's binary protocol. Scriptable with curl: curl -k -u admin:pass https://bmc-ip/redfish/v1/Systems/1.\n\nGotcha: always verify network changes with a second connection (iDRAC/console) before applying. A bad IP change on the only interface locks you out remotely.	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/idrac-001	datacenter	easy	datacenter, idrac	What is iDRAC and what can you do with it?	iDRAC (Integrated Dell Remote Access Controller) is Dell's BMC. Provides: remote KVM console, power control, hardware monitoring, virtual media (mount ISO remotely), firmware updates, and serial-over-LAN. Accessible even when OS is down.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.	training/library/cheatsheets/datacenter.cheatsheet.md
datacenter/idrac-002	datacenter	medium	datacenter, idrac	What is the iDRAC Lifecycle Controller?	Lifecycle Controller is embedded firmware for hardware deployment and updates. Provides: OS deployment via virtual media, firmware update repository, hardware configuration export/import (SCP profiles), and hardware diagnostics — all without a running OS.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.	training/library/drills/datacenter_drills.md
datacenter/idrac-003	datacenter	hard	datacenter, idrac	How do you export and import server configuration profiles (SCP) with iDRAC?	Export: racadm get -t xml -f server_config.xml. Import: racadm set -t xml -f server_config.xml. SCP captures BIOS, RAID, NIC, and iDRAC settings. Use for fleet-wide consistent configuration.\n\nRemember: out-of-band management (iDRAC/iLO/IPMI) works even when the OS is down. It has its own network interface, IP address, and web UI — like a KVM switch built into the server.	training/library/drills/datacenter_drills.md
datacenter/perc-001	datacenter	medium	datacenter, raid, perc	What is a PERC controller?	PERC (PowerEdge RAID Controller) is Dell's hardware RAID controller. Manages disk arrays with hardware acceleration. Configure via: BIOS (Ctrl+R at boot), RACADM, or storcli/perccli from the OS.\n\nGotcha: in datacenter operations, always verify changes with out-of-band access (iDRAC, iLO, serial console) before and after applying them.	training/library/cheatsheets/datacenter.cheatsheet.md
