---
tags:
- devops
- l1
- flashcard-deck
- ansible
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Ansible](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
chef/03a01839f754	chef	easy	chef,cookbook,recipe	How do you include external recipes in a Chef Cookbook?	Use include_recipe 'other_cookbook::other_recipe' in your recipe file. Chef processes the included recipe during convergence, applying its resources and actions.\n\nRemember: cookbook = collection of recipes, templates, files, and metadata. Think 'Ansible role' equivalent. Versioned and shareable via Chef Supermarket.	projects/knowledge/interview/chef/017-how-do-you-include-external-recipes-in-a-chef-cook.txt
chef/0814b4a89f3d	chef	medium	chef,containers,kubernetes	Explain the use of Chef with containers and container orchestration tools.	Chef integrates with containers via: Docker cookbook resources for container management, Chef Habitat for app packaging/deployment, Kubernetes resource management through Chef Infra, and InSpec for container security/compliance scanning.\n\nRemember: Chef + containers: use the docker cookbook for container management, or chef-client in a container for testing. Modern approach: use Chef to configure the host, containers handle the app.	projects/knowledge/interview/chef/052-explain-the-use-of-chef-with-containers-and-contai.txt
chef/0e1d18338e3f	chef	easy	chef,overview,architecture	What is a Chef Role, and how is it different from a Cookbook?	Chef is a Ruby-based configuration management tool using a client-server model. Chef Infra Client runs on nodes, pulling cookbooks from Chef Server (or runs standalone via chef-solo/chef-zero). Configs are written as Ruby DSL recipes organized into cookbooks.\n\nRemember: cookbook = collection of recipes, templates, files, and metadata. Think 'Ansible role' equivalent. Versioned and shareable via Chef Supermarket.	projects/knowledge/interview/chef/026-what-is-a-chef-role-and-how-is-it-different-from-a.txt
chef/141e5775db8e	chef	medium	chef,environments,deployment	"What is the role of the ""compile"" phase in a Chef client run?"	Chef environments group nodes for lifecycle management (dev/staging/prod). Each environment can pin cookbook versions and override default attributes. Create with knife environment create or JSON files. Assign nodes via knife node environment_set.\n\nRemember: Chef role = predefined run_list + attribute overrides. Assign role[webserver] to nodes instead of listing individual recipes.	projects/knowledge/interview/chef/064-what-is-the-role-of-the-compile-phase-in-a-chef-cl.txt
chef/141fb1227151	chef	medium	chef,attributes,precedence	How can you use notifications in Chef to trigger actions?	Attribute precedence (lowest to highest): default, force_default, normal, override, force_override, automatic (Ohai). Set in cookbooks, recipes, roles, environments. Higher precedence wins during merge. Use default for most cases; override sparingly.\n\nRemember: Chef notifications: notifies :restart triggers a resource. subscribes watches another resource. Use :delayed (default, end of run) or :immediately for timing control.	projects/knowledge/interview/chef/033-how-can-you-use-notifications-in-chef-to-trigger-a.txt
chef/157beda6cbb1	chef	hard	chef,troubleshooting,debugging	Explain the integration between Chef and InSpec for compliance automation.	Debug convergence failures: run chef-client -l debug for verbose output. Check /var/log/chef/client.log. Common issues: cookbook dependency conflicts (Berksfile.lock), attribute precedence surprises, template rendering errors, resource notification chains. Use why-run mode (-W) to preview.\n\nRemember: InSpec = compliance-as-code testing framework. Write tests like 'describe port(80) do it { should be_listening } end.' Works with Chef, Ansible, or standalone.	projects/knowledge/interview/chef/086-explain-the-integration-between-chef-and-inspec-fo.txt
chef/15f5fb3b783e	chef	medium	chef,templates,erb	How can you override attributes based on the Chef environment?	Chef uses ERB (Embedded Ruby) templates for dynamic file generation. In the resource, specify source and variables. In the template, use <%= @variable %> for interpolation. Templates support Ruby logic, loops, and conditionals.\n\nRemember: Chef environments pin cookbook versions per stage: production locks to 1.2.3, staging allows 1.x.x. Prevents untested cookbook versions from reaching prod.	projects/knowledge/interview/chef/074-how-can-you-override-attributes-based-on-the-chef-.txt
chef/2813fe4e62de	chef	easy	chef,resource,dsl	Explain the process of restoring Chef Server data.	Resources are the building blocks of Chef recipes. Each declares a desired state: package, file, service, template, user, etc. Resources are idempotent -- they only make changes if the current state differs from desired.\n\nRemember: Chef's 'compile then converge' model means all resources are compiled into a resource collection first, then executed in order. This catches dependency issues early.	projects/knowledge/interview/chef/045-explain-the-process-of-restoring-chef-server-data.txt
chef/2b824d9bfe4f	chef	hard	chef,custom-resource,development	How can you integrate Chef into a CI/CD pipeline?	Custom resources define reusable abstractions. Place in cookbook's resources/ directory. Define properties (name, type, default) and actions with standard resource DSL inside. Use like built-in resources in any recipe.\n\nRemember: Chef's 'compile then converge' model means all resources are compiled into a resource collection first, then executed in order. This catches dependency issues early.	projects/knowledge/interview/chef/069-how-can-you-integrate-chef-into-a-cicd-pipeline.txt
chef/2e2e9a5441c4	chef	easy	chef,knife,cli	What is the purpose of the metadata.rb file in a Chef Cookbook?	Knife is Chef's CLI for interacting with Chef Server. Key commands: knife cookbook upload, knife node list, knife role show, knife search, knife ssh, knife bootstrap. Configure via .chef/knife.rb or credentials file.\n\nRemember: cookbook = collection of recipes, templates, files, and metadata. Think 'Ansible role' equivalent. Versioned and shareable via Chef Supermarket.	projects/knowledge/interview/chef/019-what-is-the-purpose-of-the-metadatarb-file-in-a-ch.txt
