---
tags:
- containers
- l1
- flashcard-deck
- docker-basics
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Docker / Containers](../../../../library/portal/topics.md) | **Domain:** containers
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
docker-basics/002ae05052cc	docker-basics	hard	docker-basics, containers, fundamentals, configuration	How can you pass environment variables to a Docker container?	Environment variables can be passed to a Docker container using the -e (or --env) option in the docker run command. \nExample:\n```docker run -e MY_VARIABLE=value my_image``` \nThis command sets the environment variable MY_VARIABLE with the value value inside the running container. \nAlternatively, you can use a file containing environment variables and pass it to the container using the --env-file option:\n```docker run --env-file my_env_file my_image``` \nThis is useful for managing multiple environment variables in a file. The file should contain variable assignments, one per line. \nPassing environment variables to containers is crucial for configuring applications and services within the containerized environment.	projects/knowledge/interview/docker/194-how-can-you-pass-environment-variables-to-a-docker.txt
docker-basics/00a400f25487	docker-basics	medium	docker-basics, images, fundamentals	How to list the container images on certain host?	`podman images` or `docker images` lists all local images. Add `--format '{{.Repository}}:{{.Tag}} {{.Size}}'` for cleaner output. Use `--filter dangling=true` to find untagged images wasting disk space.	projects/knowledge/interview/docker/023-how-to-list-the-container-images-on-certain-host.txt
docker-basics/0113a4a29242	docker-basics	easy	docker-basics, images, fundamentals	True or False? It's not possible to remove an image if a certain container is using it	True. You should stop and remove the container before trying to remove the image it uses.\n\nExample: docker rmi nginx fails if any container (even stopped) uses that image. Fix: docker rm <container> first, then docker rmi nginx.\n\nGotcha: docker rmi -f can force-remove, but running containers will keep using the image layers via their mount. The image tag disappears but the data stays until the container is removed.	projects/knowledge/interview/docker/025-true-or-false-its-not-possible-to-remove-an-image-.txt
docker-basics/0df046a9a708	docker-basics	medium	docker-basics, fundamentals, comparison	What are some of the advantages in using containers? you can compare to other options like VMs	* Reusable: container can be used by multiple different users for different usages - production vs. staging, development, testing, etc.\n* Lightweight: containers are fairly lightweight which means deployments can be done quickly since you don't need to install a full OS (as in VMs for example)\n* Isolation: Containers are isolated environments, usually changes made to the OS won't affect the containers and vice-versa	projects/knowledge/interview/docker/007-what-are-some-of-the-advantages-in-using-container.txt
docker-basics/172e66c55392	docker-basics	hard	docker-basics, compose, orchestration	What is the significance of Docker Compose in the context of orchestration?	Docker Compose is a tool for defining and running multi-container Docker applications. While Docker Compose is not a full orchestration solution like Docker Swarm or Kubernetes, it plays a crucial role in simplifying the definition and deployment of multi-container applications, especially in development and testing environments. \n**The significance of Docker Compose includes:**	projects/knowledge/interview/docker/186-what-is-the-significance-of-docker-compose-in-the-.txt
docker-basics/1b89b230cb32	docker-basics	hard	docker-basics, containers, fundamentals	Describe the lifecycle of a Docker container.	The lifecycle of a Docker container involves several stages:\n* Creation: A container is created from a Docker image using the docker run command. The image is pulled from a registry if not available locally.\n* Execution: The container is started, and the application inside the container begins to run. The container runs in isolation with its own filesystem, network, and processes.\n* Monitoring and Logging: Docker provides tools for monitoring container logs and resource usage.	projects/knowledge/interview/docker/134-describe-the-lifecycle-of-a-docker-container.txt
docker-basics/1cb178e559bb	docker-basics	easy	docker-basics, images, fundamentals	How to retrieve the latest ubuntu image?	`podman image pull ubuntu:latest`\n\nGotcha: 'latest' tag is just a convention — it is not guaranteed to be the newest version. Always use explicit version tags (ubuntu:22.04) in production.	projects/knowledge/interview/docker/058-how-to-retrieve-the-latest-ubuntu-image.txt
docker-basics/1d96036cf743	docker-basics	medium	docker-basics, containers, fundamentals	What is a Docker container?	A container is a runtime instance of a Docker image. It's a lightweight, isolated process running the application packaged in the image, with its own filesystem, network interface, etc., but sharing the host kernel.	projects/knowledge/interview/docker/199-what-is-docker-container.txt
docker-basics/1dc4f25731ef	docker-basics	medium	docker-basics, dockerfile, build	What is the difference between CMD and ENTRYPOINT in a Dockerfile?	Both define the startup command for a container. ENTRYPOINT is the fixed main command (and can't be overridden by default), while CMD provides default arguments to that command (or a fallback command). If you provide arguments to docker run, it replaces the CMD but adds to the ENTRYPOINT. Essentially, use ENTRYPOINT for the primary command (e.g., the executable) and CMD for default options or command if none is provided.	projects/knowledge/interview/docker/207-cmd-vs-entrypoint.txt
docker-basics/1e4567d668f1	docker-basics	easy	docker-basics, fundamentals, comparison	How is a container different from a VM?	Containers share the host kernel; VMs have their own OS.\n\nUnder the hood: containers share the host kernel and use namespaces/cgroups for isolation. VMs run separate kernels on a hypervisor. Containers start in milliseconds; VMs take seconds to minutes.\n\nAnalogy: VMs are separate houses (each with its own foundation). Containers are apartments in a building (shared foundation/kernel, separate living spaces).\n\nNumber anchor: container startup: ~100ms. VM startup: 30-90 seconds. Container image: 5-500MB. VM image: 1-20GB.	projects/knowledge/interview/docker/199-container-vs-vm.txt
docker-basics/1eee01995f06	docker-basics	hard	docker-basics, containers, runtime	Explain the significance of the "--rm" option when running a container.	The --rm option in the docker run command is used to automatically remove the container when it exits. By default, when a container stops, it remains on the host machine, and you need to explicitly remove it using the docker rm command. However, if you use the --rm option, the container is automatically removed upon termination, saving disk space and simplifying container management. \nExample:\n```docker run --rm image_name``` \nThis is particularly useful for short-lived or disposable containers, such as those used for testing or one-time tasks.	projects/knowledge/interview/docker/153-explain-the-significance-of-the-rm-option-when-run.txt
docker-basics/216532f7940e	docker-basics	easy	docker-basics, containers, lifecycle	How to stop and remove a container?	`podman container stop <container id/name> && podman container rm <container id/name>`\n\nGotcha: docker rm -f combines stop + remove. docker container prune batch-removes ALL stopped containers.	projects/knowledge/interview/docker/013-how-to-stop-and-remove-a-container.txt
docker-basics/218789b189d1	docker-basics	hard	docker-basics, images, fundamentals	How are Docker images different from Docker containers?	Docker images and containers are related but distinct concepts:\n* Docker Image: It is a static, immutable snapshot of a file system and application configuration. It serves as a template for creating containers. Images are created using Dockerfiles and can be versioned and stored in repositories like Docker Hub.\n* Docker Container: It is a running instance of a Docker image. Containers are dynamic and can be started, stopped, and moved between different environments. They encapsulate the application and its dependencies, providing a lightweight and portable execution environment. \nIn summary, an image is a blueprint, and a container is an instantiated and running execution of that blueprint.	projects/knowledge/interview/docker/133-how-are-docker-images-different-from-docker-contai.txt
docker-basics/24161c0dcb67	docker-basics	medium	docker-basics, fundamentals, concepts	What does docker ps do?	It lists running containers (add -a to list all containers, including stopped ones). It shows container IDs, names, images, status, and port mappings.\n\nExample: docker ps shows running containers. docker ps -a shows all (including stopped). docker ps -q returns only IDs (useful for scripting: docker stop $(docker ps -q)).	projects/knowledge/interview/docker/203-docker-ps.txt
docker-basics/255428f91026	docker-basics	easy	docker-basics, images, fundamentals	How to download/pull a container image without actually running a container?	`podman pull <image>` or `docker pull <image>` downloads an image without running it. Pull downloads layers in parallel and skips layers already present locally. Each layer is content-addressed by SHA256, so identical layers are shared across images.	projects/knowledge/interview/docker/024-how-to-downloadpull-a-container-image-without-actu.txt
docker-basics/29aeb91f11b4	docker-basics	hard	docker-basics, images, fundamentals	Explain the concept of layers in a Docker image.	Docker images are composed of multiple layers, and each layer represents a set of filesystem changes or instructions in the Dockerfile. Layers are created during the image build process, and they contribute to the final image. The layering concept provides several benefits: \n* Caching: Docker caches layers, so if a layer hasn't changed, it can be reused in subsequent builds. This improves build efficiency by only rebuilding the changed layers.\n* Reusability: Layers are shared among images.	projects/knowledge/interview/docker/141-explain-the-concept-of-layers-in-a-docker-image.txt
docker-basics/325734a5fd80	docker-basics	hard	docker-basics, fundamentals, comparison	How are containers different from virtual machines (VMs)?	The primary difference between containers and VMs is that containers allow you to virtualize\nmultiple workloads on a single operating system while in the case of VMs, the hardware is being virtualized to run multiple machines each with its own guest OS.\nYou can also think about it as containers are for OS-level virtualization while VMs are for hardware virtualization.	projects/knowledge/interview/docker/004-how-are-containers-different-from-virtual-machines.txt
