id	category	tags	topic_text	trivia_fact	source
jenkins/t001	jenkins	butler,logo,branding	Butler Logo	Jenkins' logo is a butler character because the tool is meant to serve developers — handling the tedious work of building, testing, and deploying so developers don't have to. The butler was drawn by Frontside, and the character's name is simply "Jenkins."	jenkins.io
jenkins/t002	jenkins	kohsuke,hudson,creation	Hudson Creation	Kohsuke Kawaguchi created Hudson in 2004 at Sun Microsystems because he kept breaking the build on the Glassfish application server project. He wanted an automated system that would catch his mistakes before they affected the team.	jenkins.io
jenkins/t003	jenkins	oracle,fork,community	The Fork	When Oracle acquired Sun in 2010, they trademarked "Hudson" and tried to control the project. In January 2011, the community voted 214-to-14 to rename the project to Jenkins and fork. Oracle maintained Hudson briefly before abandoning it entirely in 2017.	jenkins.io
jenkins/t004	jenkins	pipeline,terminology,origin	Pipeline Terminology	Jenkins popularized the "pipeline" metaphor in CI/CD — code flows through stages like material through a factory pipeline. The Pipeline plugin (2016) replaced the Freestyle job model with code-defined stages, transforming how teams thought about build automation.	jenkins.io
jenkins/t005	jenkins	jenkinsfile,revolution,code	Jenkinsfile Revolution	The Jenkinsfile (2016) brought "pipeline as code" to Jenkins, allowing build definitions to live alongside application code in version control. This was a paradigm shift from clicking through Jenkins' web UI to configure jobs, making builds reproducible and reviewable.	jenkins.io
jenkins/t006	jenkins	plugins,ecosystem,scale	Plugin Ecosystem	Jenkins has over 1,800 community-contributed plugins, making it one of the most extensible CI/CD tools ever built. This plugin ecosystem is both Jenkins' greatest strength and weakness — plugin compatibility issues and "dependency hell" are common complaints.	plugins.jenkins.io
jenkins/t007	jenkins	blue-ocean,ui,attempt	Blue Ocean UI	Blue Ocean was an ambitious attempt (2016-2022) to modernize Jenkins' dated web interface with a pipeline visualization UI. Despite its visual appeal, adoption was limited and the project was eventually deprecated, with its features folded into the classic UI.	jenkins.io
jenkins/t008	jenkins	groovy,dsl,scripting	Groovy DSL	Jenkins chose Groovy as its scripting language for Jenkinsfiles because it runs on the JVM (like Jenkins itself), has a flexible syntax that works well for DSLs, and was familiar to Java developers. The Declarative Pipeline syntax was later added as a simpler alternative to scripted Groovy.	jenkins.io
jenkins/t009	jenkins	distributed,builds,agents	Agent Architecture	Jenkins' controller-agent architecture allows distributing builds across many machines. Agents were originally called "slaves" — the terminology was changed to "agents" in 2020 as part of a broader industry move toward inclusive language in technology.	jenkins.io
jenkins/t010	jenkins	jcasc,configuration,code	Configuration as Code	The Jenkins Configuration as Code (JCasC) plugin, introduced in 2018, allows configuring Jenkins entirely through YAML files — eliminating the need for manual UI configuration or Groovy init scripts. This made Jenkins deployments reproducible and version-controllable.	jenkins.io
