id	category	tags	topic_text	trivia_fact	source
regex/t001	regex	regex,history,kleene	Kleene's Invention	Regular expressions originate from mathematician Stephen Cole Kleene, who formalized "regular sets" in 1956 as part of his work on nerve net theory and automata. The asterisk quantifier (*) is still called the "Kleene star" in his honor.	kleene-1956
regex/t002	regex	regex,thompson,unix	Thompson's Implementation	Ken Thompson implemented regular expressions in the QED text editor in 1968, then in ed for Unix. His key insight was compiling regex to machine code via nondeterministic finite automata (NFA), a technique described in his 1968 CACM paper.	thompson-cacm-1968
regex/t003	regex	regex,grep,naming	grep Origin	The name "grep" comes from the ed editor command g/re/p — globally search for a regular expression and print matching lines. It was so useful that Thompson extracted it into a standalone Unix utility in 1973.	unix-history
regex/t004	regex	regex,theory,naming	Why "Regular"	The name "regular expression" comes from formal language theory, where "regular languages" are the simplest class in the Chomsky hierarchy. Modern regex engines with backreferences actually exceed this class and can match context-free or even context-sensitive patterns.	chomsky-hierarchy
regex/t005	regex	regex,pcre,perl	PCRE Standard	Perl Compatible Regular Expressions (PCRE) became the de facto regex standard because Perl 5 (1994) added so many practical extensions — lookahead, non-greedy quantifiers, named groups. Most modern languages implement PCRE-style regex rather than POSIX.	pcre.org
regex/t006	regex	regex,humor,problems	Two Problems Quote	Jamie Zawinski's famous 1997 quote: "Some people, when confronted with a problem, think 'I know, I'll use regular expressions.' Now they have two problems." The original was about sed, and the joke pattern itself predates Zawinski — it echoes an older quip about threads.	jwz.org
regex/t007	regex	regex,performance,backtracking	Catastrophic Backtracking	Regex engines using backtracking NFA can exhibit exponential time complexity on certain patterns. The pattern (a+)+$ against "aaaaaaaaaaaaaaaaX" can take minutes. This has caused real outages, including Cloudflare's July 2019 global outage from a single bad regex in a WAF rule.	cloudflare-blog-2019
regex/t008	regex	regex,email,validation	Email Regex Myth	The RFC 5322-compliant regex for email validation is over 6,000 characters long. In practice, most email validation regexes are intentionally simplified approximations. The full spec allows quoted strings, comments, and IP literal domains that almost no regex handles correctly.	rfc-5322
regex/t009	regex	regex,lookaround,invention	Lookaround Assertions	Lookahead (?=...) and lookbehind (?<=...) assertions were popularized by Perl 5 in 1994. They match a position without consuming characters, enabling patterns like "find X only if followed by Y." These have no equivalent in classical regular expression theory.	perl-5-documentation
regex/t010	regex	regex,unicode,complexity	Unicode Complexity	Unicode support transformed regex from a byte-level tool to a character-level one. The \w shorthand that once meant [a-zA-Z0-9_] must now handle millions of Unicode letters and digits across hundreds of scripts, making regex engines significantly more complex.	unicode.org
