id	category	tags	topic_text	trivia_fact	source
secrets-management/t001	secrets-management	vault,hashicorp,origin	HashiCorp Vault	HashiCorp Vault was created in 2015 because storing secrets in config files, environment variables, and source code had become an industry-wide epidemic. Before Vault, most organizations had secrets scattered across hundreds of config files with no audit trail of who accessed what.	hashicorp-vault-announcement
secrets-management/t002	secrets-management	12-factor,config,heroku	12-Factor Config	The 12-Factor App methodology (created by Heroku co-founder Adam Wiggins in 2011) declares that config — including secrets — should be stored in the environment, not in code. This was a step forward from hardcoded secrets but created new problems, since environment variables are visible to every process and child process.	12factor.net
secrets-management/t003	secrets-management	env-vars,insecure,visibility	Env Vars Not Secure	Environment variables are not truly secure for secrets. Any process can read them via /proc on Linux, they appear in debug logs, crash dumps, and docker inspect output, and they are inherited by all child processes. They are better than hardcoded secrets but worse than a proper secrets manager.	env-var-security-research
secrets-management/t004	secrets-management	aws,secrets-manager,parameter-store	AWS Secrets Options	AWS offers two services for secrets: Secrets Manager (built for credentials, supports automatic rotation, costs ~$0.40/secret/month) and Parameter Store (general config, free tier up to 10,000 parameters). Parameter Store with SecureString encryption is often "good enough," making Secrets Manager's pricing hard to justify for simple use cases.	aws-secrets-comparison
secrets-management/t005	secrets-management	github,leaked-keys,scanning	GitHub Key Leaks	GitHub introduced secret scanning in 2018 after researchers found that over 100,000 repos contained valid AWS access keys. GitHub now automatically revokes tokens from many providers when they are pushed to public repos. Despite this, truffleHog and similar tools still find thousands of new leaked secrets daily.	github-secret-scanning
secrets-management/t006	secrets-management	rotation,assume-breach,practice	Secret Rotation	Secret rotation matters because of the "assume breach" mindset: if a secret is compromised, rotation limits the window of exposure. AWS IAM access keys that have never been rotated are a common audit finding. The principle is the same as changing your locks after losing a house key — but automated.	nist-secret-rotation
secrets-management/t007	secrets-management	owasp,sensitive-data,top-10	OWASP Sensitive Data	"Sensitive Data Exposure" (now called "Cryptographic Failures") has appeared in every OWASP Top 10 since its inception. The category covers secrets in source code, unencrypted data at rest, weak TLS configurations, and missing encryption. It consistently ranks in the top five application security risks.	owasp-top-10
secrets-management/t008	secrets-management	sealed-secrets,kubernetes,gitops	Sealed Secrets	Bitnami's Sealed Secrets project (2017) solved the "secrets in GitOps" paradox: if everything is in Git, how do you store secrets? Sealed Secrets encrypts them with a cluster-side key so that the encrypted form is safe to commit. Only the cluster controller can decrypt them.	bitnami-sealed-secrets
secrets-management/t009	secrets-management	pgp,key-signing,web-of-trust	PGP Web of Trust	PGP (Pretty Good Privacy) introduced the "web of trust" model in 1991, where users vouch for each other's identities instead of relying on a central authority. Phil Zimmermann created PGP and faced a three-year criminal investigation because the US government classified strong encryption as a munition.	zimmermann-pgp-history
secrets-management/t010	secrets-management	hsm,hardware,tamper	Hardware Security Modules	HSMs (Hardware Security Modules) are tamper-resistant physical devices that generate and store cryptographic keys. They are designed to self-destruct if physically breached. Banks, certificate authorities, and cloud providers use them to protect their most critical secrets. AWS CloudHSM and Azure Dedicated HSM offer cloud-attached versions.	nist-sp-800-57
