---
tags:
- k8s
- l1
- flashcard-deck
- consul
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [HashiCorp Consul](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
consul/c3a2631ef49d	consul	easy	consul, service-discovery	What two primary problems does Consul solve that most dedicated tools handle separately?	Service discovery (finding services) and service mesh (securing service-to-service communication with mTLS). Consul also bundles a KV store, health checking, and ACLs in a single binary.\n\nRemember: Consul integrates with Kubernetes (consul-k8s), Vault (for secrets), Nomad (for scheduling), and Terraform (for provisioning). The HashiCorp stack is designed to work together.	training/library/topics/consul/primer.md
consul/2661045fe48c	consul	easy	consul, architecture	How many server agents should you run in a Consul cluster, and why must this number be odd?	Run 3 or 5 servers. The number must be odd because Raft requires a quorum of (n/2)+1 to elect a leader. An odd number guarantees exactly one side of a network partition can achieve quorum; an even number can result in split-brain where neither side can elect a leader.\n\nRemember: Consul agents run in server mode (participate in consensus, store data) or client mode (forward requests to servers, run health checks locally).	training/library/topics/consul/primer.md
consul/0f01c50c4293	consul	easy	consul, architecture	What is the difference between a Consul server agent and a client agent?	Server agents store all cluster state (service catalog, KV, ACL tokens) and participate in Raft consensus. Client agents run on every application node, register local services, run health checks, and forward queries to servers — they do not participate in Raft.\n\nRemember: Consul agents run in server mode (participate in consensus, store data) or client mode (forward requests to servers, run health checks locally).	training/library/topics/consul/primer.md
consul/5118fbe1f443	consul	easy	consul, service-discovery	What DNS name format does Consul use for service discovery, and on which port does Consul serve DNS by default?	Format: <service>.service.<datacenter>.consul — for example web.service.dc1.consul. Consul serves DNS on port 8600 by default.\n\nRemember: services register with Consul, then other services query Consul DNS (service.consul) or HTTP API to find them. No hardcoded IPs.\n\nExample: dig @127.0.0.1 -p 8600 web.service.consul returns healthy instances of the 'web' service.	training/library/topics/consul/primer.md
consul/c0be11d6ba66	consul	easy	consul, health-checks	Name three health check types supported by Consul.	HTTP (GET to endpoint, passes on 2xx), TCP (TCP connect), Script (shell command, passes on exit 0), TTL (service heartbeats Consul), gRPC, and Alias (mirrors another check). Any three of these is correct.\n\nRemember: Consul supports HTTP, TCP, script, TTL, Docker, and gRPC health checks. Unhealthy services are removed from DNS responses automatically.	training/library/topics/consul/primer.md
consul/d8107d6face7	consul	easy	consul, kv	What command reads all keys under a prefix in the Consul KV store?	consul kv get -recurse <prefix> — for example: consul kv get -recurse config/web/\n\nRemember: Consul KV = distributed key-value store. Use for config, feature flags, leader election. consul kv put/get. Supports watches for change notification.	training/library/topics/consul/street_ops.md
consul/34ee7498ab19	consul	easy	consul, service-mesh	What is a Consul intention?	An intention is an access control rule that defines whether a source service is allowed or denied to communicate with a destination service. Intentions are enforced by the Envoy sidecar proxies in Consul Connect without requiring application code changes.\n\nRemember: Consul integrates with Kubernetes (consul-k8s), Vault (for secrets), Nomad (for scheduling), and Terraform (for provisioning). The HashiCorp stack is designed to work together.	training/library/topics/consul/primer.md
consul/200ac54534c8	consul	easy	consul, snapshots	What does consul snapshot save do, and what data does it include?	It creates a binary point-in-time backup of all Consul cluster state: KV store, ACL tokens, service catalog, sessions, prepared queries, and intentions. It should be taken before every upgrade.\n\nRemember: Consul integrates with Kubernetes (consul-k8s), Vault (for secrets), Nomad (for scheduling), and Terraform (for provisioning). The HashiCorp stack is designed to work together.	training/library/topics/consul/street_ops.md
consul/d5fe1da59866	consul	easy	consul, gossip	What is Serf, and how does it relate to Consul?	Serf is a standalone cluster membership and gossip library built by HashiCorp. Consul embeds Serf for its gossip layer — used to detect node failures and propagate events across the cluster. Consul uses two Serf pools: LAN (within a datacenter) and WAN (between datacenters).\n\nRemember: Consul integrates with Kubernetes (consul-k8s), Vault (for secrets), Nomad (for scheduling), and Terraform (for provisioning). The HashiCorp stack is designed to work together.	training/library/topics/consul/trivia.md
consul/944f9b00e966	consul	medium	consul, raft	What is the quorum requirement for a 5-server Consul cluster, and how many server failures can it tolerate?	Quorum requires 3 out of 5 servers ((5/2)+1 = 3). It can tolerate 2 server failures while still electing and maintaining a leader.\n\nRemember: Consul integrates with Kubernetes (consul-k8s), Vault (for secrets), Nomad (for scheduling), and Terraform (for provisioning). The HashiCorp stack is designed to work together.	training/library/topics/consul/primer.md
