---
tags:
- k8s
- l1
- flashcard-deck
- container-runtime
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Container Runtimes](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
crt/001	container-runtime	easy	containerd, basics	What is containerd and how does it relate to Docker?	containerd is a high-level container runtime that manages the complete container lifecycle (image pull, storage, execution, networking). Docker uses containerd as its underlying runtime. Kubernetes can use containerd directly via the CRI plugin, bypassing Docker entirely.\n\nRemember: containerd = the industry-standard container runtime. Kubernetes uses it via CRI. Docker uses it under the hood. It manages the full container lifecycle.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/002	container-runtime	easy	containerd, cri, kubernetes	How does Kubernetes communicate with containerd?	Kubernetes uses the Container Runtime Interface (CRI), a gRPC API. containerd exposes a CRI plugin that listens on a Unix socket (default: /run/containerd/containerd.sock). The kubelet calls this socket to create, start, stop, and remove containers.\n\nRemember: containerd = the industry-standard container runtime. Kubernetes uses it via CRI. Docker uses it under the hood. It manages the full container lifecycle.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/003	container-runtime	medium	image, pull, lifecycle	Walk through the image pull lifecycle in containerd.	1) Client requests image by reference (e.g., docker.io/library/nginx:1.25). 2) containerd resolves the reference to a registry endpoint. 3) It fetches the manifest (OCI index or manifest list). 4) It downloads each layer blob (content-addressed by sha256 digest). 5) Layers are unpacked into a snapshot (e.g., overlayfs). 6) The image metadata is stored in the content store and indexed.\n\nRemember: containerd = the industry-standard container runtime. Kubernetes uses it via CRI. Docker uses it under the hood. It manages the full container lifecycle.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/004	container-runtime	easy	namespaces, linux, isolation	What are Linux namespaces and which ones does a container typically use?	Namespaces isolate what a process can see. A typical container uses: pid (process tree), net (network stack), mnt (filesystem mounts), uts (hostname), ipc (inter-process communication), user (UID/GID mapping), and cgroup (cgroup root view). Each namespace gives the container the illusion of its own isolated system.\n\nRemember: Linux namespaces provide isolation: PID (process), NET (network), MNT (filesystem), UTS (hostname), IPC (inter-process), USER (UID mapping). Mnemonic: 'Processes Need Mount points, UTSnames, IPC, and Users.'	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/005	container-runtime	easy	cgroups, linux, resources	What are cgroups and how do container runtimes use them?	cgroups (control groups) limit and account for resource usage -- CPU, memory, I/O, PIDs. The runtime creates a cgroup for each container and sets limits (e.g., memory.max, cpu.max). When a container exceeds its memory limit, the kernel OOM-kills it. cgroups v2 is the modern unified hierarchy; v1 uses per-resource controllers.\n\nRemember: cgroups = resource limits. Control CPU, memory, disk I/O, and network bandwidth per container. OOM killer triggers when memory cgroup limit is exceeded.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/006	container-runtime	medium	exec, run, troubleshooting	What is the difference between docker exec and docker run at the runtime level?	docker run creates a new container (new namespaces, cgroups, rootfs) and starts its entrypoint process. docker exec joins an existing container's namespaces (via setns syscall) and spawns an additional process inside them. exec does not create new cgroups or mount a new rootfs -- it reuses the running container's environment.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/007	container-runtime	medium	logging, stdout, stderr	How does the container logging model work for stdout and stderr?	The container's PID 1 stdout and stderr are captured by the runtime shim via pipes. containerd's shim writes these streams to log files (typically /var/log/containers/ on Kubernetes nodes) in a newline-delimited format with timestamps and stream tags (stdout/stderr). kubectl logs reads these files. If PID 1 is not the app (e.g., a shell wrapper), logs from child processes may not appear unless they inherit the file descriptors.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/008	container-runtime	hard	logging, troubleshooting	A container produces logs but kubectl logs shows nothing. What are common causes?	1) The application writes to a file instead of stdout/stderr. 2) The entrypoint is a shell script that backgrounds the real process, breaking FD inheritance. 3) The log file on the node was rotated or truncated. 4) The container runtime's log driver is misconfigured. 5) The container restarted and --previous flag is needed to see prior logs.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/009	container-runtime	medium	image, layers, overlayfs	How do image layers work and what is a union filesystem?	An OCI image is a stack of read-only layers, each a tar of filesystem diffs. A union filesystem (e.g., overlayfs) merges these layers into a single coherent view. The container gets a thin read-write layer on top. Writes use copy-on-write: modifying a file from a lower layer copies it up to the writable layer first. Deletes create whiteout files.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/010	container-runtime	hard	image, layers, troubleshooting	A container image is unexpectedly large. How do you diagnose which layers are bloated?	Use 'docker history <image>' or 'crane manifest <image>' to inspect layer sizes. Tools like dive show each layer's filesystem diff interactively. Common causes: package manager caches not cleaned in the same RUN instruction, large build artifacts copied but not removed, secrets accidentally baked in, or base image is oversized. Each RUN/COPY/ADD creates a layer, so combining commands and using multi-stage builds reduces size.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/011	container-runtime	medium	registry, auth, troubleshooting	You get 'unauthorized: authentication required' when pulling an image. How do you debug?	1) Verify credentials: docker login <registry> or check imagePullSecrets. 2) Ensure the secret is in the correct namespace. 3) Check if the token has expired (common with ECR tokens that expire every 12 hours). 4) Confirm the image path matches the registry the credentials are for. 5) Check if the registry requires a specific scope or project access (e.g., GCR, ACR). 6) Inspect kubelet logs for detailed error messages.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
crt/012	container-runtime	hard	registry, image, mismatch, troubleshooting	A pod starts but the app behaves unexpectedly, as if running old code. What image-related issues could cause this?	1) The tag (e.g., :latest) was not updated and a cached image is used -- set imagePullPolicy: Always or use digest-pinned references. 2) The image was pushed to the wrong tag. 3) A registry mirror or cache is serving a stale image. 4) The node has a cached layer from a previous pull. 5) Verify with: crictl images | grep <image> and compare the digest to what the registry reports.\n\nRemember: containers are NOT lightweight VMs. They share the host kernel. A kernel exploit in one container can affect all containers on the host. This is why security layers (seccomp, capabilities) matter.	training/interactive/knowledge/data/cards/container-runtime.tsv
