---
tags:
- security
- l1
- flashcard-deck
- incident-triage
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Incident Triage](../../../../library/portal/topics.md) | **Domain:** Security
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
incident-triage/a1d2e3f4b5c6	incident-triage	easy	incident-triage, severity, basics	What are the four standard incident severity levels and their meanings?	SEV-1: complete outage or data loss (immediate response). SEV-2: major degradation or partial outage (< 30 min response). SEV-3: minor degradation with workaround (< 4 hours). SEV-4: cosmetic or informational (next business day).	training/library/topics/incident-triage/primer.md
incident-triage/b2e3f4a5c6d7	incident-triage	easy	incident-triage, first-response	What is the first thing you should do when an alert fires?	Acknowledge the alert to stop the escalation timer, then read the alert message and any linked runbook. Check if it is a known issue or repeat incident before diving into diagnosis.	training/library/topics/incident-triage/primer.md
incident-triage/c3f4a5b6d7e8	incident-triage	easy	incident-triage, communication	What information should an incident channel post contain?	Severity level, brief description, current status (Investigating/Identified/Monitoring/Resolved), impact summary, Incident Commander name, last update timestamp, and next update time.\n\nRemember: Mnemonic SSCINL — Severity, Status, Commander, Impact, Next update, Link. Six elements for every incident post.\n\nGotcha: Missing the next-update-time is the #1 communication failure. Silence breeds panic.	training/library/topics/incident-triage/primer.md
incident-triage/d4a5b6c7e8f9	incident-triage	medium	incident-triage, blast-radius	What questions should you ask when assessing blast radius?	Which services are affected? Which regions/zones? How many users impacted? Is it getting worse, stable, or recovering? Are dependent systems at risk? Is there data integrity risk?\n\nRemember: Blast radius assessment = scope the damage before fixing. Mnemonic SWIG-D: Services, Width (regions), Impact (users), Getting worse?, Data integrity.\n\nGotcha: Skip blast radius assessment and you may fix one symptom while the real problem spreads.	training/library/topics/incident-triage/primer.md
incident-triage/e5b6c7d8f9a0	incident-triage	medium	incident-triage, escalation	When should you escalate an incident instead of continuing to troubleshoot alone?	Escalate when: you have spent 15 minutes without understanding the failure mode, the issue is in a system you do not own, severity needs to be raised, additional expertise is required, or customer impact is growing.	training/library/topics/incident-triage/primer.md
incident-triage/f6c7d8e9a0b1	incident-triage	medium	incident-triage, escalation, context	What five pieces of context should you provide when escalating an incident?	1) What is happening (symptoms, not theories). 2) What has been tried so far. 3) When it started. 4) Current blast radius. 5) Links to dashboards, logs, and alerts.\n\nRemember: Escalation context mnemonic WWTBL: What happened, What tried, Time started, Blast radius, Links to dashboards.\n\nGotcha: Never escalate with just it is broken. Context saves the next responder 15+ minutes of re-discovery.	training/library/topics/incident-triage/primer.md
incident-triage/a7d8e9f0b1c2	incident-triage	medium	incident-triage, verification	Why should you verify the alert signal before mobilizing a full response?	Monitoring can produce false positives from misconfigured thresholds, flapping metrics, or stale checks. Confirming from multiple data sources (metrics, logs, synthetic checks) prevents wasting time and team energy on phantom incidents.	training/library/topics/incident-triage/primer.md
incident-triage/b8e9f0a1c2d3	incident-triage	hard	incident-triage, anti-patterns	What is "premature root cause" and why is it dangerous during triage?	Declaring root cause before verifying it leads to fixing symptoms while the real problem continues. It creates tunnel vision where contradicting evidence is ignored, potentially extending the incident.\n\nAnalogy: Like a doctor diagnosing chest pain as heartburn before running an EKG — premature diagnosis can be fatal.\n\nRemember: Correlation is not causation — the deploy happened before the outage, but that does not mean it caused it.	training/library/topics/incident-triage/primer.md
incident-triage/c9f0a1b2d3e4	incident-triage	hard	incident-triage, communication	What are the key communication anti-patterns during an incident?	Blaming individuals during the incident, providing unsupportable ETAs, going silent for more than 30 minutes on SEV-1, sharing technical details with non-technical stakeholders, and forgetting to update the status page.	training/library/topics/incident-triage/primer.md
incident-triage/d0a1b2c3e4f5	incident-triage	hard	incident-triage, post-triage	What should happen after an incident is mitigated but before it is closed?	Write a timeline while memory is fresh, keep the incident channel open for follow-up, schedule a blameless postmortem within 48 hours for SEV-1/2, track action items to completion, and update runbooks if they were inadequate.	training/library/topics/incident-triage/primer.md
