---
tags:
- devops
- l1
- flashcard-deck
- ansible-core
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Ansible](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
ansible-core/01e798c36169	ansible-core	medium	ansible, module	Explain the use of the -vvv option when running Ansible commands.	The -vvv option is used to enable maximum verbosity when running Ansible commands. It produces highly detailed output, including information about each task and the status of module execution, aiding in debugging.\n\nRemember: -v = basic, -vv = more detail, -vvv = connection debugging, -vvvv = adds connection plugin output. Start with -v and increase as needed.	projects/knowledge/interview/ansible/085-explain-the-use-of-the-vvv-option-when-running-ans.txt
ansible-core/048086585364	ansible-core	easy	ansible, fundamentals	"What is an Ansible ""inventory""?"	A file that defines the managed nodes and their groups.\n\nRemember: inventory = 'who to manage.' Playbook = 'what to do.' Together they answer 'do what, to whom.'\n\nExample: [webservers]\nweb1.example.com\nweb2.example.com ansible_port=2222	projects/knowledge/interview/ansible/136-ansible-inventory.txt
ansible-core/0e3e97af9713	ansible-core	medium	ansible, module	What are Ansible Modules?	Ansible Modules are standalone scripts or programs that Ansible executes to perform specific tasks on managed nodes. Modules handle tasks such as package installation, file manipulation, and service management.\n\nExample: the copy module transfers files, service manages daemons, yum/apt handles packages, and template renders Jinja2 configs on remote hosts.\n\nRemember: modules = 'the verbs of Ansible.' apt installs packages, copy moves files, service manages daemons.\n\nExample: ansible all -m ping is an ad-hoc command using the ping module — tests connectivity without a playbook.	projects/knowledge/interview/ansible/053-what-are-ansible-modules.txt
ansible-core/142b237bf7d3	ansible-core	easy	ansible, fundamentals	What is Ansible and how does it work?	"Ansible is an open-source IT automation tool for configuration management, provisioning, and deployment. It's agentless – the control node connects over SSH/WinRM to managed nodes and executes ""modules"" (tasks) to bring systems to a desired state.\n\nRemember: Ansible = 'Agentless, No daemons, SSH-based, Idempotent, YAML-driven.' Mnemonic: 'A Nice Simple Infrastructure Language.'\n\nName origin: from Ursula K. Le Guin's novel — an 'ansible' is a device for instantaneous communication across any distance."	projects/knowledge/interview/ansible/133-what-is-ansible.txt
ansible-core/1979239e32ae	ansible-core	hard	ansible, scenario	Ansible in a Multi-Cloud Environment	To manage multi-cloud environments, I would use dynamic inventories and cloud-specific modules for each provider (AWS, Azure, GCP).\n\nExample using multiple dynamic inventories:\n\n```\nplugin: aws_ec2\nregions:\n  - us-east-1\n\nplugin: azure_rm\n```\n\n```\nansible-playbook -i aws_ec2.yml -i azure_rm.yml playbook.yml\n```\n\nRemember: Ansible's strength is simplicity — YAML playbooks, agentless SSH, and idempotent modules. When you find yourself fighting Ansible, you're probably overcomplicating it.	projects/knowledge/interview/ansible/126-ansible-in-a-multi-cloud-environment-scenario-you-.txt
ansible-core/1a899f407caf	ansible-core	hard	ansible, scenario	What are idempotency issues in infrastructure automation and how are they avoided?	Idempotency means that running a task multiple times should have the same effect as running it once. To identify and fix idempotency issues:\n\nIdentify the Task: Determine which task is causing the issue by reviewing the output of ansible-playbook with the -v (verbose) flag.\n\nAnalyze the Task: Check if the task is correctly checking for the desired state before making changes. For example, ensure that file changes, service restarts, or package installations are conditional.\n\nRemember: idempotent = 'run it 100 times, same result as once.' Like pressing an elevator button — pressing it again doesn't call a second elevator.	projects/knowledge/interview/ansible/118-idempotency-issues-scenario-during-a-deployment-yo.txt
ansible-core/23ce866ac2fc	ansible-core	medium	ansible, inventory	How does Ansible use scripts for dynamic inventory?	Ansible executes external scripts, typically written in Python or any executable language, to fetch dynamic inventory information. These scripts should output JSON-formatted data describing hosts and groups.\n\nExample: a Python script querying AWS EC2 API returns JSON with host groups. Ansible calls it with --list and --host flags. Modern practice prefers inventory plugins over scripts.\n\nRemember: Ansible's strength is simplicity — YAML playbooks, agentless SSH, and idempotent modules. When you find yourself fighting Ansible, you're probably overcomplicating it.	projects/knowledge/interview/ansible/063-how-does-ansible-use-scripts-for-dynamic-inventory.txt
ansible-core/25308a6a8608	ansible-core	medium	ansible, module	"Explain how you can use the ""ansible-doc"" command to get help on a module."	The ansible-doc command provides documentation for Ansible modules. To get help for a specific module, use:\n```bash\nansible-doc <module_name>\n```\nIt displays module documentation, including parameters, examples, and usage.\n\nRemember: ansible-doc is your offline reference. ansible-doc -l lists all modules. ansible-doc -s module shows a short snippet of required parameters.	projects/knowledge/interview/ansible/075-explain-how-you-can-use-the-ansible-doc-command-to.txt
ansible-core/26be73f3201e	ansible-core	medium	ansible, module	How can you troubleshoot issues related to network modules in Ansible?	Troubleshoot by:\n* Checking module documentation for device compatibility.\n* Verifying device connectivity.\n* Examining module-specific logs and output.\n* Using debug modules to inspect variables and data.\n\nRemember: Ansible's strength is simplicity — YAML playbooks, agentless SSH, and idempotent modules. When you find yourself fighting Ansible, you're probably overcomplicating it.	projects/knowledge/interview/ansible/110-how-can-you-troubleshoot-issues-related-to-network.txt
ansible-core/308b20f8b986	ansible-core	easy	ansible, fundamentals	How does Ansible connect to managed nodes?	It typically uses SSH for Linux and WinRM for Windows.\n\nUnder the hood: Ansible copies Python modules to the remote host via SFTP, executes them, captures JSON output, then deletes the temp files. SSH ControlPersist multiplexing keeps connections fast.\n\nFun fact: Ansible's agentless architecture (2012) was a key differentiator — competitors like Puppet and Chef required a daemon on every node.\n\nRemember: Control Node = where Ansible runs. Managed Node = where Ansible acts. Think 'puppeteer vs. puppet.'\n\nGotcha: managed nodes need Python installed (except for raw module). Windows nodes use WinRM, not SSH.	projects/knowledge/interview/ansible/134-ansible-connection.txt
ansible-core/3d86b21e3f07	ansible-core	medium	ansible, become	How do you install Ansible on a Linux system?	On a Linux system, Ansible can be installed using package managers:\n* For Red Hat-based systems: sudo yum install ansible\n* For Debian-based systems: sudo apt-get install ansible\n\nGotcha: pip install ansible installs the latest version with all collections. pip install ansible-core installs just the core engine with minimal collections, giving you control over what's included.\n\nGotcha: pip install ansible installs all collections (~7000 modules). pip install ansible-core installs just the engine with minimal collections — better for production control.	projects/knowledge/interview/ansible/038-how-do-you-install-ansible-on-a-linux-system.txt
ansible-core/4811be13d414	ansible-core	easy	ansible, ad-hoc, commands	How do you execute a single ad-hoc Ansible command?	"Using the ansible command. For example: ansible all -m ping will run the ""ping"" module on all hosts in the inventory (useful for quick tasks or to test connectivity).\n\nExample: ansible webservers -m apt -a 'name=nginx state=present' -b installs nginx on all webservers with sudo (-b = become). Ad-hoc commands are great for one-off tasks.\n\nRemember: Ansible's strength is simplicity — YAML playbooks, agentless SSH, and idempotent modules. When you find yourself fighting Ansible, you're probably overcomplicating it."	projects/knowledge/interview/ansible/140-ad-hoc-command.txt
