id	category	tags	topic_text	trivia_fact	source
package-management/t001	package-management	apt,apt-get,history	apt vs apt-get History	apt-get debuted with Debian 2.1 (1999) as part of APT (Advanced Package Tool). The `apt` command was introduced in 2014 (apt 1.0) as a user-friendly frontend combining features of apt-get and apt-cache. apt adds progress bars and colored output. Scripts should still use apt-get for its stable, scriptable interface.	debian-wiki
package-management/t002	package-management	rpm,recursive-acronym,naming	RPM Recursive Acronym	RPM originally stood for "Red Hat Package Manager." It was retroactively rebranded to "RPM Package Manager" — a recursive acronym like GNU. This change happened when non-Red Hat distros (SUSE, CentOS) adopted RPM and didn't want "Red Hat" in their core tool's name.	rpm.org
package-management/t003	package-management	yum,dnf,transition	Yum to DNF Transition	YUM (Yellowdog Updater Modified) was named after the Yellow Dog Linux distro it was originally written for. DNF (Dandified YUM) replaced it in Fedora 22 (2015) because YUM's Python 2 codebase and dependency resolver were too slow and unreliable. DNF uses libsolv, a C library, for dependency resolution.	fedora-docs
package-management/t004	package-management	dpkg,origin,debian	dpkg Origin	dpkg (Debian package) was created by Ian Murdock and Matt Welsh in 1994 for the Debian project. The .deb format is actually an `ar` archive containing two tar archives: control.tar (metadata) and data.tar (files). You can extract any .deb with the standard `ar` command — no dpkg needed.	debian-wiki
package-management/t005	package-management	dependency-hell,problem,naming	Why Dependency Hell Exists	"Dependency hell" was named by analogy with "DLL hell" on Windows. It occurs when package A needs library X version 1, but package B needs version 2, and both can't coexist. Linux distros solve this through careful version coordination — distributions are essentially curated sets of compatible package versions.	jargon-file
package-management/t006	package-management	pacman,arch,naming	Pacman Package Manager	Arch Linux's pacman was written by Judd Vinet in 2002. The name is a play on "package manager" and Pac-Man. Its philosophy mirrors Arch's: simple, fast, no GUI, no hand-holding. pacman uses a single command for everything — unlike apt's split between apt-get, apt-cache, and dpkg.	archlinux-wiki
package-management/t007	package-management	snap,flatpak,debate	Snap vs Flatpak Debate	Snaps (Canonical, 2016) and Flatpaks (Red Hat, 2015) both solve dependency hell by bundling dependencies with applications. The key controversy: Snap's backend store is proprietary and Canonical-controlled, while Flatpak's Flathub is community-run. This centralization issue led several distros (Linux Mint) to block snaps.	ubuntu-wiki
package-management/t008	package-management	nix,functional,paradigm	Nix Paradigm Shift	Nix (2003, Eelco Dolstra's PhD thesis) treats packages as pure functions: given the same inputs, you get the same output. Every package version is stored in /nix/store with a hash prefix, so multiple versions coexist naturally. This eliminates dependency hell entirely but requires rethinking how you manage a system.	nixos.org
package-management/t009	package-management	checkinstall,hack,conversion	checkinstall Hack	checkinstall (2000) solves the "I compiled from source, now how do I uninstall it?" problem by watching `make install` with strace, intercepting every file it creates, and packaging them into a .deb or .rpm. It's a clever hack that bridges the gap between source compilation and package management.	checkinstall-docs
package-management/t010	package-management	mirrors,distribution,infrastructure	Mirror Network Scale	Major distributions maintain hundreds of mirrors worldwide. Debian has over 400 mirrors. When you run apt update, you download compressed package lists (often 30-50MB) listing every available package. The mirror selection (deb.debian.org uses GeoIP) and CDN infrastructure behind package management is a massive, mostly invisible operation.	debian-wiki
