id	category	tags	topic_text	trivia_fact	source
cli-tools/t001	cli-tools	vim,vi,history	Vim Name Origin	Vim stands for "Vi IMproved." Vi itself was created by Bill Joy in 1976 as a visual mode for the ex line editor on BSD Unix. Joy wrote vi in a single long weekend, and it became the default Unix editor. Bram Moolenaar released Vim in 1991.	vim.org
cli-tools/t002	cli-tools	emacs,vim,culture	Editor Holy War	The Emacs vs Vim debate is one of computing's oldest cultural wars, dating to the late 1970s. Richard Stallman's Emacs (1976) favored extensibility; Bill Joy's vi favored minimalism. The "Church of Emacs" and "Cult of Vi" are semi-serious factions.	jargon-file
cli-tools/t003	cli-tools	curl,naming,web	curl Name Origin	curl stands for "Client URL." Daniel Stenberg released it in 1998 as a renamed version of his earlier tool httpget. curl now supports over 25 protocols and is installed on an estimated 10+ billion devices, making it one of the most widely deployed open-source tools.	curl.se/docs/history
cli-tools/t004	cli-tools	wget,naming,web	wget Name Origin	wget stands for "World Wide Web get." It was created by Hrvoje Niksic in 1996. Unlike curl, wget was designed for recursive downloading and can mirror entire websites. The name follows the Unix convention of short, lowercase command names.	gnu.org/software/wget
cli-tools/t005	cli-tools	less,more,humor	Less Is More	The pager "less" was created by Mark Nudelman in 1983 as a replacement for "more." The name is a play on "less is more" — less does everything more does but adds backward scrolling and search. The joke goes deeper: more only scrolls forward (more), while less does more.	greenwoodsoftware.com/less
cli-tools/t006	cli-tools	awk,naming,authors	AWK Namesake	AWK is named after its three creators: Alfred Aho, Peter Weinberger, and Brian Kernighan — all from Bell Labs. Created in 1977, it was one of the first tools to treat text files as databases with records and fields. Kernighan later co-wrote "The AWK Programming Language."	awk-book
cli-tools/t007	cli-tools	sed,naming,streams	sed Name Origin	sed stands for "stream editor." Created by Lee McMahon at Bell Labs in 1974, it was designed to process text non-interactively in Unix pipelines. sed's s/old/new/ substitution syntax became so iconic that it's used conversationally (e.g., "s/mistake/correction/").	unix-history
cli-tools/t008	cli-tools	cat,naming,misconception	cat Is Not About Cats	The cat command means "concatenate," not anything feline. It was designed to concatenate multiple files together (cat file1 file2 > combined). Using cat to display a single file is technically a "useless use of cat" — a term coined on Usenet in the 1990s.	unix-history
cli-tools/t009	cli-tools	grep,naming,ed	grep From ed	grep takes its name from the ed editor command g/re/p: globally search for a regular expression and print matching lines. Ken Thompson wrote the standalone grep utility in 1973 after a colleague needed to search large files that exceeded ed's buffer limits.	unix-history
cli-tools/t010	cli-tools	tar,naming,tape	tar Name Origin	tar stands for "tape archive." Created in 1979 for Unix V7, it was designed to write files to magnetic tape drives. The format survived decades beyond tape's relevance. The common joke "tar -xvf: eXtract, Verbose, File" is actually wrong — the flags are parsed differently.	unix-v7-manual
cli-tools/t011	cli-tools	dd,naming,humor	dd Name Origin	dd likely stands for "data duplicator" or derives from IBM JCL's DD (Data Definition) statement. System administrators jokingly call it "disk destroyer" because a typo in dd if= or of= can overwrite entire drives. Its unusual flag syntax (if=, of=, bs=) reflects JCL heritage.	unix-history
cli-tools/t012	cli-tools	ssh,naming,security	SSH Name Origin	SSH stands for "Secure Shell." Tatu Ylonen created it in 1995 at Helsinki University of Technology after a password-sniffing attack on the university network. SSH replaced insecure protocols like telnet, rlogin, and rsh by encrypting all traffic.	ssh.com/history
cli-tools/t013	cli-tools	sudo,naming,permissions	sudo Name Origin	sudo means "superuser do." Created by Bob Coggeshall and Cliff Spencer at SUNY Buffalo around 1980, it allows permitted users to run commands as root. The sudoers lecture "This incident will be reported" has alarmed countless junior sysadmins who thought they were in trouble.	sudo.ws/history
cli-tools/t014	cli-tools	tee,naming,plumbing	tee From Plumbing	The tee command is named after the T-splitter used in plumbing, which splits a pipe into two directions. Similarly, tee reads from standard input and writes to both standard output and a file simultaneously, splitting the data stream.	unix-history
cli-tools/t015	cli-tools	cron,naming,greek	cron Name Origin	cron comes from the Greek word "chronos" meaning time. Created by Ken Thompson for Unix V7 (1979), it schedules recurring tasks. The crontab format (minute hour day month weekday) has been described as one of the most frequently googled syntaxes in computing.	unix-v7-manual
