---
tags:
- devops
- l1
- flashcard-deck
- python-automation
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Python Automation](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
software-development/0c03c3a300bd	software-development	easy	software-development, agile, design-patterns	What is Scrum in regards to software development?	"* Scrum is an agile software development framework\n\n* Fixed length iterations\n* Requires the team to have roles like scrum master and product owner\n\nRemember: ""DRY = Don't Repeat Yourself."" Extract repeated logic into functions/modules. But don't over-DRY — some duplication is fine if the contexts differ.\n\nGotcha: Premature abstraction is worse than duplication. Wait for the third occurrence.\n\nName origin: ""Scrum"" comes from rugby — a formation where the team works together to move the ball forward. Coined by Takeuchi and Nonaka (1986).\n\nNumber anchor: Sprint length is typically 2 weeks. Daily standup = 15 min max."	projects/knowledge/interview/software-development/003-what-is-scrum-in-regards-to-software-development.txt
software-development/0c290a0edab5	software-development	easy	software-development, design-patterns, testing	What are static typed (or simply typed) languages?	"In static typed languages the variable type is known at compile-time instead of at run-time.\nSuch languages are: C, C++ and Java\n\nRemember: ""SOLID = five OOP design principles."" S = Single Responsibility, O = Open/Closed, L = Liskov Substitution, I = Interface Segregation, D = Dependency Inversion.\n\nX vs Y: Static typing catches type errors at compile time. Dynamic typing catches them at runtime. Trade-off: safety vs. flexibility.\n\nExample: Go, Rust, TypeScript are modern statically typed languages. Python, Ruby, JavaScript are dynamically typed."	projects/knowledge/interview/software-development/006-what-are-static-typed-or-simply-typed-languages.txt
software-development/12a159e5335d	software-development	hard	software-development, agile, design-patterns	Can you compare between Kanban and Scrum?	* Kanban is continuous, fluid and visualized process whereas Scrum is short and structured, where work is shipped during fixed intervals known as sprints\n\n\n* Kanban is less structured compared to other frameworks like scrum\n* Kanban is more visualized way of managing the development process\n* Kanban has fewer meetings and formal roles compared to other frameworks like scrum	projects/knowledge/interview/software-development/004-can-you-compare-between-kanban-and-scrum.txt
software-development/15dc9ae8c650	software-development	easy	software-development, design-patterns, testing	What is DRY? What is your opinion on it?	"DRY - Don't repeat yourself. Actually it means that you shouldn't duplicate logic and use functions/classes instead. But this must be done smartly and pay attention to the domain logic. Same code lines don't always mean duplication\n\nGotcha: Over-applying DRY creates tight coupling. The rule of three: wait until you see the same pattern three times before abstracting.\n\nRemember: ""WET = Write Everything Twice (acceptable). DRY = Don\'t Repeat Yourself (ideal). AHA = Avoid Hasty Abstractions (pragmatic)."""	projects/knowledge/interview/software-development/013-what-is-dry-what-is-your-opinion-on-it.txt
software-development/25c639c23923	software-development	easy	software-development, design-patterns, testing	What is Object Oriented Programming? Why is it important?	"[educative.io](https://www.educative.io/blog/object-oriented-programming) ""Object-Oriented Programming (OOP) is a programming paradigm in computer science that relies on the concept of classes and objects. It is used to structure a software program into simple, reusable pieces of code blueprints (usually called classes), which are used to create individual instances of objects.""\n\nOOP is the mainstream paradigm today. Most of the big services are wrote with OOP\n\nName origin: OOP was pioneered by Alan Kay at Xerox PARC with Smalltalk (1972). He later said ""I made up the term object-oriented and I did not have C++ in mind."""	projects/knowledge/interview/software-development/008-what-is-object-oriented-programming-why-is-it-impo.txt
software-development/2902e83336f9	software-development	hard	software-development, architecture, design-patterns	What is binary search and what is its time complexity?	It's a search algorithm used with sorted arrays/lists to find a target value by dividing the array each iteration and comparing the middle value to the target value. If the middle value is smaller than target value, then the target value is searched in the right part of the divided array, else in the left side. This continues until the value is found (or the array divided max times)\n\nPython implementation: use bisect module or a simple while loop halving the search range.\n\nThe average performance of the above algorithm is O(log n). Best performance can be O(1) and worst O(log n).	projects/knowledge/interview/software-development/022-binary-search-how-does-it-works-can-you-implement-.txt
software-development/38d84e34828b	software-development	medium	software-development, design-patterns, testing	Explain Dependency Injection (DI)	"Dependency Injection - design pattern, used with IoC. Our object fields (dependencies) must be configurated by external objects\n\nRemember: ""Code review catches bugs, shares knowledge, enforces standards."" Review the code, not the person.\n\nExample: Instead of `class Service { db = new Database() }`, inject: `class Service { constructor(db) { this.db = db } }`. Now you can swap implementations for testing.\n\nAnalogy: DI is like a restaurant where you bring your own ingredients — the chef (class) doesn\'t decide what to cook with."	projects/knowledge/interview/software-development/017-explain-dependency-injection-di.txt
software-development/42771651ff75	software-development	medium	software-development, design-patterns, testing	Explain expressions and statements	An expression is anything that results in a value (even if the value is None). Basically, any sequence of literals so, you can say that a string, integer, list, ... are all expressions.\n\nStatements are instructions executed by the interpreter like variable assignments, for loops and conditionals (if-else).\n\nExample: `x = 5` is a statement (no value). `5 + 3` is an expression (returns 8). In Python, `x = (y := 5)` is a walrus operator — expression inside a statement.	projects/knowledge/interview/software-development/007-explain-expressions-and-statements.txt
software-development/5b32158dfa43	software-development	hard	software-development, architecture, design-patterns	Describe (no need to implement) how to detect a loop in a Linked List	There are multiple ways to detect a loop in a linked list. I'll mention three here:\n\nWorst solution: \nTwo pointers where one points to the head and one points to the last node. Each time you advance the last pointer by one and check whether the distance between head pointer to the moved pointer is bigger than the last time you measured the same distance (if not, you have a loop). \nThe reason it's probably the worst solution, is because time complexity here is O(n^2)\n\nDecent solution: \n\nCreate an hash table and start traversing the linked list.	projects/knowledge/interview/software-development/025-describe-no-need-to-implement-how-to-detect-a-loop.txt
software-development/62c1c4f500e0	software-development	medium	software-development, agile, design-patterns	What is Kanban in regards to software development?	* Kanban is an agile software development framework\n\n* It focuses on having flexible and fluid process - no deadlines, fewer meetings, less formal roles\n* While arguable, Kanban seems to fit better small teams rather than big teams who might benefit more from structurized process\n\nUnder the hood: Kanban\'s key metric is lead time (time from request to done). WIP (Work In Progress) limits prevent multitasking overhead.	projects/knowledge/interview/software-development/002-what-is-kanban-in-regards-to-software-development.txt
