---
tags:
- devops
- l1
- flashcard-deck
- capacity-planning
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Capacity Planning](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
capacity-planning/502948a52427	capacity-planning	easy	capacity-planning, resources, monitoring	What are the four resource dimensions that every system bottleneck lives in?	CPU, Memory, Disk (IOPS and bandwidth), and Network (bandwidth and packets per second).\n\nRemember: Amdahl's Law — the speedup of a system is limited by the slowest component. Find the bottleneck first, then optimize it.	training/library/topics/capacity-planning/primer.md
capacity-planning/6d6a08bdde71	capacity-planning	easy	capacity-planning, headroom, availability	What is the N+1 model in capacity planning?	N+1 means the system can survive the loss of one node. You provision enough capacity so that if one node fails, the remaining nodes can handle the full peak load.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/25fcd96ac673	capacity-planning	easy	capacity-planning, forecasting, growth	What is the formula for compound growth forecasting in capacity planning?	future = current * (1 + growth_rate) ^ months. For example, 12% monthly growth doubles capacity needs in roughly 6 months.\n\nExample: use linear regression on 6 months of historical data to project when you'll hit 80% capacity. Add business events (launches, campaigns) as step functions.	training/library/topics/capacity-planning/primer.md
capacity-planning/29ad54f2a382	capacity-planning	medium	capacity-planning, utilization, saturation	What is the difference between utilization and saturation, and which should you plan on?	Utilization is the percentage of a resource in use. Saturation is whether work is queuing because the resource cannot keep up. Plan on saturation, not utilization, because a system can be at 70% utilization with zero queuing or 70% utilization with massive queuing depending on burstiness.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/a9a44e00062e	capacity-planning	medium	capacity-planning, forecasting, prometheus	How does Prometheus predict_linear help with capacity planning?	predict_linear extrapolates a time-series forward. For example, predict_linear(node_filesystem_avail_bytes[7d], 30*24*3600) < 0 returns true if the disk will be full within 30 days based on the last 7 days of data.\n\nExample: use linear regression on 6 months of historical data to project when you'll hit 80% capacity. Add business events (launches, campaigns) as step functions.	training/library/topics/capacity-planning/primer.md
capacity-planning/346d84ec2fe0	capacity-planning	medium	capacity-planning, headroom, resources	What are the recommended target max utilization thresholds for CPU, Memory, Disk, and Network?	CPU: 60-70%, Memory: 70-80%, Disk: 70-75%, Network: 50-60%. These provide headroom for bursts, GC pauses, deployments, retransmissions, and failure scenarios.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/e036d6eb2151	capacity-planning	medium	capacity-planning, containers, kubernetes	How do you right-size container resource requests using Prometheus?	Compare actual CPU usage (rate of container_cpu_usage_seconds_total) to requested CPU (kube_pod_container_resource_requests). If the ratio is below 0.3, the container is massively over-provisioned. Set requests to p99 of actual usage plus 20% headroom.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/f052392136ba	capacity-planning	hard	capacity-planning, forecasting, seasonal	What is seasonal decomposition and how is it used in capacity planning?	Decompose a metric into three components: trend (long-term direction), seasonal (repeating daily/weekly/monthly pattern), and residual (noise). Plan capacity for trend + seasonal_peak + safety_margin. This prevents both over-provisioning from using raw peaks and under-provisioning from using averages.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/211e3d845839	capacity-planning	hard	capacity-planning, burst, performance	Why is burst capacity different from sustained capacity, and what design targets should you set?	Sustained throughput is the steady-state rate a system handles without queuing. Burst capacity is higher but time-limited before queues build. Design so sustained capacity exceeds normal peak traffic, burst capacity exceeds 2x normal peak for flash crowds, and drain rate exceeds arrival rate so queues eventually empty.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/b7c71308b55a	capacity-planning	hard	capacity-planning, process, planning	Describe the six-step capacity planning process.	1. Measure current usage (CPU, memory, disk, network, application metrics, queue depths). 2. Model workload drivers (e.g., 1 active user = 3 req/s = 0.002 CPU cores). 3. Predict future demand using growth rates. 4. Plan supply factoring lead time, cost optimization, and step-function scaling. 5. Execute procurement or scaling. 6. Iterate quarterly.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	training/library/topics/capacity-planning/primer.md
capacity-planning/c8d82419a6cb	capacity-planning	easy	capacity-planning, right-sizing, instances	What is right-sizing and how do you identify over-provisioned instances?	Right-sizing means matching instance size to actual workload needs. Identify over-provisioned instances by comparing actual usage to allocated resources over 2-4 weeks. Signals: CPU consistently below 20%, memory below 40%, network below 10% of capacity. Downsize by one instance type, monitor for a week, then repeat. Cloud tools like AWS Compute Optimizer and GCP Recommender automate this analysis.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	
capacity-planning/d9e93520b7dc	capacity-planning	medium	capacity-planning, trend-analysis, forecasting	How do you perform trend analysis for capacity planning?	Collect at least 30 days of resource metrics (ideally 90+ days). Plot peak daily usage over time. Fit a linear or exponential regression to identify growth rate. Extrapolate forward to find the date when usage exceeds your threshold (e.g., 70% CPU). Account for known events (product launches, seasonal spikes). Prometheus predict_linear automates simple linear extrapolation but misses seasonal patterns.\n\nRemember: capacity planning inputs: historical metrics, growth projections, planned business events (launches, campaigns), and seasonality patterns. Review quarterly at minimum.	
