---
tags:
- k8s
- l1
- flashcard-deck
- k8s-advanced-ops
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Debugging](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-adv/001	k8s-advanced-ops	medium	kubernetes, rollout, debugging	A Deployment rollout is stuck at 1/3 updated replicas. How do you diagnose it?	kubectl rollout status deployment/<name> shows the stall. kubectl describe deployment <name> reveals the reason under Conditions (e.g., ProgressDeadlineExceeded). Check the new ReplicaSet's pods with kubectl get rs then kubectl describe pod on the stuck pods — usually a crash, image pull failure, or resource quota exhaustion.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/002	k8s-advanced-ops	hard	kubernetes, rollout, strategy	You run kubectl rollout undo but the previous version also had issues. How do you roll back to a specific revision?	kubectl rollout history deployment/<name> lists revisions with change-cause annotations. kubectl rollout undo deployment/<name> --to-revision=<N> targets a specific known-good revision. Always confirm with kubectl rollout status and check pod readiness before declaring recovery.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/003	k8s-advanced-ops	medium	kubernetes, probes, liveness, troubleshooting	Pods restart every 90 seconds but application logs show no errors. What is the most likely cause?	A misconfigured liveness probe. The probe path may return non-200, the port may be wrong, or timeoutSeconds is too short for the endpoint. kubectl describe pod <pod> will show 'Liveness probe failed' events with the HTTP status or connection error. Fix the probe spec, not the app, if the app is actually healthy.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/004	k8s-advanced-ops	hard	kubernetes, probes, startup	An app takes 120 seconds to initialize. Liveness probe kills it before startup completes. How do you fix this without removing the liveness probe?	Add a startup probe with a generous failureThreshold \n* periodSeconds window (e.g., failureThreshold: 30, periodSeconds: 5 = 150s). The startup probe blocks liveness and readiness probes until it succeeds. This keeps fast-restart protection while allowing slow cold starts.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/005	k8s-advanced-ops	easy	kubernetes, events, troubleshooting	What is the standard three-command diagnostic flow when a pod is misbehaving?	1) kubectl describe pod <pod> — check Events, conditions, and container state. \n2) kubectl logs <pod> [-c container] [--previous] — read application stdout/stderr. \n3) kubectl get events --field-selector involvedObject.name=<pod> — see cluster-level events. This describe-logs-events flow covers 90% of initial triage.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/006	k8s-advanced-ops	medium	kubernetes, scheduling, taints, tolerations	A new node is joined to the cluster but no pods schedule onto it. kubectl describe node shows a taint. What do you do?	Check the taint with kubectl describe node <node> | grep Taints. If the taint is intentional (e.g., dedicated=gpu:NoSchedule), add a matching toleration to pods that should run there. If accidental, remove it: kubectl taint nodes <node> dedicated=gpu:NoSchedule-. The trailing minus sign removes the taint.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/007	k8s-advanced-ops	hard	kubernetes, taints, tolerations, master	Pods are Pending cluster-wide after a control plane upgrade. All worker nodes show a NoSchedule taint. What happened and how do you recover?	The upgrade likely re-applied node-role.kubernetes.io/control-plane:NoSchedule and may have incorrectly tainted workers. Verify with kubectl get nodes -o custom-columns=NAME:.metadata.name,TAINTS:.spec.taints. Remove errant taints from workers: kubectl taint nodes <worker> <key>:NoSchedule-. For control-plane nodes, add tolerations only for system-critical pods.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/008	k8s-advanced-ops	medium	kubernetes, pvc, storage, troubleshooting	A PVC is stuck in Pending state. What are the common causes?	1) No PV matches the PVC's storageClassName, access mode, or capacity request. \n2) The StorageClass provisioner is misconfigured or not installed. \n3) The cloud provider hit a quota or zone availability limit. \n4) The PVC requests a mode (ReadWriteMany) the provisioner does not support. Check kubectl describe pvc <name> Events for the specific error.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/009	k8s-advanced-ops	hard	kubernetes, pvc, resize	You need to expand a PVC from 10Gi to 50Gi but the pod won't restart. What is the process?	1) Verify the StorageClass has allowVolumeExpansion: true. \n2) Edit the PVC: kubectl patch pvc <name> -p '{\spec\":{\"resources\":{\"requests\":{\"storage\":\"50Gi\"}}}}'. \n3) For file-system volumes, the resize happens on the next pod mount — you must delete and recreate the pod (not the PVC). \n4) Check kubectl describe pvc for FileSystemResizePending condition."	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/010	k8s-advanced-ops	easy	kubernetes, selectors, service, troubleshooting	A Service has no endpoints even though pods are running. What do you check?	kubectl get endpoints <svc> shows empty. Compare kubectl get svc <svc> -o wide selector labels against kubectl get pods --show-labels. A mismatch between the Service selector and pod labels is the most common cause. Also verify pods are in the same namespace as the Service and that pods are Ready (readiness probe passing).	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/011	k8s-advanced-ops	medium	kubernetes, dns, service, troubleshooting	Pods can reach a Service by ClusterIP but DNS resolution for <svc>.<ns>.svc.cluster.local fails. What do you investigate?	1) Check CoreDNS pods are running: kubectl -n kube-system get pods -l k8s-app=kube-dns. \n2) Verify the pod's /etc/resolv.conf points to the kube-dns ClusterIP. \n3) Test from inside a pod: nslookup <svc>.<ns>.svc.cluster.local. \n4) Check CoreDNS logs for errors. \n5) Confirm no NetworkPolicy is blocking UDP/TCP 53 to kube-dns.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/012	k8s-advanced-ops	medium	kubernetes, dns, ndots	DNS lookups from pods are slow, adding 5+ seconds of latency. What is the likely cause?	The default ndots:5 in pod resolv.conf causes the resolver to try multiple search domains before querying the absolute name. For external domains, each attempt times out against cluster DNS. Fix: set dnsConfig.options ndots:2 in the pod spec, or always use FQDNs with a trailing dot (e.g., api.example.com.) to bypass search expansion.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
k8s-adv/013	k8s-advanced-ops	medium	kubernetes, node-pressure, eviction	Pods are being evicted with the message 'The node was low on resource: ephemeral-storage'. What is happening?	Kubelet's eviction manager detected ephemeral storage usage exceeding the threshold (default ~85%). It evicts pods in order of priority and usage. Check node conditions: kubectl describe node <node> | grep -A 5 Conditions. Clean up: remove unused images (crictl rmi --prune), check for pods writing large files to emptyDir, and set resource limits on ephemeral-storage in pod specs.	training/interactive/knowledge/data/cards/k8s-advanced-ops.tsv
