---
tags:
- devops
- l1
- flashcard-deck
- git
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Git](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
git/066a0fab0d2c	git	medium	git, log	How can you see which changes have done before committing them?	`git diff` shows unstaged changes. `git diff --staged` (or `--cached`) shows what's staged for the next commit. Both let you review before committing.	projects/knowledge/interview/git/007-how-can-you-see-which-changes-have-done-before-com.txt
git/0b381164439f	git	medium	git, log	If git status has to run diff on all the files in the HEAD commit to those in staging area/index and another one on staging area/index and working directory, how is it fairly fast?	One reason is about the structure of the index, commits, etc.\n\n- Every file in a commit is stored in tree object\n- The index is then a flattened structure of tree objects\n- All files in the index have pre-computed hashes\n- The diff operation then, is comparing the hashes\n\nAnother reason is caching\n\n- Index caches information on working directory\n- When Git has the information for certain file cached, there is no need to look at the working directory file	projects/knowledge/interview/git/037-if-git-status-has-to-run-diff-on-all-the-files-in-.txt
git/0b8e18e8262d	git	medium	git, branching	Explain the purpose of the .gitignore file.	The .gitignore file tells Git which files and directories it should not track or include in version control. It's useful for excluding build artifacts, log files, and other things that shouldn't be in the repository.	projects/knowledge/interview/git/048-explain-the-purpose-of-the-gitignore-file-explanat.txt
git/0bc89282d5c1	git	medium	git, stash	Explain the Git three-stage workflow (working directory, staging area, and repository)	Git has three stages for tracking changes:\n\n1. **Working Directory**: Your local filesystem where you edit files. Changes here are 'modified' but not yet tracked\n2. **Staging Area (Index)**: A holding area where you selectively prepare changes for commit using `git add`. Lets you group related changes into logical commits\n3. **Repository (.git)**: The permanent record. `git commit` saves staged changes as a new snapshot with a message\n\nFlow: Edit files -> `git add` (stage) -> `git commit` (save to history). This three-stage design lets you craft clean, intentional commits rather than saving everything at once.	projects/knowledge/interview/git/054-explain-the-git-three-stage-workflow-working-direc.txt
git/0d962c9d1b44	git	easy	git, remote	What does git remote -v show?	`git remote -v` shows the fetch and push URLs for each configured remote repository. Most repos have one remote named 'origin', but you can add more (e.g., 'upstream' for forked repos). Example output: `origin https://github.com/user/repo.git (fetch)`.	projects/knowledge/interview/git/102-git-remote-v.txt
git/0f04400906ad	git	medium	git, branching	How do you know if a certain directory is a git repository?	Check if there is a `.git` directory in the project root. Run `ls -la .git` or `git rev-parse --is-inside-work-tree` which returns 'true' if you're inside a git repo. \nGotcha: bare repositories (used as central hubs) have no working tree — use `git rev-parse --is-bare-repository` instead.	projects/knowledge/interview/git/002-how-do-you-know-if-a-certain-directory-is-a-git-re.txt
git/0f1793fd5426	git	medium	git, branching	You have files in your repository you don't want Git to ever track them. What should you be doing to avoid ever tracking them?	Add file patterns to `.gitignore` to prevent Git from tracking them. Example patterns: `*.log`, `node_modules/`, `.env`. Files already tracked are not affected — use `git rm --cached <file>` to untrack them first. \nGotcha: `.gitignore` only works for untracked files, not files already in the index.	projects/knowledge/interview/git/010-you-have-files-in-your-repository-you-dont-want-gi.txt
git/0f761caad5b2	git	easy	git, branching	What is a Git branch?	A branch is a lightweight movable pointer to a commit, representing an independent line of development. Creating a branch is nearly instantaneous because Git just creates a 41-byte file (the SHA reference). Common branches: main/master (production), feature/* (new work), hotfix/* (urgent fixes). Use `git branch -a` to list all.	projects/knowledge/interview/git/070-what-is-git-branch.txt
git/1318e582d1bc	git	medium	git, remote	What is the difference between git pull and git fetch?	git fetch downloads new commits from a remote repository to your local repo (but doesn't merge them), whereas git pull fetches and immediately merges (or rebases) them into your current branch.	projects/knowledge/interview/git/068-git-pull-vs-git-fetch.txt
git/146e21b2bd58	git	medium	git, stash	What is a "Git bundle"?	A Git bundle is a single file containing repository data (commits, branches, tags) that can be transferred offline. Create with `git bundle create repo.bundle --all`. Useful for sneakernet transfers or air-gapped environments. Import with `git clone repo.bundle` or `git fetch repo.bundle`.	projects/knowledge/interview/git/090-git-bundle.txt
