id	category	tags	topic_text	trivia_fact	source
incident-triage/t001	incident-triage	triage,french,military	Triage Etymology	"Triage" comes from the French verb "trier" (to sort). It was first used in military medicine during the Napoleonic Wars by surgeon Dominique Jean Larrey, who sorted wounded soldiers into three groups: those who would survive without treatment, those who might survive with treatment, and those who would likely die regardless.	larrey-military-medicine
incident-triage/t002	incident-triage	incident-commander,ics,wildfire	Incident Commander Role	The Incident Commander (IC) role comes from the Incident Command System (ICS), created after the devastating 1970 California wildfires when 16 people died partly because multiple agencies could not coordinate. ICS established a single chain of command — the same structure now used in tech incident management.	fema-ics-history
incident-triage/t003	incident-triage	severity,defcon,levels	Severity Levels	Incident severity levels (SEV1-SEV5 or P1-P5) are loosely modeled after the US military DEFCON system (Defense Readiness Condition). DEFCON 5 is the lowest alert; DEFCON 1 means nuclear war is imminent. Similarly, SEV1 is the most critical incident, though some organizations confusingly reverse the numbering.	defcon-history
incident-triage/t004	incident-triage	blameless,postmortem,aviation	Blameless Postmortems	Blameless postmortems were adopted from aviation safety culture. After investigating plane crashes, the aviation industry learned that blaming pilots discouraged honest reporting. NASA's Aviation Safety Reporting System (1976) granted immunity to pilots who reported near-misses, dramatically improving safety data collection. Tech adopted this philosophy via Google's SRE practices.	nasa-asrs-history
incident-triage/t005	incident-triage	mttr,mttf,mtbf,reliability	MTTR/MTTF/MTBF	MTTR (Mean Time to Recovery), MTTF (Mean Time to Failure), and MTBF (Mean Time Between Failures) come from reliability engineering, originally developed for military electronics in the 1940s-50s. The US military needed to predict when vacuum tubes in radar systems would fail. These metrics now define SLAs across the tech industry.	mil-hdbk-217
incident-triage/t006	incident-triage	five-whys,toyota,root-cause	Five Whys	The "Five Whys" technique was developed by Sakichi Toyoda for the Toyota Production System in the 1930s. By asking "why?" five times, you drill past symptoms to root causes. Example: "Why did the server crash?" leads through memory exhaustion, a memory leak, missing cleanup code, to inadequate code review — the real fix.	toyota-production-system
incident-triage/t007	incident-triage	pagerduty,on-call,history	On-Call Evolution	On-call duty in tech evolved from hospital pager culture. PagerDuty (founded 2009) was named after the literal pagers that doctors and sysadmins carried. Early on-call rotations used physical pagers with alphanumeric messages. The shift to smartphone push notifications only became standard around 2012.	pagerduty-founding
incident-triage/t008	incident-triage	war-room,military,bridge	War Room Concept	The "war room" or "bridge" for incident response is borrowed from military command centers. In tech, it is a dedicated communication channel (physical room or virtual call) where responders coordinate during a major incident. Google calls theirs "borg rooms," named after their cluster management system.	google-sre-book
incident-triage/t009	incident-triage	sla,slo,sli,google	SLA/SLO/SLI	SLAs (Service Level Agreements), SLOs (Service Level Objectives), and SLIs (Service Level Indicators) were formalized by Google's SRE team, but the concept predates tech. Telephone companies in the early 1900s promised "99.999% uptime" (five nines) — 5.26 minutes of downtime per year — for dial tone availability.	google-sre-book
incident-triage/t010	incident-triage	black-swan,nassim,unpredictable	Black Swan Incidents	The term "black swan" for unpredictable, high-impact events was popularized by Nassim Nicholas Taleb in 2007. In incident management, black swan events are outages that no one predicted and that existing runbooks do not cover. The 2017 S3 outage at AWS, caused by a typo that took down much of the internet, is a classic tech black swan.	taleb-black-swan-2007
