---
tags:
- devops
- l1
- flashcard-deck
- ansible
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Ansible](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
saltstack/0390471f5bfd	saltstack	hard	saltstack,beacons,reactor,monitoring	Discuss the role of SaltStack beacons in real-time monitoring.	Beacons monitor minion system events (file changes, load, service status) in real-time and emit events to the Salt Master. Combined with reactors, they enable automated responses. Example: an inotify beacon watches file changes and triggers a reactor to enforce state.\n\nRemember: "Salt = fast remote execution + config management." The master-minion architecture uses ZeroMQ for speed.\n\nFun fact: Salt can manage 10,000+ minions from a single master due to its async message bus.	projects/knowledge/interview/saltstack/046-discuss-the-role-of-saltstack-beacons-in-real-time.txt
saltstack/097e58491e3e	saltstack	hard	saltstack,security,encryption	How can you secure communication between Salt Master and Minions?	Salt uses AES-256 encryption for all master-minion communication over ZeroMQ. Key management: minions send public keys to master, admin accepts via salt-key. Enable require_auth and rotate keys periodically. Use salt-call --local for testing without master trust.\n\nExample: salt '*' test.ping — pings all minions. salt 'web*' cmd.run 'uptime' — runs uptime on web servers.\n\nRemember: "salt 'target' module.function 'args' — that's the basic pattern."	projects/knowledge/interview/saltstack/019-how-can-you-secure-communication-between-salt-mast.txt
saltstack/09da93229763	saltstack	medium	saltstack,states,service-management	How does SaltStack handle service management and system restarts?	Salt manages services via the service state module: service.running ensures a service is up, service.dead stops it, service.enabled controls boot behavior. Use watch to restart services when config files change.\n\nRemember: "SLS = SaLt State file." Written in YAML, defines desired state. Like Puppet manifests or Ansible playbooks.	projects/knowledge/interview/saltstack/025-how-does-saltstack-handle-service-management-and-s.txt
saltstack/0df149731f7c	saltstack	hard	saltstack,authentication,security	Describe SaltStack's external authentication mechanisms.	Salt supports external auth (salt-api, LDAP, PAM) via the external_auth config. Map external users/groups to Salt functions. Also supports token-based auth for salt-api and eauth for CLI.\n\nRemember: "Grains = static facts (like Facter), Pillars = dynamic secrets (like Hiera)."\n\nExample: salt '*' grains.item os shows each minion's OS.	projects/knowledge/interview/saltstack/034-describe-saltstacks-external-authentication-mechan.txt
saltstack/1516615f2920	saltstack	medium	saltstack,execution,states	Describe SaltStack's support for remote execution and state enforcement.	Remote execution runs ad-hoc commands across minions (salt '*' cmd.run 'uptime'). State enforcement applies declarative configs from SLS files (salt '*' state.apply). Execution is imperative and one-off; states are idempotent and converge to desired state.\n\nExample: top.sls maps states to minions by target. base: 'web*': - webserver; 'db*': - database.\n\nRemember: "top.sls = Salt's entry point. It says who gets what."	projects/knowledge/interview/saltstack/021-describe-saltstacks-support-for-remote-execution-a.txt
saltstack/1b64317c5524	saltstack	easy	saltstack,execution,modules	What is SaltStack's execution module?	Execution modules are Python modules that define functions callable on minions via salt commands. They run ad-hoc tasks like pkg.install, service.restart, cmd.run. List available modules with salt '*' sys.list_modules.	projects/knowledge/interview/saltstack/009-what-is-saltstacks-execution-module.txt
saltstack/227adeacaad4	saltstack	hard	saltstack,performance,troubleshooting	Discuss the impact of SaltStack changes on system performance during a run.	Salt runs can impact performance through: CPU spikes during state compilation (especially with Jinja rendering), I/O from package installs or file operations, and network load from pillar/file transfers. Mitigate with batch mode (--batch-size), async execution, and avoiding unnecessary Jinja complexity.	projects/knowledge/interview/saltstack/044-discuss-the-impact-of-saltstack-changes-on-system-.txt
saltstack/24be4b9d896a	saltstack	hard	saltstack,migration,troubleshooting	What are the considerations for migrating from SaltStack 2019 to later versions?	Key migration considerations: check deprecated modules/states, test states in dev first, review changelog for breaking changes, update formulas and custom modules, verify ZeroMQ compatibility, test pillar/grain behavior, and run salt-call state.show_sls to preview changes before applying.	projects/knowledge/interview/saltstack/051-what-are-the-considerations-for-migrating-from-sal.txt
saltstack/24cf1190789d	saltstack	easy	saltstack,installation,setup	How do you install SaltStack on a system?	Install Salt master: pip install salt or use repo packages (apt/yum). Configure /etc/salt/master (interface, file_roots, pillar_roots). Install minion: set master address in /etc/salt/minion. Start services, accept minion keys with salt-key -A. Verify with salt '*' test.ping.	projects/knowledge/interview/saltstack/010-how-do-you-install-saltstack-on-a-system.txt
saltstack/2a1e13d8e24c	saltstack	easy	saltstack,grains,targeting	Explain the concept of grains in SaltStack.	Grains are static data about a minion collected at startup: OS, CPU, memory, network, kernel. Used for targeting (salt -G 'os:Ubuntu' test.ping) and in state/pillar conditionals. Custom grains can be defined in /etc/salt/grains or grain modules.	projects/knowledge/interview/saltstack/008-explain-the-concept-of-grains-in-saltstack.txt
