id	category	tags	topic_text	trivia_fact	source
kafka/t001	kafka	kafka,naming,literature	Kafka Name Origin	Apache Kafka was named after Franz Kafka, the Czech novelist. Jay Kreps chose the name because "Kafka is a system optimized for writing" and he liked the author. The literary connection is coincidental — the system handles data streams, not existential dread.	jay-kreps-blog
kafka/t002	kafka	kafka,linkedin,history	Born at LinkedIn	Kafka was created at LinkedIn in 2010 by Jay Kreps, Neha Narkhede, and Jun Rao to solve LinkedIn's data pipeline problems. It was open-sourced in 2011 and became an Apache top-level project in 2012. The founders later started Confluent Inc.	confluent.io/blog
kafka/t003	kafka	kafka,log,abstraction	The Log Insight	Kafka's key innovation is treating the commit log as the central abstraction. Jay Kreps wrote the influential blog post "The Log: What every software engineer should know" in 2013, arguing that an append-only log is the most fundamental data structure in distributed systems.	engineering.linkedin.com
kafka/t004	kafka	kafka,design,queue	Not a Message Queue	Kafka is often called a message queue, but its designers insist it's a distributed commit log. Unlike traditional queues where messages are deleted after consumption, Kafka retains messages for a configurable period, allowing multiple consumers to replay the same data independently.	kafka.apache.org/documentation
kafka/t005	kafka	kafka,consumer,groups	Consumer Group Design	Kafka's consumer group concept allows multiple instances of an application to share a topic's workload — each partition is consumed by exactly one member of the group. This elegant design enables both pub/sub and queue semantics in a single system.	kafka.apache.org/documentation
kafka/t006	kafka	kafka,partition,offset	Partition-Offset Model	Kafka identifies every message by its topic, partition, and offset — a simple tuple that enables extremely fast lookups. Consumers track their own offsets, meaning the broker doesn't need to track per-consumer state, dramatically simplifying the server.	kafka.apache.org/documentation
kafka/t007	kafka	kafka,performance,io	Why Kafka Is Fast	Kafka achieves high throughput through sequential disk I/O (which can be faster than random memory access), zero-copy data transfer from disk to network via the OS sendfile() system call, and batching at every level — producer, broker, and consumer.	kafka.apache.org/documentation
kafka/t008	kafka	kafka,zookeeper,kraft	ZooKeeper Removal	Kafka historically depended on Apache ZooKeeper for controller election and metadata management. KIP-500 (KRaft mode), years in development, replaces ZooKeeper with a built-in Raft-based consensus protocol. ZooKeeper support was deprecated in Kafka 3.5 (2023).	kip-500
kafka/t009	kafka	kafka,scale,numbers	Kafka at Scale	LinkedIn's Kafka deployment processes over 7 trillion messages per day as of 2023. Apple, Netflix, and Uber each run Kafka clusters handling millions of messages per second. Kafka's design makes horizontal scaling straightforward by adding partitions and brokers.	linkedin-engineering
kafka/t010	kafka	kafka,exactly-once,challenge	Exactly-Once Semantics	Kafka added exactly-once semantics (EOS) in version 0.11 (2017), a feature considered theoretically impossible in distributed systems for years. It works by combining idempotent producers, transactional writes, and consumer offset commits in a single atomic operation.	kip-98
