id	category	tags	topic_text	trivia_fact	source
docker-basics/t001	docker-basics	docker,history,dotcloud	dotCloud Origins	Docker started life as an internal tool at dotCloud, a Platform-as-a-Service company. When the PaaS business struggled, founder Solomon Hykes open-sourced the container tooling in March 2013. The container tool became far more successful than the PaaS ever was.	dotCloud/Docker Inc. history
docker-basics/t002	docker-basics	docker,founder,history	Solomon Hykes	Solomon Hykes created Docker while running dotCloud in Paris. He first demonstrated Docker in a lightning talk at PyCon 2013 — a five-minute demo that launched the modern container revolution.	PyCon 2013 lightning talks
docker-basics/t003	docker-basics	docker,logo,moby	Moby Dock	The Docker whale logo is officially named "Moby Dock." It is a whale carrying shipping containers on its back, representing how Docker carries application containers. The "Moby" name was later reused for the open-source upstream project.	Docker branding, Moby Project
docker-basics/t004	docker-basics	containers,history,unix	Containers Before Docker	Containers existed long before Docker. FreeBSD Jails arrived in 2000, Solaris Zones in 2004, and Linux Containers (LXC) in 2008. Docker's innovation was not containers themselves but making them easy to build, share, and run.	Container history timeline
docker-basics/t005	docker-basics	docker,lxc,history	Docker and LXC	Docker originally used LXC (Linux Containers) as its execution backend. In Docker 0.9 (March 2014), it replaced LXC with its own library called libcontainer, which later evolved into runc.	Docker 0.9 release notes
docker-basics/t006	docker-basics	dockerfile,containerfile,naming	Dockerfile vs Containerfile	Docker uses "Dockerfile" as its build file name. Podman and Buildah also accept "Containerfile" as a vendor-neutral alternative. The OCI specification does not mandate either name — "Dockerfile" persists mainly from Docker's first-mover status.	OCI image spec, Podman docs
docker-basics/t007	docker-basics	oci,standards,containers	OCI Standard	The Open Container Initiative (OCI) was formed in 2015 to create vendor-neutral container standards. Docker donated its container format and runtime as the basis for the OCI image and runtime specifications, preventing vendor lock-in.	OCI charter (2015)
docker-basics/t008	docker-basics	docker,containerd,runc	Docker's Three Layers	Modern Docker is actually three components: the Docker CLI (user interface), containerd (high-level runtime managing image pulls and container lifecycle), and runc (low-level runtime that creates the actual Linux container). Each can be used independently.	Docker architecture docs
docker-basics/t009	docker-basics	docker,unionfs,layers	Image Layer System	Docker images use a Union filesystem (originally AUFS, now OverlayFS) to stack read-only layers. Each Dockerfile instruction creates a new layer. This is why instruction order matters — changing an early layer invalidates the cache for all subsequent layers.	Docker storage driver docs
docker-basics/t010	docker-basics	alpine,docker,size	Alpine Linux Popularity	Alpine Linux became the darling of Docker images because its base image is roughly 5 MB compared to Ubuntu's ~75 MB. Alpine uses musl libc and BusyBox instead of glibc and GNU coreutils, trading compatibility for minimal size.	Alpine Linux project
docker-basics/t011	docker-basics	dockerhub,library,official	Official Images	On Docker Hub, images under the "library/" namespace (like library/nginx, library/postgres) are Docker Official Images. They are curated, security-scanned, and maintained by dedicated teams — they are the only images Docker Inc. officially endorses.	Docker Hub documentation
docker-basics/t012	docker-basics	compose,fig,history	Compose Was Fig	Docker Compose was originally an independent project called "Fig," created by Orchard Laboratories. Docker Inc. acquired Orchard in 2014 and rebranded Fig as Docker Compose. The fig.yml config file became docker-compose.yml.	Orchard/Docker acquisition
docker-basics/t013	docker-basics	docker,chroot,unix	chroot Heritage	The conceptual ancestor of containers is the Unix chroot system call, introduced in 1979 during the development of Version 7 Unix. chroot changes the apparent root directory for a process — the earliest form of filesystem isolation.	Unix history, chroot man page
docker-basics/t014	docker-basics	docker,cgroups,google	cgroups by Google	Linux cgroups (control groups), which Docker uses to limit CPU, memory, and I/O for containers, were originally developed by Google engineers Paul Menage and Rohit Seth. They were merged into the Linux kernel in 2008.	Linux kernel changelog (2.6.24)
docker-basics/t015	docker-basics	docker,namespaces,isolation	Linux Namespaces	Docker uses six types of Linux kernel namespaces for isolation: PID, network, mount, UTS (hostname), IPC, and user. Each namespace gives a container the illusion of having its own independent system resources.	Linux namespaces man pages
docker-basics/t016	docker-basics	docker,windows,containers	Windows Containers	Docker also supports native Windows containers (not just Linux containers on Windows). Microsoft added container support to the Windows kernel in Windows Server 2016, implementing isolation primitives analogous to Linux namespaces and cgroups.	Microsoft container docs
docker-basics/t017	docker-basics	docker,scratch,image	The scratch Image	Docker's "scratch" image is a completely empty filesystem — zero bytes. It is used as the base for statically compiled binaries (like Go programs) that need no operating system libraries at all. It is the only Docker image with no layers.	Docker scratch docs
docker-basics/t018	docker-basics	docker,multistage,builds	Multi-Stage Builds	Multi-stage Docker builds, introduced in Docker 17.05 (2017), solved the "fat image" problem. Before multi-stage, developers needed complex build scripts or multiple Dockerfiles to separate build tools from the final production image.	Docker 17.05 release notes
docker-basics/t019	docker-basics	docker,whale,containers	Shipping Container Metaphor	Docker's entire branding draws from intermodal shipping containers — the standardized metal boxes that revolutionized global trade in the 1950s. Just as shipping containers let any cargo fit on any ship, truck, or train, Docker containers let any app run on any infrastructure.	Docker origin story
docker-basics/t020	docker-basics	docker,moby,project	Moby Project Split	In 2017, Docker split into two: the commercial Docker product and the open-source Moby Project. This confused many people, but the intent was to let Docker Inc. build commercial features on top of a community-governed open-source base.	DockerCon 2017 keynote
