---
tags:
- linux
- l1
- flashcard-deck
- linux-processes
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Process Management](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-processes/0053bc6b2b7c	linux-processes	medium	daemon, linux, ps	how to list all the processes running in your system?	The "ps" command can be used to list all the processes running in a system. The "ps aux" command provides a detailed list of all the processes, including the ones running in the background.\n\nRemember: Tools: ps(list), top(monitor), kill(signal), lsof(files), strace(syscalls).\n\nGotcha: kill -15 first, kill -9 as last resort. -9 prevents graceful cleanup.	projects/knowledge/interview/linux/224-how-to-list-all-the-processes-running-in-your-syst.txt
linux-processes/03dc78c807a8	linux-processes	hard	ipc, linux, namespaces	What types of namespaces are there in Linux?	- Process ID namespaces: these namespaces include independent set of process IDs\n  - Mount namespaces: Isolation and control of mountpoints\n  - Network namespaces: Isolates system networking resources such as routing table, interfaces, ARP table, etc.\n  - UTS namespaces: Isolate host and domains\n  - IPC namespaces: Isolates interprocess communications\n  - User namespaces: Isolate user and group IDs\n  - Time namespaces: Isolates time machine\n\nRemember: Tools: ps(list), top(monitor), kill(signal), lsof(files), strace(syscalls).\n\nGotcha: kill -15 first, kill -9 as last resort. -9 prevents graceful cleanup.	projects/knowledge/interview/linux/280-what-types-of-namespaces-are-there-in-linux.txt
linux-processes/0414f18f4053	linux-processes	medium	linux, processes, threads, kernel	What is the difference between a process and a thread?	Processes are independent; threads share resources within a process.\n\nProcess:\n- Independent execution unit\n- Own memory space (heap, stack)\n- Own file descriptors\n- Own PID\n- Higher creation overhead\n\nUnder the hood: processes have separate address spaces (isolated). Threads share address space (can access each other's memory). Linux treats both as 'tasks' via clone().\n\nRemember: Tools: ps(list), top(monitor), kill(signal), lsof(files), strace(syscalls).\n\nGotcha: kill -15 first, kill -9 as last resort. -9 prevents graceful cleanup.	projects/knowledge/interview/linux/411-what-is-the-difference-between-a-process-and-a-thr.txt
linux-processes/055f3f413cbb	linux-processes	hard	exec, fork, linux, system	What happens during fork() vs exec()?	Two separate operations that are often used together:\n\n**fork()**:\n* Creates a new process (child) as copy of parent\n* Uses copy-on-write for memory efficiency\n* Child gets new PID, inherits file descriptors\n* Returns twice: 0 to child, child PID to parent\n\n**exec()**:\n* Replaces current process image with new program\n\nUnder the hood: fork()=duplicate parent, exec()=replace child memory. fork+exec=launch.	projects/knowledge/interview/linux/458-what-happens-during-fork-vs-exec.txt
linux-processes/06ecf9ee9d12	linux-processes	medium	linux, priority, scheduling, signals	How to change the priority of a process? Why would you want to do that?	To change the priority of a process, you can use the nice command in Linux. The nice command allows you to specify the priority of a process by assigning a priority value ranging from -20 to 19. A higher value of priority means lower priority for the process, and vice versa.\n\n\nRemember: Nice: -20(high) to 19(low). Higher nice = nicer to others = lower priority.	projects/knowledge/interview/linux/240-how-to-change-the-priority-of-a-process-why-would-.txt
linux-processes/07ded2fe3293	linux-processes	hard	cgroups, exec, linux, scheduling, system	How to limit processes to not exceed more than X% of CPU usage?	**nice/renice**\n\nnice is a great tool for 'one off' tweaks to a system:\n\n```bash\nnice COMMAND\n```\n\n**cpulimit**\n\ncpulimit if you need to run a CPU intensive job and having free CPU time is essential for the responsiveness of a system:\n\n```bash\ncpulimit -l 50 COMMAND\n```\n\n**cgroups**\n\ncgroups apply limits to a set of processes, rather than to just one:\n\n\n\nRemember: Tools: ps(list), top(monitor), kill(signal), lsof(files), strace(syscalls).\n\nGotcha: kill -15 first, kill -9 as last resort. -9 prevents graceful cleanup.	projects/knowledge/interview/linux/116-how-to-limit-processes-to-not-exceed-more-than-x-o.txt
linux-processes/10b1410b7715	linux-processes	hard	daemon, linux, ps, signals, system	How do you debug a hung process?	Step-by-step approach:\n\n1. **Identify state**: `ps aux | grep PID` - check state column (D=uninterruptible, S=sleeping, R=running)\n\n2. **Trace syscalls**:\n```bash\nstrace -p PID\n```\nShows what syscall it's blocked on.\n\n3. **Check kernel stack**:\n```bash\ncat /proc/PID/stack\n```\nShows where in kernel the process is waiting.\n\n\nRemember: Tools: ps(list), top(monitor), kill(signal), lsof(files), strace(syscalls).\n\nGotcha: kill -15 first, kill -9 as last resort. -9 prevents graceful cleanup.	projects/knowledge/interview/linux/452-how-do-you-debug-a-hung-process.txt
linux-processes/140d140f8317	linux-processes	medium	linux, processes, troubleshooting, io-wait, debugging	What is a quick way to check if a process is in uninterruptible sleep (D state) and why does it matter?	D state processes are stuck waiting for I/O and cannot be killed until the I/O completes.\n\nQuick check:\n- `ps -eo pid,state,comm | grep ' D'`\n- In top/htop: look for 'D' in the S (state) column\n- `cat /proc/<pid>/status | grep State`\n\nWhy D state matters:\n- Process is in uninterruptible sleep waiting for I/O (disk, network, etc.)\n- SIGKILL (kill -9) will NOT terminate the process\n\nRemember: R=running, S=sleeping, D=uninterruptible(I/O), Z=zombie, T=stopped.	projects/knowledge/interview/linux/523-d-state-uninterruptible-sleep.txt
linux-processes/14bf1cb01934	linux-processes	easy	daemon, linux, scheduling, signals, system	SIGHUP, SIGINT, SIGKILL, and SIGTERM POSIX signals. Explain.	- **SIGHUP** - is sent to a process when its controlling terminal is closed. It was originally designed to notify the process of a serial line drop (a hangup). Many daemons will reload their configuration files and reopen their logfiles instead of exiting when receiving this signal.\n\n\nRemember: SIGTERM(15)=polite, SIGKILL(9)=forced, SIGHUP(1)=reload, SIGINT(2)=Ctrl+C.\n\nGotcha: SIGKILL can't be caught. Always try SIGTERM first.	projects/knowledge/interview/linux/019-sighup-sigint-sigkill-and-sigterm-posix-signals-ex.txt
linux-processes/1735eb3f754c	linux-processes	medium	linux, debugging, troubleshooting, processes	How do you diagnose a stuck process?	Inspect what the process is waiting on, check scheduling state, and capture stack context.\n- `/proc/<pid>/stat` or `ps -o stat` to confirm D (uninterruptible) vs R/S state.\n- `/proc/<pid>/wchan` – kernel wait channel for the blocking point.\n- `/proc/<pid>/stack` – kernel stack trace for I/O waits.\n- `strace -p` – see which syscall is blocked.\n- `gdb -p` or `pstack` – userspace backtrace when not in kernel wait.\n\nRemember: Tools: ps(list), top(monitor), kill(signal), lsof(files), strace(syscalls).\n\nGotcha: kill -15 first, kill -9 as last resort. -9 prevents graceful cleanup.	projects/knowledge/interview/linux/552-diagnose-stuck-process.txt
