id	category	tags	topic_text	trivia_fact	source
tls/t001	tls	ssl,netscape,history	SSL Born at Netscape	SSL was created at Netscape Communications in 1994 by Taher Elgamal (often called "the father of SSL"). SSL 1.0 was never released because it had critical security flaws. SSL 2.0 was the first public version, shipped with Netscape Navigator 1.1 in 1995.	Netscape history, Elgamal interviews
tls/t002	tls	naming,version,history	Why TLS Not SSL 4.0	When the IETF took over SSL from Netscape, Microsoft insisted on renaming it to signal it was no longer a Netscape proprietary protocol. "Transport Layer Security" was the compromise name. TLS 1.0 (1999) is essentially SSL 3.1 with minor changes — the rename was more political than technical.	RFC 2246, IETF history
tls/t003	tls	heartbleed,openssl,vulnerability	The Heartbleed Story	Heartbleed (2014) was a buffer over-read bug in OpenSSL's heartbeat extension, introduced by a German developer's patch in 2011. It allowed attackers to read 64KB of server memory per request — including private keys. An estimated 17% of all SSL servers were vulnerable. The bug had its own logo and website, setting a trend for branded vulnerabilities.	CVE-2014-0160, heartbleed.com
tls/t004	tls	certificates,expiry,reason	Why Certificates Expire	Certificate expiration exists because revocation checking is unreliable. CRLs (Certificate Revocation Lists) don't scale, and OCSP has privacy and availability issues. Short-lived certificates limit the damage window if a private key is compromised. The industry has progressively shortened max validity from 10 years to 398 days (and moving toward 90 days).	CA/Browser Forum
tls/t005	tls	letsencrypt,revolution,free	Let's Encrypt Revolution	Before Let's Encrypt launched in 2015, SSL certificates cost $10-300/year and required manual setup. Let's Encrypt made them free and automated via the ACME protocol. By 2024, it had issued over 4 billion certificates and serves more than 360 million websites, transforming HTTPS from luxury to default.	letsencrypt.org statistics
tls/t006	tls	diffie-hellman,history,crypto	Diffie-Hellman Origin	The Diffie-Hellman key exchange (1976) was the first published public-key cryptographic protocol. It lets two parties create a shared secret over an insecure channel. Whitfield Diffie conceived it after being obsessed with the key distribution problem for years. Remarkably, GCHQ's Malcolm Williamson independently discovered it earlier but kept it classified.	Diffie & Hellman 1976, GCHQ declassification
tls/t007	tls	rsa,naming,people	RSA Named After Three People	RSA stands for Rivest, Shamir, and Adleman — the three MIT researchers who published the algorithm in 1977. Ron Rivest devised the mathematical approach, Adi Shamir contributed to the theory, and Leonard Adleman (a mathematician, not a computer scientist) kept finding flaws the other two had to fix.	RSA paper 1977
tls/t008	tls	ca,trust,problems	Certificate Authority Trust Model	The CA trust model means your browser trusts roughly 150 certificate authorities, any one of which can issue a valid certificate for any domain. In 2011, DigiNotar (a Dutch CA) was compromised and issued fraudulent Google certificates used to surveil Iranian dissidents. This single breach led to the CA's bankruptcy and removal from all browsers.	DigiNotar incident 2011
tls/t009	tls	padlock,browser,ux	Why Browsers Show Padlock	The padlock icon was introduced by Netscape Navigator in 1994 to indicate an SSL connection. By the 2020s, browsers began removing the padlock because HTTPS became so universal (over 95% of pages) that the icon no longer meaningfully distinguished safe sites. Chrome replaced it with a neutral "tune" icon in 2023.	Chrome blog, browser UX history
tls/t010	tls	forward-secrecy,design	Forward Secrecy Explained	Perfect Forward Secrecy (PFS) ensures that even if a server's private key is later compromised, past recorded traffic cannot be decrypted. It works by generating ephemeral keys for each session. The Snowden revelations (2013) dramatically accelerated PFS adoption after revealing that intelligence agencies were recording encrypted traffic for future decryption.	Snowden documents, IETF
tls/t011	tls	tls13,handshake,speed	TLS 1.3 Speed Boost	TLS 1.3 (2018) reduced the handshake from two round trips to one (and zero for resumed connections via 0-RTT). It also removed all insecure cipher suites — you literally cannot negotiate a weak connection with TLS 1.3. The protocol took four years and 28 draft revisions to finalize.	RFC 8446
tls/t012	tls	sni,privacy,problem	SNI Leaks Your Destination	Server Name Indication (SNI) sends the requested hostname in plaintext during the TLS handshake — before encryption begins. This means network observers can see which sites you visit even with HTTPS. Encrypted Client Hello (ECH) was designed to fix this but adoption remains slow as of 2025.	RFC 6066, ESNI/ECH drafts
tls/t013	tls	poodle,sslv3,death	POODLE Killed SSL 3.0	The POODLE attack (2014) exploited a fundamental flaw in SSL 3.0's CBC padding, allowing attackers to decrypt one byte per 256 requests. Since SSL 3.0 was 18 years old and only kept alive for IE6 compatibility, POODLE finally gave the industry permission to kill it. Most browsers disabled SSL 3.0 within weeks.	CVE-2014-3566
tls/t014	tls	certificate-transparency,logs	Certificate Transparency	After the DigiNotar and other CA compromises, Google created Certificate Transparency (CT) in 2013 — a system of public, append-only logs where every issued certificate must be recorded. This means anyone can monitor for fraudulently issued certificates for their domain. All major CAs are now required to log certificates.	RFC 6962, Google CT
tls/t015	tls	mixed-content,browser,security	Mixed Content Blocking	Browsers block "mixed content" — HTTP resources loaded on HTTPS pages — because a single insecure resource can compromise the entire page. This simple rule caused years of migration pain as sites discovered embedded HTTP images, scripts, and stylesheets that broke when upgrading to HTTPS.	W3C Mixed Content spec
