---
tags:
- networking
- l1
- flashcard-deck
- mellanox-switches
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Mellanox Switches](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
mellanox-switches/a1b2c3d4e5f6	mellanox-switches	easy	mellanox, history	What company originally made Mellanox switches, and who owns them now?	"Mellanox Technologies designed the switches. NVIDIA acquired Mellanox in 2020. The switch line continues under the ""NVIDIA Networking"" brand.\n\nFun fact: Mellanox acquired by NVIDIA (2020, $6.9B). Powers AI/HPC networking.\n\nNumber anchor: NVIDIA paid $6.9 billion for Mellanox in April 2020 — the largest acquisition in NVIDIA\'s history at the time."	training/library/topics/mellanox-switches/primer.md
mellanox-switches/b2c3d4e5f6a7	mellanox-switches	easy	mellanox, onyx, cli	What is the current name of the Mellanox switch operating system?	Onyx (formerly MLNX-OS). The name MLNX-OS still appears in firmware filenames.\n\nFun fact: Mellanox acquired by NVIDIA (2020, $6.9B). Powers AI/HPC networking.\n\nName origin: Onyx is a dark gemstone, fitting for networking firmware. The name change from MLNX-OS happened around 2018.	training/library/topics/mellanox-switches/primer.md
mellanox-switches/c3d4e5f6a7b8	mellanox-switches	easy	mellanox, onyx, cli	What is the Onyx command to save the running configuration to persistent storage?	"<code>configuration write</code> — not ""write memory"" or ""copy running-config startup-config"" as in Cisco IOS.\n\nRemember: ONYX = Mellanox switch OS. Cumulus = Linux-based NOS. Both on Spectrum ASICs.\n\nGotcha: Forgetting `configuration write` before reboot loses all changes. Unlike Cisco\'s `wr mem`, the command is `configuration write` — muscle memory from other vendors will fail you."	training/library/topics/mellanox-switches/primer.md
mellanox-switches/d4e5f6a7b8c9	mellanox-switches	easy	mellanox, spectrum, asic	Name the four generations of the Spectrum ASIC family in order.	Spectrum (SN2000), Spectrum-2 (SN3000), Spectrum-3 (SN4000), Spectrum-4 (SN5000). Each roughly doubles bandwidth density.\n\nRemember: Spectrum ASICs: -1(100G), -2(200G), -3(400G), -4(800G). Each gen ~doubles.\n\nTimeline: Spectrum (2016), Spectrum-2 (2019), Spectrum-3 (2020), Spectrum-4 (2022). Each generation roughly doubles bandwidth density.	training/library/topics/mellanox-switches/primer.md
mellanox-switches/e5f6a7b8c9d0	mellanox-switches	easy	mellanox, spectrum	What maximum port speed does the Spectrum-3 (SN4000) ASIC support?	400G per port.\n\nRemember: Spectrum ASICs: -1(100G), -2(200G), -3(400G), -4(800G). Each gen ~doubles.\n\nUnder the hood: 400G is achieved using 8 lanes of 50G PAM4 signaling. Spectrum-4 reaches 800G with 8 lanes of 100G PAM4.\n\nAnalogy: Think of port speed generations like highway lanes — each generation widens the highway while also making each lane faster.	training/library/topics/mellanox-switches/primer.md
mellanox-switches/f6a7b8c9d0e1	mellanox-switches	easy	mellanox, wjh	What does WJH stand for on Mellanox switches?	What Just Happened — a hardware-level feature that logs every packet dropped by the ASIC with the drop reason.\n\nFun fact: Mellanox acquired by NVIDIA (2020, $6.9B). Powers AI/HPC networking.\n\nUnder the hood: WJH uses dedicated ASIC hardware counters to log drops with zero performance impact. Traditional packet capture can\'t catch packets the ASIC drops.\n\nDebug clue: `show what-just-happened forwarding` shows the most recent drops with reason codes — faster than tcpdump for ASIC-level drops.	training/library/topics/mellanox-switches/street_ops.md
mellanox-switches/a7b8c9d0e1f2	mellanox-switches	easy	mellanox, ufm	What is UFM in the Mellanox ecosystem?	Unified Fabric Manager — a centralized management platform for multi-switch fabrics providing topology discovery, health monitoring, firmware orchestration, and telemetry.\n\nFun fact: Mellanox acquired by NVIDIA (2020, $6.9B). Powers AI/HPC networking.\n\nAnalogy: UFM is to Mellanox switches what vCenter is to VMware ESXi hosts — a single pane of glass for multi-device management.	training/library/topics/mellanox-switches/primer.md
mellanox-switches/b8c9d0e1f2a3	mellanox-switches	easy	mellanox, mlag	What does MLAG stand for on Mellanox switches?	Multi-Chassis Link Aggregation — allows two physical switches to present as one logical switch for link aggregation to downstream devices.\n\nFun fact: Mellanox acquired by NVIDIA (2020, $6.9B). Powers AI/HPC networking.\n\nAnalogy: MLAG is like two switches pretending to be one for downstream devices. The downstream device sees a single LAG partner.\n\nGotcha: MLAG requires an ISL (Inter-Switch Link) between peers. If the ISL fails, split-brain occurs.	training/library/topics/mellanox-switches/street_ops.md
mellanox-switches/c9d0e1f2a3b4	mellanox-switches	easy	mellanox, onyx, show	What Onyx command shows all LLDP neighbor information?	<code>show lldp interfaces</code>\n\nRemember: ONYX = Mellanox switch OS. Cumulus = Linux-based NOS. Both on Spectrum ASICs.\n\nRemember: LLDP = Link Layer Discovery Protocol. It\'s vendor-neutral, unlike Cisco\'s CDP. Both discover neighbors but LLDP works across vendors.	training/library/topics/mellanox-switches/primer.md
mellanox-switches/d0e1f2a3b4c5	mellanox-switches	medium	mellanox, roce, rdma	What is RoCEv2 and why does it need lossless Ethernet?	RDMA over Converged Ethernet v2 — it carries RDMA traffic over standard Ethernet using UDP. Because RDMA assumes a reliable transport, any packet drop causes expensive retransmissions, so PFC is used to make the Ethernet fabric lossless.\n\nRemember: RDMA = bypass CPU for low latency. RoCE = RDMA over Ethernet. v2 uses UDP.\n\nName origin: RDMA = Remote Direct Memory Access. RoCE = RDMA over Converged Ethernet. v2 added UDP encapsulation for L3 routing.	training/library/topics/mellanox-switches/street_ops.md
mellanox-switches/e1f2a3b4c5d6	mellanox-switches	medium	mellanox, pfc, roce	What is Priority Flow Control (PFC) and what priority is typically used for RoCE?	PFC allows pausing traffic on a specific 802.1p priority class without stopping other classes. Priority 3 is the conventional choice for RoCE traffic.\n\nRemember: RDMA = bypass CPU for low latency. RoCE = RDMA over Ethernet. v2 uses UDP.\n\nAnalogy: PFC is like a traffic light that only stops one lane (priority class) while letting others flow freely.	training/library/topics/mellanox-switches/street_ops.md
mellanox-switches/f2a3b4c5d6e7	mellanox-switches	medium	mellanox, ecn	What role does ECN play alongside PFC in a lossless fabric?	"ECN (Explicit Congestion Notification) marks packets when buffer utilization crosses a threshold, signaling senders to reduce rate. This prevents buffers from filling to the point where PFC must pause traffic, avoiding PFC storms.\n\nRemember: DCB = lossless Ethernet. PFC=flow control, ECN=congestion notification. For RoCE.\n\nRemember: ""ECN = early warning, PFC = emergency brake."" ECN tells senders to slow down before buffers fill. PFC stops traffic when buffers are about to overflow."	training/library/topics/mellanox-switches/street_ops.md
