---
tags:
- devops
- l1
- flashcard-deck
- graphql
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [GraphQL](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
graphql/3a1f8c2e904b	graphql	easy	graphql, sdl, types	What are the five built-in scalar types in GraphQL SDL?	String, Int, Float, Boolean, and ID. ID is serialized as a String but signals to the type system that it is an opaque, unique identifier rather than human-readable text.\n\nName origin: GraphQL was created by Facebook in 2012, open-sourced in 2015. The Graph refers to the application data graph it exposes.\n\nRemember: SIFBI — String, Int, Float, Boolean, ID. Five built-in scalars.\n\nGotcha: Custom scalars (DateTime, JSON, URL) must be explicitly defined and have serialization logic.	training/library/topics/graphql/primer.md
graphql/7d4b2f1a6e83	graphql	easy	graphql, sdl, nullability	What does the exclamation mark (!) mean in a GraphQL type declaration?	It marks the field as non-nullable — the server guarantees it will never return null for that field. A field without ! is nullable and may return null. A list type like [Order!]! means the list itself is non-null and every element in it is also non-null.	training/library/topics/graphql/primer.md
graphql/c8e5a3d70f12	graphql	easy	graphql, operations	What are the three root operation types in GraphQL?	Query (read-only data fetching), Mutation (state-changing operations), and Subscription (real-time event streams). Every GraphQL document must specify one of these as its operation type.\n\nRemember: QMS — Query (read), Mutation (write), Subscription (stream). Three root operations.\n\nGotcha: Despite the name, a Query can trigger side effects in a poorly designed server. The convention is that only Mutations change state.\n\nFun fact: Subscriptions use WebSocket (graphql-ws protocol) or Server-Sent Events for real-time updates.	training/library/topics/graphql/primer.md
graphql/b2f9e7c41053	graphql	easy	graphql, sdl, input-types	Why does GraphQL use separate Input types for mutations instead of reusing Object types?	Object types can contain fields that reference other Object types and may include computed or resolver-backed fields that don't make sense as inputs. Input types are simpler — they are plain data bags with scalar and enum fields. The separation keeps the read schema and write schema distinct and prevents accidentally exposing server-side computed fields as writable arguments.	training/library/topics/graphql/primer.md
graphql/5e3c9a8b2d76	graphql	easy	graphql, resolvers	What are the four arguments passed to every GraphQL resolver function?	(1) parent (or root): the resolved value of the parent field. (2) args: the arguments passed to this field in the query. (3) context: shared request-scoped object containing DB connections, auth info, DataLoader instances, etc. (4) info: the query AST, field path, and schema — used for optimizations and projections.	training/library/topics/graphql/primer.md
graphql/9f1d6e4a7b30	graphql	easy	graphql, over-fetching, rest	What problems does GraphQL solve that REST APIs commonly exhibit?	Over-fetching: REST endpoints return fixed shapes — clients receive fields they don't need. Under-fetching: a single screen may require multiple REST round trips to assemble its data. GraphQL lets clients request exactly the fields they need in a single request, eliminating both problems.	training/library/topics/graphql/primer.md
graphql/4a7c3e2f91b8	graphql	easy	graphql, introspection	What is GraphQL introspection and why is it disabled in production?	Introspection is a built-in mechanism that lets clients query the schema itself — listing all types, fields, arguments, directives, and deprecation notes. It powers tools like GraphiQL. In production it is disabled because it exposes the full API surface to potential attackers, including deprecated field names that may contain migration hints revealing internal design decisions.	training/library/topics/graphql/street_ops.md
graphql/0b8d5f3c6a19	graphql	easy	graphql, http	What HTTP status code does a GraphQL server return for a query that partially fails?	200 OK, even when errors occurred. GraphQL returns partial data alongside an errors array. The presence of HTTP 200 does not mean the response is error-free — callers must always check for an errors field in the response body.	training/library/topics/graphql/street_ops.md
graphql/e6f2b4d81c07	graphql	easy	graphql, fragments	What is a GraphQL fragment and when do you use one?	A fragment is a reusable selection set named and defined separately from a query. You use fragments to avoid repeating the same field list across multiple queries, to share field selections between operations, and to co-locate data requirements with the UI component that uses them (the Relay/Colocated Fragments pattern).	training/library/topics/graphql/primer.md
graphql/2c5e9a7f3b14	graphql	medium	graphql, n+1, performance	Explain the N+1 problem in GraphQL and how DataLoader solves it.	N+1 occurs when a query fetches a list of N items and each item's resolver fires an independent DB query to load a related resource. 100 orders with a user resolver generates 101 queries. DataLoader solves it by batching: it collects all .load() calls within the same event loop tick, fires a single batch query for all IDs, and returns results mapped back to each caller. This reduces 101 queries to 2.	training/library/topics/graphql/primer.md
graphql/8d3f1c7e5a02	graphql	medium	graphql, dataloader, caching	Why must DataLoader instances be created per-request, not as module-level singletons?	DataLoader maintains an in-memory cache keyed by ID. A singleton would accumulate stale entries across requests and serve one user's data to another user (cache poisoning). Per-request instances are created fresh in the context factory, share their cache only within that request's resolver tree, and are garbage-collected when the request ends.	training/library/topics/graphql/primer.md
graphql/1a9b4d6f2c35	graphql	medium	graphql, pagination	What is the difference between offset pagination and cursor pagination in GraphQL, and when should you prefer each?	Offset pagination uses limit/offset arguments and is simple but unstable under concurrent writes — new inserts shift rows and cause duplicates or skips across pages. Cursor pagination uses opaque cursors (typically base64-encoded IDs or timestamps) and is stable under writes and efficient at any depth. Use cursor pagination for any list that grows under production load; use offset only for small, stable, admin-facing lists.	training/library/topics/graphql/primer.md
graphql/7e2c8b5a3f91	graphql	medium	graphql, relay, pagination	What are the five standard fields in a Relay-spec connection type?	A connection type contains: edges (list of edge objects), pageInfo (pagination metadata), and optionally totalCount. Each edge contains: node (the actual item) and cursor (opaque pointer for pagination). pageInfo contains: hasNextPage, hasPreviousPage, startCursor, and endCursor.	training/library/topics/graphql/primer.md
graphql/d4a6f0e7c821	graphql	medium	graphql, errors, extensions	What should every GraphQL error extension include for programmatic handling?	A machine-readable code in the extensions object (e.g., extensions.code: "NOT_FOUND"). Clients must never parse the human-readable message string for logic decisions — it can change. The code field enables stable error handling, retry logic, and localized error display. Additional extension fields like the resource type or ID help callers understand context without embedding it in the message.	training/library/topics/graphql/primer.md
graphql/6b1e9d3c5f08	graphql	medium	graphql, security, depth	How do query depth limits and complexity scoring protect a GraphQL API from abuse?	Depth limits reject queries nested beyond a threshold (e.g., 5 levels), blocking recursive fan-out attacks. Complexity scoring assigns a cost to each field (with list fields multiplied by requested count) and rejects queries whose total cost exceeds a budget. Together they cap the worst-case work any single query can force the server to perform, making the API resistant to both adversarial and accidental expensive queries.	training/library/topics/graphql/primer.md
