id	category	tags	topic_text	trivia_fact	source
gitops/t001	gitops	alexis-richardson,weaveworks,coined	GitOps Coined	The term "GitOps" was coined by Alexis Richardson, CEO of Weaveworks, in a 2017 blog post. He described it as an operating model where Git repositories serve as the single source of truth for both application code and infrastructure declarations.	weaveworks.com
gitops/t002	gitops	git,single-source-of-truth,philosophy	Git as Truth	GitOps uses Git as the single source of truth because Git already solves versioning, audit trails, rollback, and collaboration. The insight was that if Git is good enough to manage your code, it's good enough to manage your infrastructure state.	weaveworks.com
gitops/t003	gitops	pull,push,model	Pull vs Push	GitOps distinguishes between "pull" and "push" deployment models. In the pull model (preferred), an agent in the cluster watches the Git repo and applies changes automatically. In the push model, a CI pipeline pushes changes to the cluster. The pull model is considered more secure.	gitops-principles
gitops/t004	gitops	argocd,intuit,implementation	ArgoCD Origin	Argo CD was created at Intuit (the TurboTax company) in 2018 and donated to the CNCF. It became the most popular GitOps tool for Kubernetes, providing a declarative, Git-based continuous delivery engine with a visual UI for cluster state.	argoproj.github.io
gitops/t005	gitops	flux,weaveworks,implementation	Flux Origin	Flux was created by Weaveworks (the company that coined GitOps) and was one of the first GitOps implementations. Flux v2 was rewritten from scratch and graduated as a CNCF project. It pioneered the "reconciliation loop" pattern for GitOps controllers.	fluxcd.io
gitops/t006	gitops	weaveworks,shutdown,irony	Weaveworks Shutdown	In a twist of irony, Weaveworks — the company that coined "GitOps" and built Flux — shut down in February 2024 due to financial difficulties. The GitOps concept they created outlived the company, with ArgoCD and Flux continuing under CNCF stewardship.	weaveworks.com
gitops/t007	gitops	reconciliation,loop,concept	Reconciliation Loop	The GitOps reconciliation loop continuously compares the desired state in Git with the actual state in the cluster and corrects any drift. This concept was borrowed from Kubernetes' own controller pattern, where controllers constantly reconcile actual state toward desired state.	gitops-principles
gitops/t008	gitops	drift-detection,compliance	Drift Detection	GitOps solves "configuration drift" — when environments silently deviate from their declared state due to manual changes. By continuously reconciling against Git, unauthorized changes are automatically reverted, providing both operational safety and compliance audit trails.	gitops-principles
gitops/t009	gitops	opengitops,cncf,principles	OpenGitOps Principles	The OpenGitOps project (CNCF sandbox) formalized four GitOps principles in 2021: declarative configuration, versioned and immutable desired state, automatic pull-based reconciliation, and continuous reconciliation. These principles are vendor-neutral and tool-agnostic.	opengitops.dev
gitops/t010	gitops	progressive-delivery,extension	Progressive Delivery	GitOps has been extended with "progressive delivery" tools like Argo Rollouts and Flagger, which add canary releases and blue-green deployments to the GitOps model. The desired state in Git includes rollout strategy, and the controller handles the gradual traffic shift.	argoproj.github.io
