alias	canonical
hpa	horizontal_pod_autoscaler
k8s	kubernetes
k3s	kubernetes_distribution
pods	pod
deploy	deployment
svc	service
cm	configmap
ns	namespace
pv	persistent_volume
pvc	persistent_volume_claim
sc	storage_class
netpol	networkpolicy
sa	service_account
rb	rolebinding
crb	cluster_role_binding
pdb	pod_disruption_budget
rs	replicaset
ds	daemonset
sts	statefulset
ing	ingress
ep	endpoints
sm	servicemonitor
otel	opentelemetry
otlp	opentelemetry_protocol
oom	oomkilled
clb	crashloopbackoff
ipb	imagepullbackoff
ci	continuous_integration
cd	continuous_delivery
iac	infrastructure_as_code
tf	terraform
prom	prometheus
loki	loki_logging
slo	service_level_objective
sli	service_level_indicator
cve	vulnerability
sbom	software_bill_of_materials
argo	argocd
