id	category	tags	topic_text	trivia_fact	source
observability/t001	observability	control-theory,kalman,origin	Term From Control Theory	"Observability" was formally defined by Hungarian-American engineer Rudolf Kalman in 1960. In control theory, a system is observable if its internal state can be determined from its external outputs. Charity Majors and others popularized its application to software systems around 2017.	Kalman, 1960; Majors (Honeycomb)
observability/t002	observability	three-pillars,debate,metrics	Three Pillars Debate	The "three pillars of observability" (logs, metrics, traces) became conventional wisdom, but Charity Majors and Ben Sigelman have argued this framing is misleading — it focuses on data types rather than the ability to ask arbitrary questions of your system without deploying new code.	Charity Majors, Honeycomb blog
observability/t003	observability	opentelemetry,merger,cncf	OpenTelemetry Merger	OpenTelemetry was formed in 2019 by merging two competing CNCF projects: OpenCensus (backed by Google) and OpenTracing (backed by Uber/LightStep). The merge ended a confusing standards war and created the second-most-active CNCF project after Kubernetes.	opentelemetry.io
observability/t004	observability	jaeger,naming,german	Jaeger Means Hunter	Jaeger, Uber's open-source distributed tracing system, is named after the German word "Jager" meaning "hunter." The metaphor: tracing "hunts" requests across microservices. It was donated to CNCF in 2017 and graduated in 2019.	jaegertracing.io
observability/t005	observability	zipkin,twitter,naming	Zipkin From Twitter	Zipkin was created at Twitter in 2012, inspired by Google's Dapper tracing paper. The name "Zipkin" comes from the B. J. Zipkin character — but is also a play on how traces "zip" across services following requests at speed.	zipkin.io
observability/t006	observability	structured-logging,json,revolution	Structured Logging Revolution	Traditional logging produced unstructured text lines parsed with regex. Structured logging (emitting JSON or key-value pairs) gained momentum around 2015, making logs queryable without fragile parsing. Libraries like Go's zap and Python's structlog drove adoption.	structlog.org
observability/t007	observability	cardinality,dimensions,cost	The Cardinality Problem	High cardinality (many unique values for a dimension, like user IDs or request IDs) is essential for debugging but extremely expensive to store as metrics. This tension drove the development of columnar event stores like Honeycomb, which handle high-cardinality data natively.	Charity Majors, Honeycomb
observability/t008	observability	dapper,google,tracing	Google Dapper Paper	Google published the Dapper paper in 2010, describing its production distributed tracing system. Dapper inspired virtually every open-source tracing system that followed: Zipkin, Jaeger, and eventually OpenTelemetry's trace model.	Sigelman et al., Google (2010)
observability/t009	observability	slo,sli,error-budget	SLOs and Error Budgets	Service Level Objectives (SLOs) backed by error budgets were popularized by Google's SRE book. The insight: instead of targeting 100% uptime (impossible), define an acceptable error rate and "spend" the budget on shipping features. When the budget is exhausted, freeze deployments.	Google SRE Book (2016)
observability/t010	observability	wide-events,honeycomb,paradigm	Wide Events Paradigm	Honeycomb popularized "wide events" — single structured events with hundreds of fields capturing full request context. This approach contrasts with traditional metrics (pre-aggregated) and logs (unstructured text), enabling exploratory debugging without predefined dashboards.	honeycomb.io/blog
observability/t011	observability	context-propagation,w3c,standard	W3C Trace Context Standard	W3C Trace Context became a standard in 2020, defining HTTP headers (traceparent, tracestate) for propagating trace context across services. Before this, every tracing system used incompatible headers, making cross-vendor tracing nearly impossible.	w3.org/TR/trace-context
observability/t012	observability	flamegraph,brendan-gregg,visualization	Flame Graphs Visualization	Flame graphs were invented by Brendan Gregg at Joyent in 2011 to visualize stack trace profiling data. The x-axis shows stack depth and the y-axis shows the call hierarchy. They became the standard visualization for CPU and memory profiling across all major platforms.	brendangregg.com
