"A release is stuck in a ""pending-upgrade"" state after a failed deploy. How do you recover?"	First, check status with `helm status &lt;release&gt;` and history with `helm history &lt;release&gt;`. If the release is stuck in pending-upgrade or pending-install, you can attempt `helm rollback &lt;release&gt; &lt;last-good-revision&gt;`. If rollback also fails, use `helm uninstall &lt;release&gt;` (possibly with --no-hooks) and reinstall, or as a last resort, manually delete the Helm secret (sh.helm.release.v1.&lt;name&gt;.v&lt;N&gt;) storing the broken state.	helm medium release management
"You run `helm install` and get ""YAML parse error on template.yaml line 42"". The template looks correct. How do you debug this?"	Steps: 1) Run `helm template --debug &lt;chart&gt;` to see the fully rendered output with line numbers. 2) Pipe output to `yamllint` or `kubectl apply --dry-run=client -f -`. 3) Check for whitespace issues -- incorrect nindent values, missing hyphens in block scalars (|-), or accidental tab characters. 4) Use `{{ .Values.foo | toYaml | nindent N }}` carefully -- wrong N is the #1 cause of invisible YAML errors. 5) Add `{{- /* debug */ -}}` comments to isolate sections.	helm hard template debugging
What is the difference between `helm install` and `helm upgrade --install`?	`helm install` fails if the release already exists. `helm upgrade --install` (idempotent) installs the release if it does not exist, or upgrades it if it does. This makes it the preferred command in CI/CD pipelines where you want a single command that works for both first-time deploy and subsequent updates.	helm easy upgrade
What happens when you deploy a chart with `helm install --namespace foo --create-namespace` but some templates hardcode a different namespace in their metadata?	Helm sets the namespace on resources that do not specify one, but resources with an explicit namespace in their metadata are deployed to that hardcoded namespace. This creates a split-brain situation where `helm uninstall` only removes resources tracked in its release secret (stored in the --namespace), potentially orphaning cross-namespace resources. Avoid hardcoding namespaces in templates; use `{{ .Release.Namespace }}` instead.	helm medium namespace
How do you view the release history and compare what changed between two revisions?	Use `helm history &lt;release&gt;` to list all revisions with status, chart version, and description. To compare two revisions, use the helm-diff plugin: `helm diff revision &lt;release&gt; &lt;rev1&gt; &lt;rev2&gt;`. You can also retrieve the manifest for a specific revision with `helm get manifest &lt;release&gt; --revision &lt;N&gt;` and diff manually.	helm easy history revision
Explain the three-way merge that Helm 3 uses during upgrades. Why can live edits via kubectl cause surprises?	Helm 3 compares three sources during upgrade: the old chart manifest (last release), the new chart manifest (current template), and the live cluster state. If someone edited a resource via kubectl (changing replicas, for example), and the old and new chart manifests both say replicas: 2, Helm sees no change in its manifests and keeps the live value. But if the new manifest changes replicas to 3, Helm patches it to 3, overwriting the manual edit. This makes manual edits unpredictable -- they may persist or be silently reverted depending on whether the chart changes that field.	helm hard three-way-merge
How do you push and pull Helm charts using OCI registries instead of traditional chart repositories?	Helm 3.8+ supports OCI natively. Push: `helm push mychart-0.1.0.tgz oci://registry.example.com/charts`. Pull: `helm pull oci://registry.example.com/charts/mychart --version 0.1.0`. Install directly: `helm install myrelease oci://registry.example.com/charts/mychart --version 0.1.0`. Authenticate with `helm registry login`. OCI registries eliminate the need for a separate index.yaml and support existing container registry infrastructure (ECR, GCR, ACR, GHCR).	helm medium oci registry
What does the `lookup` function do in Helm templates, and when does it return empty?	"The `lookup` function queries live cluster resources during template rendering: `{{ lookup ""v1"" ""Secret"" ""default"" ""my-secret"" }}`. It returns the resource object or an empty dict if not found. Important: lookup always returns empty during `helm template` and `--dry-run` because there is no cluster connection. Guard lookup usage with conditionals to handle both cases, or your templates will behave differently in CI vs. actual deploys."	helm medium lookup template
What does `helm lint` check, and what is the difference between warnings and errors?	`helm lint &lt;chart-path&gt;` validates chart structure: checks Chart.yaml is well-formed, templates render without error, and rendered YAML is valid. Errors (e.g., missing Chart.yaml, template syntax errors) cause a non-zero exit code. Warnings (e.g., missing icon in Chart.yaml, deprecated API versions) are informational and do not fail the lint. Use `--strict` to treat warnings as errors in CI pipelines.	helm easy lint
What do the `--atomic` and `--wait` flags do during `helm upgrade`, and how do they interact?	`--wait` makes Helm wait until all resources are in a ready state (Pods running, Deployments available, etc.) before marking the release as successful. `--atomic` implies --wait and adds automatic rollback: if the release fails or times out, Helm rolls back to the previous revision. Use `--timeout` to control the wait duration (default 5m). In CI/CD, --atomic is preferred because a failed deploy does not leave the cluster in a half-upgraded state.	helm medium upgrade atomic
