---
tags:
- linux
- l1
- flashcard-deck
- linux-fundamentals
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Fundamentals](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-fundamentals/01abb1adc7e4	linux-fundamentals	medium	linux, user-management	How to generate a random string of 7 characters?	`mkpasswd -l 7`\n\nRemember: Unix philosophy: one thing well, compose with pipes. `man cmd` is your friend.\n\nGotcha: Test destructive commands with echo or --dry-run first.	projects/knowledge/interview/linux/170-how-to-generate-a-random-string-of-7-characters.txt
linux-fundamentals/027f886af6a6	linux-fundamentals	medium	linux	How to rename the name of a file or a directory?	Using the `mv` command.\n\nRemember: Unix philosophy: one thing well, compose with pipes. `man cmd` is your friend.\n\nGotcha: Test destructive commands with echo or --dry-run first.	projects/knowledge/interview/linux/138-how-to-rename-the-name-of-a-file-or-a-directory.txt
linux-fundamentals/03cd84910657	linux-fundamentals	easy	linux, commands	What command shows the current directory path?	`pwd` (Print Working Directory) displays the absolute path of your current directory. Example output: `/home/user/projects`. Use `pwd -P` to resolve symlinks and show the physical path. \nGotcha: in a symlinked directory, plain `pwd` may show the symlink path while `pwd -P` shows the real location.	projects/knowledge/interview/linux/562-pwd-command.txt
linux-fundamentals/06ed99f6fcf5	linux-fundamentals	medium	linux, system	What are soft limits and hard limits?	**Hard limit** is the maximum allowed to a user, set by the superuser or root. This value is set in the file `/etc/security/limits.conf`. The user can increase the **soft limit** on their own in times of needing more resources, but cannot set the **soft limit** higher than the **hard limit**.\n\nRemember: Unix philosophy: one thing well, compose with pipes. `man cmd` is your friend.\n\nGotcha: Test destructive commands with echo or --dry-run first.	projects/knowledge/interview/linux/064-what-are-soft-limits-and-hard-limits.txt
linux-fundamentals/07499874dd58	linux-fundamentals	easy	linux, system	Every command fails with `command not found`. How to trace the source of the error and resolve it?	It looks that at one point or another are overwriting the default `PATH` environment variable. The type of errors you have, indicates that `PATH` does not contain e.g. `/bin`, where the commands (including bash) reside.\n\nOne way to begin debugging your bash script or command would be to start a subshell with the `-x` option:\n\n```bash\nbash --login -x\n```\n\nThis will show you every command, and its arguments, which is executed when starting that shell.\n\nAlso very helpful is show `PATH` variable values:\n\n```bash\necho $PATH\n```\n\nRemember: Man sections: 1=commands, 5=file formats, 8=admin. `man 5 passwd` = file format.	projects/knowledge/interview/linux/015-every-command-fails-with-codecommand-not-foundcode.txt
linux-fundamentals/0a2e3fc0c03e	linux-fundamentals	easy	linux, commands	What is the cat command short for?	Concatenate — `cat` is short for concatenate. Its primary purpose is joining multiple files end-to-end and writing the result to stdout, though it is most commonly used to display the contents of a single file.\n\nRemember: Man sections: 1=commands, 5=file formats, 8=admin. `man 5 passwd` = file format.	projects/knowledge/interview/linux/569-cat-meaning.txt
linux-fundamentals/0bf0187f0ba0	linux-fundamentals	easy	linux, system	How do I grep recursively?	Use `grep -r` (or `grep -rn` to include line numbers). Examples: `grep -r 'pattern' /path/to/dir` searches all files recursively. `grep -rn 'TODO' .` shows matches with line numbers. `grep -rl 'pattern' .` lists only filenames.\n\nRemember: grep = Global Regular Expression Print. `-r` recursive, `-i` insensitive, `-n` line numbers.\n\nExample: `grep -rn 'ERROR' /var/log/` — recursive with line numbers.	projects/knowledge/interview/linux/022-how-do-i-codegrepcode-recursively-explain-on-sever.txt
linux-fundamentals/104acd29438b	linux-fundamentals	easy	linux, commands, grep	How do you find a text string in files on Linux?	Using the grep command (e.g., grep "search_term" filename).\n\nRemember: Unix philosophy: one thing well, compose with pipes. `man cmd` is your friend.\n\nGotcha: Test destructive commands with echo or --dry-run first.	projects/knowledge/interview/linux/558-find-text-string-in-files.txt
linux-fundamentals/1421f0d43961	linux-fundamentals	medium	linux, system	Create a file with 100 lines with random values.	For example:\n\n```bash\ncat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 32 | head -n 100 > /path/to/file\n```\n\nRemember: Unix philosophy: one thing well, compose with pipes. `man cmd` is your friend.\n\nGotcha: Test destructive commands with echo or --dry-run first.	projects/knowledge/interview/linux/067-create-a-file-with-100-lines-with-random-values.txt
linux-fundamentals/1a282e4b9c68	linux-fundamentals	medium	linux, bash, shell, globbing	What happens when you execute ls -l *.log?	The shell expands *.log before ls runs:\n\n1. Shell glob expansion:\n   - Shell finds all files matching *.log\n   - Replaces *.log with list of filenames\n   - ls sees: ls -l file1.log file2.log file3.log\n\n2. If no matches:\n   - Default: literal "*.log" passed to ls\n   - With nullglob: empty string (no argument)\n   - ls may error or show nothing\n\n3. ls execution:\n   - Receives expanded filenames\n   - Calls stat() on each file\n   - Displays long format info\n\nKey point: Glob expansion happens in shell, not in ls.\n- ls never sees the asterisk\n- Shell does pattern matching before exec	projects/knowledge/interview/linux/407-what-happens-when-you-execute-ls-l-log.txt
