How do you ensure that backups are consistent across different types of databases and applications?	• Backup Policies and Procedures: Establish standardized backup policies and procedures that are tailored to the specific requirements of different types of databases and applications. • Database Consistency Checks: Implement database consistency checks before initiating backups to ensure that data is in a stable and coherent state. • Application-Aware Backups: Utilize application-aware backup solutions that understand the internal structure and dependencies of applications, ensuring consistent backups.	monitoring medium miscellaneous alerting backup control-flow
Have you used any tools or methodologies for predicting resource usage and capacity requirements?	• Performance Monitoring Tools: Utilized performance monitoring tools such as Nagios, Prometheus, or SolarWinds to collect and analyze real-time data on resource usage, aiding in the identification of usage patterns. • Historical Data Analysis: Leveraged historical data analysis to identify trends and patterns in resource usage, providing insights into seasonal variations and long-term growth trends. • Capacity Planning Tools: Employed capacity planning tools like VMware vRealize Operations or Turbonomic to model resource usage, simulate scenarios, and predict future capacity requirements.	monitoring medium miscellaneous control-flow logging
How do you keep abreast of industry best practices and evolving technologies in data center management?	• Professional Memberships: Join professional organizations and communities related to data center management to stay informed about industry trends and best practices. • Conferences and Seminars: Attend conferences, seminars, and webinars focused on data center management to learn about the latest technologies and industry insights. • Continuous Learning: Engage in continuous learning through online courses, certifications, and workshops to stay updated on evolving technologies.	monitoring medium miscellaneous logging text-processing
What is the difference between metrics, logs, and alerts?	Three pillars with different purposes:\n\n**Metrics**: Numerical time-series data showing trends.\n* CPU usage, request latency, error rates\n* Good for: dashboards, capacity planning, anomaly detection\n* Aggregated, cheap to store long-term\n\n**Logs**: Event records explaining what happened.\n* Stack traces, request details, audit trails\n* Good for: debugging, forensics, compliance\n* Expensive at scale, usually sampled or rotated\n\n**Alerts**: Notifications requiring human attention.\n* Something is wrong NOW and needs action\n* Should be actionable and rare\n\n**Anti-pattern**: Mixing them. Dashboards full of logs. Alerts on every metric. Logs nobody reads.\n\nMetrics show trends, logs explain why, alerts wake humans.	monitoring hard observability
What makes an alert bad in monitoring and how do you improve it?	"A bad alert is one that fires but doesn't require action.\n\n**Examples of bad alerts**:\n* Fires constantly (becomes noise)\n* No clear remediation steps\n* Requires no human intervention (self-heals)\n* Too sensitive (false positives)\n* Too vague (""Something is wrong"")\n* Pages for non-urgent issues\n\n**Good alert criteria**:\n* Actionable: Someone must DO something\n* Urgent: Can't wait until business hours\n* Real: High signal, low false positive rate\n* Documented: Runbook exists\n\n**Test**: If you can't write a runbook for it, it's not an alert - it's a metric to watch.\n\nEvery unnecessary alert trains people to ignore alerts."	monitoring hard observability
"What is the ""Default configuration""?"	[Grafana docs](https://grafana.com/docs/grafana/latest/administration/configuration/): The default configuration contains settings that Grafana use by default. The location depends on the OS environment, note that $WORKING_DIR refers to the working directory of Grafana.\n- Windows: ```$WORKING_DIR/conf/defaults.ini```\n- Linux: ```/etc/grafana/grafana.ini```\n- macOS: ```/usr/local/etc/grafana/grafana.ini```	monitoring easy dashboards
How do you handle a situation where multiple servers are down, and the cause is unclear?	• Initial Triage: Quickly assess the severity of the issue and its impact on critical services and operations. • Communication: Initiate communication with the relevant teams, including system administrators, network engineers, and support staff. • Check Centralized Monitoring: Review centralized monitoring tools to identify common patterns or alerts across the affected servers. • Review Recent Changes: Investigate recent changes in configurations, updates, or deployments that may have contributed to the outage.	monitoring medium miscellaneous alerting control-flow debugging
What is the fundamental difference between Nagios-style and Prometheus-style monitoring?	Nagios uses check-based (pass/fail) monitoring with active polling or push. Prometheus uses metric-based monitoring (continuous numerical values) with a pull/scrape model, multi-dimensional labels, and PromQL for dynamic queries.	monitoring easy nagios prometheus
Explain the concept of SNMP (Simple Network Management Protocol) and its role in monitoring.	SNMP is a protocol used for network management and monitoring. SNMP is an application-layer protocol that facilitates the exchange of management information between network devices. **Components:* • SNMP involves three key components - managed devices (routers, servers), agents (software installed on managed devices), and a network management system (NMS). **Information Retrieval:* • SNMP allows the NMS to retrieve information from managed devices (e.g., performance metrics, error rates) and, in some cases, configure these devices.	monitoring medium miscellaneous alerting control-flow iam
Explain what is Grafana	"[Grafana Docs](https://grafana.com/docs/grafana/latest/introduction): ""Grafana is a complete observability stack that allows you to monitor and analyze metrics, logs and traces. It allows you to query, visualize, alert on and understand your data no matter where it is stored. Create, explore, and share beautiful dashboards with your team and foster a data driven culture."""	monitoring easy dashboards metrics alerting
