---
tags:
- security
- l1
- flashcard-deck
- secrets-management
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Secrets Management](../../../../library/portal/topics.md) | **Domain:** Security
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
secrets-management/a1b2c3d4e5f6	secrets-management	easy	secrets, kubernetes	Why are Kubernetes Secrets not truly secure by default?	Kubernetes Secrets are only base64-encoded, not encrypted. Anyone with kubectl get secret access can decode them. They also lack encryption at rest in etcd unless explicitly enabled.\n\nRemember: "Vault = secrets API, not a file." Apps request secrets at runtime instead of reading config files.\n\nFun fact: HashiCorp Vault can generate dynamic credentials — each app gets unique, short-lived database passwords.	training/library/topics/secrets-management/primer.md
secrets-management/b2c3d4e5f6a7	secrets-management	easy	secrets, sealed-secrets	How do Sealed Secrets work at a high level?	Developers encrypt secrets with a cluster-specific public key using kubeseal. The encrypted SealedSecret YAML is safe to commit to Git. The Sealed Secrets controller in the cluster decrypts it into a regular Kubernetes Secret.\n\nGotcha: Seal/unseal is Vault's cold start problem. Vault starts sealed and needs N-of-M key shares to unseal.\n\nRemember: "Sealed = encrypted, Unsealed = ready. Auto-unseal delegates to a KMS."	training/library/topics/secrets-management/primer.md
secrets-management/c3d4e5f6a7b8	secrets-management	easy	secrets, least-privilege	Why should you never store secrets in a Git repository, even a private one?	Secrets in Git persist in the repository history forever, even after deletion. Anyone with repo access (including future contributors and compromised accounts) can recover them.\n\nRemember: "KV v2 = versioned secrets." You can retrieve previous versions and soft-delete secrets.\n\nExample: vault kv put secret/myapp password=s3cret && vault kv get -version=1 secret/myapp	training/library/topics/secrets-management/primer.md
secrets-management/d4e5f6a7b8c9	secrets-management	medium	secrets, vault, concepts	What are the four key concepts in HashiCorp Vault?	Secret engine (stores/generates secrets: kv, database, pki, transit), Auth method (how clients authenticate: kubernetes, OIDC, AppRole), Policy (what secrets a client can access), Lease (TTL on dynamic secrets, auto-revoked when expired).\n\nRemember: "Dynamic secrets = generated on demand, auto-expired." No shared passwords, no rotation burden.\n\nExample: vault read database/creds/my-role returns a unique username/password with a 1-hour TTL.	training/library/topics/secrets-management/primer.md
secrets-management/e5f6a7b8c9d0	secrets-management	medium	secrets, external-secrets	How does the External Secrets Operator (ESO) work?	ESO syncs secrets from external stores (Vault, AWS Secrets Manager, GCP Secret Manager) into Kubernetes Secrets. An ExternalSecret resource defines which remote secret to fetch, and ESO auto-refreshes it based on a configurable refreshInterval.	training/library/topics/secrets-management/primer.md
secrets-management/f6a7b8c9d0e1	secrets-management	medium	secrets, sops	How does SOPS encrypt secrets differently from Sealed Secrets?	SOPS encrypts specific values within YAML/JSON files while leaving keys readable, using age, PGP, or cloud KMS. It works at the file level in CI/CD pipelines, while Sealed Secrets is Kubernetes-native and encrypts entire secret data fields.	training/library/topics/secrets-management/primer.md
secrets-management/a7b8c9d0e1f2	secrets-management	medium	secrets, rotation	Why does changing a secret in Vault or AWS Secrets Manager not automatically update running pods?	The pods were started with the old secret value. Updating the external store does not restart pods. You need ESO's refreshInterval to update the Kubernetes Secret, plus a mechanism (like a rollout restart or Reloader) to restart the pods.	training/library/topics/secrets-management/primer.md
secrets-management/b8c9d0e1f2a3	secrets-management	hard	secrets, vault, dynamic	What are dynamic secrets in Vault and why are they more secure than static secrets?	Dynamic secrets are generated on demand with a TTL and automatically revoked when the lease expires. For example, Vault can create a temporary database credential per pod that expires in 1 hour, so there is no long-lived password to leak.	training/library/topics/secrets-management/primer.md
secrets-management/c9d0e1f2a3b4	secrets-management	hard	secrets, vault, kubernetes-auth	How does Vault's Kubernetes auth method work?	A pod authenticates to Vault using its ServiceAccount JWT token. Vault validates the token against the Kubernetes API, checks the ServiceAccount name and namespace against a configured role, and returns a Vault token scoped to the role's policy.	training/library/topics/secrets-management/primer.md
secrets-management/d0e1f2a3b4c5	secrets-management	hard	secrets, sealed-secrets, scopes	What are the three scope levels in Sealed Secrets and when would you use each?	Strict (default): sealed secret is bound to a specific name and namespace. Namespace-wide: can be renamed within the same namespace. Cluster-wide: can be used anywhere. Use strict for maximum security, namespace-wide for flexibility within a team, cluster-wide only for truly shared secrets.	training/library/topics/secrets-management/primer.md
