id	category	tags	topic_text	trivia_fact	source
k8s-networking/t001	k8s-networking	kubernetes,networking,pod-ip	Pod IP Model	Kubernetes mandates that every pod gets its own unique IP address and that all pods can communicate without NAT. This "flat networking" model was a deliberate simplification — it avoids the port-mapping complexity that plagued Docker's default bridge networking.	Kubernetes networking model docs
k8s-networking/t002	k8s-networking	kubernetes,cni,plugin	CNI Plugin System	The Container Network Interface (CNI) standard was created by CoreOS in 2015 to decouple container runtimes from networking implementations. Kubernetes adopted CNI to let operators choose their networking stack without changing any cluster code.	CNI specification (GitHub)
k8s-networking/t003	k8s-networking	kubernetes,calico,naming	Calico Name Origin	Project Calico is named after the calico cat — a multi-colored cat breed. The metaphor is that Calico weaves together multiple networking capabilities (routing, policy, encryption) into one colorful solution.	Tigera/Calico project history
k8s-networking/t004	k8s-networking	kubernetes,flannel,simple	Flannel Simplicity	Flannel, created by CoreOS, was one of the first and simplest CNI plugins. It uses a single flat layer-3 network and assigns each node a subnet. Its simplicity made it the default choice for learning environments, though production clusters often outgrow it.	Flannel GitHub repository
k8s-networking/t005	k8s-networking	kubernetes,kube-proxy,iptables	Why kube-proxy Exists	kube-proxy runs on every node to implement the Service abstraction. It originally used userspace proxying, then switched to iptables rules, and now supports IPVS mode for high-scale clusters. Despite the name, it is not a traditional proxy — it programs kernel-level packet forwarding rules.	Kubernetes kube-proxy docs
k8s-networking/t006	k8s-networking	kubernetes,service,abstraction	Service Abstraction	The Kubernetes Service was designed to solve the "discovery and load balancing" problem for ephemeral pods. Because pods come and go with new IPs, Services provide a stable virtual IP (ClusterIP) that never changes, even as the backend pods are replaced.	Kubernetes Service concepts
k8s-networking/t007	k8s-networking	kubernetes,clusterip,nodeport	Service Type Hierarchy	The three core Service types form a hierarchy: ClusterIP (internal only), NodePort (extends ClusterIP by opening a port on every node), and LoadBalancer (extends NodePort by provisioning a cloud load balancer). Each type builds on the one below it.	Kubernetes Service types docs
k8s-networking/t008	k8s-networking	kubernetes,ingress,gateway-api	Ingress to Gateway API	The Ingress resource, added in Kubernetes 1.1, was always considered limited — it only handled HTTP routing with a single spec that different controllers interpreted differently. The Gateway API (graduated to GA in 2023) replaced it with a more expressive, role-oriented model separating infrastructure from application concerns.	Gateway API documentation (SIG-Network)
k8s-networking/t009	k8s-networking	kubernetes,dns,coredns	CoreDNS in Kubernetes	Kubernetes replaced kube-dns with CoreDNS as the default cluster DNS in version 1.13 (2018). CoreDNS is a CNCF graduated project written in Go with a plugin architecture that makes it more flexible and easier to extend than the previous kube-dns stack.	Kubernetes 1.13 release notes
k8s-networking/t010	k8s-networking	kubernetes,network-policy,firewall	Network Policy Design	Kubernetes NetworkPolicy resources act as pod-level firewalls. By default, all pod-to-pod traffic is allowed. NetworkPolicies are "deny by addition" — once you apply a policy selecting a pod, all non-matching traffic to that pod is denied. The CNI plugin must support NetworkPolicy for enforcement.	Kubernetes NetworkPolicy docs
k8s-networking/t011	k8s-networking	kubernetes,cilium,ebpf	Cilium and eBPF	Cilium is a CNI plugin that uses eBPF (extended Berkeley Packet Filter) to implement networking, security, and observability directly in the Linux kernel. This bypasses iptables entirely, offering significant performance improvements at scale. Cilium became a CNCF graduated project in 2023.	Cilium project documentation
k8s-networking/t012	k8s-networking	kubernetes,headless,service	Headless Services	A "headless" Service (ClusterIP set to None) skips the load-balancing proxy entirely and returns the individual pod IPs directly via DNS. This is essential for stateful workloads like databases where clients need to connect to specific pods, not a random one behind a VIP.	Kubernetes headless Service docs
