---
tags:
- devops
- l1
- flashcard-deck
- terraform-basics
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Terraform](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
terraform-basics/00a8711ff36b	terraform-basics	easy	terraform, resource, output, hcl-syntax	What is the purpose of output in Terraform?	Outputs in Terraform allow you to expose selected values or computed results from your infrastructure configuration. These values can be useful for understanding the outcome of a Terraform run or for sharing specific information with other Terraform configurations. Outputs are declared using the output block, and their values can be referenced in other Terraform configurations or scripts. For example, you might define an output to expose the public IP address of a provisioned resource for external use.	projects/knowledge/interview/terraform/204-what-is-the-purpose-of-output-in-terraform.txt
terraform-basics/00cad2577b3d	terraform-basics	hard	terraform, resource, variable, hcl-syntax	Discuss the concept of "Terraform HCL" and its syntax.	Terraform HashiCorp Configuration Language (HCL) is a domain-specific language used for writing Terraform configurations. Key syntax features include:\n* Blocks: Defined by braces {} and contain configurations for resources, variables, etc.\n* Arguments: Key-value pairs within blocks, defining resource attributes or variable values.\n* Variables: Declared using the variable block and referenced using interpolation syntax.\n* Providers: Declared using the provider block to specify the infrastructure platform.\n* Expressions: Interpolation syntax ${} for referencing variables or performing computations.	projects/knowledge/interview/terraform/234-discuss-the-concept-of-terraform-hcl-and-its-synta.txt
terraform-basics/060cd0764398	terraform-basics	hard	terraform, resource, count, for-each	Discuss the use of Terraform's "count" and "for_each" meta-arguments.	Both count and for_each are meta-arguments in Terraform used to create multiple instances of a resource.\ncount: Specifies the number of resource instances to create based on an integer value. For example, count = 3 creates three instances of the resource.\nfor_each: Allows you to create multiple instances based on a map or set of strings. Each key-value pair or string in the set represents a unique instance. This is more flexible than count as it allows dynamic creation of instances based on the elements in the map or set.	projects/knowledge/interview/terraform/209-discuss-the-use-of-terraforms-count-and-foreach-me.txt
terraform-basics/081d6500210b	terraform-basics	easy	terraform, variable, locals	What are locals in Terraform and how do they simplify configurations?	Similarly to variables they serve as placeholders for data and values. Differently from variables, users can't override them by passing different values.\n\nRemember: "HCL = HashiCorp Configuration Language." It's declarative — you describe the end state, Terraform figures out how to get there.	projects/knowledge/interview/terraform/043-what-are-locals.txt
terraform-basics/084fd59f48a6	terraform-basics	medium	terraform, variable	You have a list variable called "users" with an object containing a name attribute like this:	`users[1].name`\n\nRemember: "Terraform has five core commands: init, plan, apply, destroy, and fmt."\n\nExample: terraform init downloads providers, terraform plan shows changes, terraform apply executes them.	projects/knowledge/interview/terraform/100-you-have-a-list-variable-called-users-with-an-obje.txt
terraform-basics/0af17a030c80	terraform-basics	medium	terraform, variable, output	You have a map variable, called "users", with the keys "name" (string) and "age" (number). Define an output map variable with the key being name in uppercase and value being age in the closest whole number	```\noutput "name_and_age" {\n  value = {for name, age in var.users : upper(name) => floor(age)\n}\n```\n\nRemember: "terraform init = download providers + initialize backend." Always run init first in a new directory or after adding providers.	projects/knowledge/interview/terraform/117-you-have-a-map-variable-called-users-with-the-keys.txt
terraform-basics/1024a182df08	terraform-basics	medium	terraform, count, for-each, hcl-syntax	What's a for_each loop? How is it different from "count"?	- for_each can applied only on collections like maps or sets (as opposed to count that can be applied on lists)\n- for_each helps to deal with the limitation of `count` which isn't optimal for use cases of modifying lists\n- for_each supports inline blocks as opposed to `count`	projects/knowledge/interview/terraform/107-whats-a-foreach-loop-how-is-it-different-from-coun.txt
terraform-basics/124ce6cdd9b6	terraform-basics	medium	terraform, locals	Demonstrate how to define locals	```\nlocals {\n  x = 2\n  y = "o"\n  z = 2.2\n}\n```\n\nRemember: "terraform plan = dry run." It shows what will be created, changed, or destroyed WITHOUT making changes.\n\nExample: + means create, ~ means modify, - means destroy in plan output.	projects/knowledge/interview/terraform/051-demonstrate-how-to-define-locals.txt
terraform-basics/15aa25c6a127	terraform-basics	hard	terraform, resource, variable, hcl-syntax	Explain the concept of Terraform interpolation syntax.	Terraform interpolation syntax allows you to embed expressions within strings or configurations. It is denoted by ${}. Interpolation is commonly used for referencing variables, attributes of resources, or performing calculations. For example:\n```resource "aws_instance" "example" {\n  ami           = var.ami_id\n  instance_type = "t2.micro"\n  tags = {\n    Name = "Example Instance - ${var.environment}"\n  }\n}\n```\nIn this example, ${var.environment} is an interpolation that references the value of the environment variable within the string.\n\nGotcha: Always review the plan before applying. terraform apply -auto-approve skips confirmation (use in CI only, never interactively).	projects/knowledge/interview/terraform/219-explain-the-concept-of-terraform-interpolation-syn.txt
terraform-basics/1c8c6a84fa49	terraform-basics	easy	terraform, resource	What is the Terraform Registry?	The Terraform Registry provides a centralized location for official and community-managed providers and modules.\n\nRef: https://registry.terraform.io/ — hosts 3,000+ providers and 15,000+ modules. Verified modules have a blue checkmark from HashiCorp.\n\nRemember: "Variables go in variables.tf, outputs go in outputs.tf, main resources go in main.tf." This is convention, not requirement.	projects/knowledge/interview/terraform/028-what-is-the-terraform-registry.txt
terraform-basics/1cabd505a15a	terraform-basics	medium	terraform, resource, variable, output	Explain the "depends" parameter of output variable	It is used to set explicitly dependency between the output variable and any other resource. Use case: some piece of information is available only once another resource is ready.\n\nRemember: "Outputs expose values after apply." Useful for passing info between modules or to other tools.\n\nExample: output "instance_ip" { value = aws_instance.web.public_ip }	projects/knowledge/interview/terraform/042-explain-the-depends-parameter-of-output-variable.txt
terraform-basics/1d53cb232e16	terraform-basics	easy	terraform, resource, lifecycle, count	What are meta-arguments in Terraform?	Arguments that affect the lifecycle of a resources (its creation, modification, ...) and supported by Terraform regardless to the type of resource in which they are used.\n\nSome examples:\n\n- count: how many resources to create out of one definition of a resource\n- lifecycle: how to treat resource creation or removal	projects/knowledge/interview/terraform/123-what-are-meta-arguments-in-terraform.txt
terraform-basics/1dd196413c3f	terraform-basics	medium	terraform, resource, lifecycle	You would like to change the name of a resource but afraid to cause downtime. What can be done?	If it's a matter of changing a resource name, you could make use of `terraform state mv <ORIGINAL_RESOURCE_NAME> <NEW_RESOURCE_NAME>`\n\nUnder the hood: state mv updates the state file's resource address without modifying real infrastructure. Use it when refactoring code (renaming resources or moving into modules).\n\nGotcha: always back up state before state operations. Use terraform state pull > backup.json.	projects/knowledge/interview/terraform/174-you-would-like-to-change-the-name-of-a-resource-bu.txt
terraform-basics/1eb7637f15ab	terraform-basics	medium	terraform, depends-on	Explain what depends_on used for and given an example	`depends_on` used to create an explicit dependency between resources in Terraform. For example, there is an application you would like to deploy in a cluster. If the cluster isn't ready (and also managed by Terraform of course) then you can't deploy the app. In this case, you will define "depends_on" in the app configuration and its value will be the cluster resource.	projects/knowledge/interview/terraform/130-explain-what-dependson-used-for-and-given-an-examp.txt
terraform-basics/1fa87fa791a5	terraform-basics	medium	terraform, variable	How to define an input variable which is an object with attributes "model" (string), "color" (string), year (number)?	```\nvariable "car_model" {\n  description = "Car model object"\n  type        = object({\n    model   = string\n    color   = string\n    year    = number\n  })\n}\n```\n\nNote: you can also define a default for it.\n\nGotcha: create_before_destroy prevents downtime during replacement but can cause name conflicts. prevent_destroy stops accidental deletion.	projects/knowledge/interview/terraform/046-how-to-define-an-input-variable-which-is-an-object.txt
terraform-basics/247a3304d779	terraform-basics	hard	terraform, commands, resource	How do you initialize a Terraform configuration?	To initialize a Terraform configuration, you use the terraform init command. This command initializes the working directory, downloads the required providers and modules specified in the configuration, and sets up the backend. Running terraform init is typically the first step after creating or cloning a Terraform configuration. It ensures that the necessary dependencies are in place before applying any changes.	projects/knowledge/interview/terraform/198-how-do-you-initialize-a-terraform-configuration.txt
terraform-basics/24a8dee69681	terraform-basics	medium	terraform, variable	The same variable is defined in the following places:	Terraform loads variables in the following order, with later sources taking precedence over earlier ones:\n\n- Environment variable\n- The file `terraform.tfvars`\n- Using `-var` or `-var-file`\n\nRemember: "for_each > count for named resources." count creates indexed resources; for_each creates named resources (aws_instance.web["app1"]).	projects/knowledge/interview/terraform/038-the-same-variable-is-defined-in-the-following-plac.txt
terraform-basics/2646f866d338	terraform-basics	easy	terraform, commands	What is the Terraform plan command used for?	The terraform plan command is used to preview the changes that Terraform will make to the infrastructure based on the current configuration. It analyzes the configuration files, compares the desired state with the existing state, and generates an execution plan. The plan includes details such as which resources will be added, modified, or destroyed. Running terraform plan allows users to review potential changes before applying them, providing an opportunity to catch errors or unintended modifications.	projects/knowledge/interview/terraform/199-what-is-the-terraform-plan-command-used-for.txt
terraform-basics/28033e54fe62	terraform-basics	medium	terraform, data-source, variable, resource	What is a data source? In what scenarios for example would need to use it?	Data sources lookup or compute values that can be used elsewhere in terraform configuration.\n\nThere are quite a few cases you might need to use them:\n\n- you want to reference resources not managed through terraform\n- you want to reference resources managed by a different terraform module\n- you want to cleanly compute a value with typechecking, such as with `aws_iam_policy_document`	projects/knowledge/interview/terraform/065-what-is-a-data-source-in-what-scenarios-for-exampl.txt
terraform-basics/287537436252	terraform-basics	medium	terraform, provisioner	What are "Provisioners"? What they are used for?	Provisioners can be described as plugin to use with Terraform, usually focusing on the aspect of service configuration and make it operational.\n\nFew example of provisioners:\n\n- Run configuration management on a provisioned instance using technology like Ansible, Chef or Puppet.\n- Copying files\n- Executing remote scripts	projects/knowledge/interview/terraform/060-what-are-provisioners-what-they-are-used-for.txt
terraform-basics/2997cb6f9b08	terraform-basics	hard	plan, apply, workflow	Explain the difference between `terraform plan` and `terraform apply`.	These are the two main commands in Terraform's workflow:\n\nterraform plan:\n- Shows what changes will be made WITHOUT executing them\n- Compares current state with desired configuration\n- Output shows: create, update, or destroy actions\n- Safe to run repeatedly\n- Can save plan to file with -out flag\n\nterraform apply:\n- Actually creates/modifies/destroys resources\n- By default, shows plan first and asks for confirmation\n- Can skip confirmation with -auto-approve (use cautiously)\n- Can apply a saved plan file	projects/knowledge/interview/terraform/002-plan-vs-apply.txt
terraform-basics/2ca5bf6c7370	terraform-basics	medium	terraform, hcl-syntax, commands	How do you test terraform syntax?	A valid answer could be "I write Terraform configuration and try to execute it" but this makes testing cumbersome and quite complex in general.\n\nThere is `terraform console` command which allows you to easily execute terraform functions and experiment with general syntax.	projects/knowledge/interview/terraform/127-how-do-you-test-terraform-syntax.txt
terraform-basics/2db802277b91	terraform-basics	medium	terraform, variable	What type of input variables are supported in Terraform?	```\nstring\nnumber\nbool\nlist(<TYPE>)\nset(<TYPE>)\nmap(<TYPE>)\nobject({<ATTR_NAME> = <TYPE>, ... })\ntuple([<TYPE>, ...])\n```\n\nRemember: "Provisioners are a last resort." Use user_data, cloud-init, or config management (Ansible) instead when possible.	projects/knowledge/interview/terraform/033-what-type-of-input-variables-are-supported-in-terr.txt
terraform-basics/2ee703f1c3f1	terraform-basics	medium	terraform, lifecycle	What happens if you update user_data in the following case and apply the changes?	Nothing, because user_data is executed on boot so if an instance is already running, it won't change anything.\n\nTo make it effective you'll have to use `user_data_replace_on_change = true`.\n\nRemember: "terraform fmt = auto-format HCL." Run it before every commit. terraform fmt -check in CI verifies formatting.	projects/knowledge/interview/terraform/154-what-happens-if-you-update-userdata-in-the-followi.txt
terraform-basics/2f53445c5d77	terraform-basics	medium	terraform, hcl, configuration	What language do Terraform configuration files use?	The HashiCorp Configuration Language (HCL), which is declarative and human-readable (usually files with .tf extension). Terraform can also optionally accept JSON configuration, but HCL is most common.\n\nRemember: "terraform validate = syntax check." It catches typos, invalid references, and type errors without contacting any provider API.	projects/knowledge/interview/terraform/274-terraform-language.txt
terraform-basics/32df6f30ff9b	terraform-basics	medium	terraform, hcl-syntax, resource	What makes a Terraform code module? In other words, what a module is from practical perspective?	Basically any file or files in a directory is a module in Terraform. There is no special syntax to use in order to define a module. The root configuration is itself a module, and any module that is called from it is considered a child module.	projects/knowledge/interview/terraform/132-what-makes-a-terraform-code-module-in-other-words-.txt
terraform-basics/3525363391df	terraform-basics	hard	terraform, resource, variable, hcl-syntax	How do you reference variables in Terraform configuration files?	Variables are referenced in Terraform configuration files using the syntax ${var.variable_name}. For example, if you have a variable named environment in your configuration, you can reference it in a resource block like this:\n```\nresource "aws_instance" "example" {\n  ami           = "ami-abc123"\n  instance_type = var.instance_type\n  tags = {\n    Name = "Example Instance - ${var.environment}"\n  }\n}\n```\nIn this example, var.instance_type references the value of the instance_type variable, allowing for dynamic configuration based on the provided variable values.	projects/knowledge/interview/terraform/203-how-do-you-reference-variables-in-terraform-config.txt
terraform-basics/364f5e14a7fc	terraform-basics	medium	terraform, for-each	What loops are useful for in Terraform?	The most common use case is when you need to create multiple resources with only a slight difference (like different name). Instead of defining multiple separate resources, you can define it once and create multiple instances of it using loops.	projects/knowledge/interview/terraform/102-what-loops-are-useful-for-in-terraform.txt
