---
tags:
- linux
- l1
- flashcard-deck
- linux-kernel
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Kernel Tuning](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-kernel/02e76845737d	linux-kernel	medium	bash, kernel, linux, shell, syscalls	Are wildcards implemented in user or kernel space?	User space - specifically in the shell.\n\nHow it works:\n1. You type: ls *.txt\n2. Shell (bash) sees the wildcard\n3. Shell expands *.txt to matching files\n4. Shell calls exec with expanded list\n5. ls receives: ls file1.txt file2.txt file3.\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/426-wildcards-are-implemented-on-user-or-kernel-space.txt
linux-kernel/03a4b795c1a1	linux-kernel	easy	distributions, fundamentals, linux, memory-management	What is Linux and what distinguishes it from other operating systems?	"[Wikipedia](https://en.wikipedia.org/wiki/Linux): ""Linux is a family of open-source Unix-like operating systems based on the Linux kernel, an operating system kernel first released on September 17, 1991, by Linus Torvalds. Linux is typically packaged in a Linux distribution.""\n\n[Red Hat](https://www.redhat.com/en/topics/linux/what-is-linux): ""Linux® is an open source operating system (OS)."\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/130-what-is-linux.txt
linux-kernel/08c31c94051f	linux-kernel	hard	fundamentals, linux, system	What is the use of ulimit in Unix-like systems?	"Most Unix-like operating systems, including Linux and BSD, provide ways to limit and control the usage of system resources such as threads, files, and network connections on a per-process and per-user basis. These ""**ulimits**"" prevent single users from using too many system resources."\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/063-what-is-the-use-of-ulimit-in-unix-like-systems.txt
linux-kernel/0cfbf9cd53f2	linux-kernel	medium	linux, namespaces, tuning	Are the changes you make to kernel parameters in a container, affects also the kernel parameters of the host on which the container runs?	No. Containers have their own /proc filesystem so any change to kernel parameters inside a container, are not affecting the host or other containers running on that host.\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/196-are-the-changes-you-make-to-kernel-parameters-in-a.txt
linux-kernel/11156bbd5110	linux-kernel	hard	linux, troubleshooting, debugging, kernel, sysrq	"If a server is ""unresponsive"" but still pings, what do you suspect?"	The kernel's network stack is alive, but userspace is frozen or resource-starved.\n\nLikely causes:\n- OOM (Out of Memory): Kernel killing processes, system thrashing\n- CPU lockup: Runaway process or kernel bug consuming all CPU\n- Kernel oops/soft lockup: Partial kernel failure, userspace frozen\n- Resource exhaustion: PID limit, file descriptor limit, memory\n- D state processes: Mass I/O wait\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/533-unresponsive-server-pings-diagnosis.txt
linux-kernel/111aa6d2b573	linux-kernel	medium	boot, fundamentals, linux, tuning	In what phases of kernel lifecycle, can you change its configuration?	* Build time (when it's compiled)\n  * Boot time (when it starts)\n  * Runtime (once it's already running)\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/188-in-what-phases-of-kernel-lifecycle-can-you-change-.txt
linux-kernel/1c0c5ed29e61	linux-kernel	easy	linux, memory-management, scheduling	What is a kernel, and what does it do?	The kernel is part of the operating system and is responsible for tasks like:\n\n  * Allocating memory\n  * Schedule processes\n  * Control CPU\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/184-what-is-a-kernel-and-what-does-it-do.txt
linux-kernel/1c93dd74dd2e	linux-kernel	medium	fundamentals, linux, memory-management	What virtualization solutions are available for Linux?	* [KVM](https://www.linux-kvm.org/page/Main_Page)\n  * [XEN](http://www.xen.org/)\n  * [VirtualBox](https://www.virtualbox.org/)\n  * [Linux-VServer](http://linux-vserver.org/Welcome_to_Linux-VServer.org)\n  * [User-mode Linux](http://user-mode-linux.sourceforge.net/)\n  * ...\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/286-what-virtualization-solutions-are-available-for-li.txt
linux-kernel/2024ef004883	linux-kernel	easy	linux, kernel, grub, boot	How do you pass kernel boot parameters?	Temporarily: edit GRUB (`e`) and modify `linux` line.\n\nPersistently: `/etc/default/grub` → `GRUB_CMDLINE_LINUX` → regenerate config.\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/550-kernel-boot-parameters.txt
linux-kernel/221511d60c2d	linux-kernel	hard	boot, fundamentals, linux, system	How do you debug boot failures remotely?	Without physical access, you need out-of-band management:\n\n1. **Serial/IPMI console**: Connect via iLO, iDRAC, IPMI for console access during boot\n\n2. **Recovery options**:\n   - Boot to previous kernel via GRUB\n   - Drop to initramfs shell (`rd.break` kernel param)\n   - Boot to rescue mode (`systemd.unit=rescue.target`)\n\n3.\n\nRemember: Kernel manages hardware, memory, processes, I/O. User programs interact via syscalls.\n\nUnder the hood: Monolithic kernel with loadable modules. Extend without rebooting.	projects/knowledge/interview/linux/453-how-do-you-debug-boot-failures-remotely.txt
