id	category	tags	topic_text	trivia_fact	source
linux-memory/t001	linux-memory	swap,naming,history	Why Swap Is Called Swap	"Swap" comes from the earliest virtual memory systems that "swapped" entire processes between RAM and disk. Modern Linux uses demand paging (swapping individual pages, not whole processes), but the name stuck from the 1960s. The swap partition or file is technically a "paging area," but nobody calls it that.	unix-history
linux-memory/t002	linux-memory	oom-killer,heuristic,design	OOM Killer Design	The OOM killer selects victims using an oom_score (0-1000) based on memory usage, process age, and whether it's privileged. You can influence it via /proc/<pid>/oom_score_adj (-1000 to 1000). Setting -1000 makes a process unkillable by the OOM killer — useful for critical services like databases.	kernel-docs
linux-memory/t003	linux-memory	overcommit,controversy,philosophy	Overcommit Controversy	By default, Linux overcommits memory — malloc() almost never fails. The kernel promises more memory than physically exists, betting that not every process will use its full allocation. This is why a process can malloc() 1TB on a 16GB system. When the bet fails, the OOM killer activates. vm.overcommit_memory controls this.	kernel-docs
linux-memory/t004	linux-memory	page-cache,performance,design	Page Cache Philosophy	Linux aggressively uses free RAM as page cache (caching file data). This is by design: unused RAM is wasted RAM. The kernel reclaims cache instantly when applications need memory. This philosophy means a system showing 95% memory "used" might be perfectly healthy — most of it could be reclaimable cache.	kernel-docs
linux-memory/t005	linux-memory	free,misleading,confusion	Why free Shows Misleading Numbers	The `free` command confused generations of admins who thought their systems were out of memory. The "used" column includes page cache, which is reclaimable. In 2014, `free` finally added an "available" column (from /proc/meminfo's MemAvailable) that estimates actual memory available for applications. Always read "available," not "free."	man-pages
linux-memory/t006	linux-memory	buffers,cache,distinction	Buffers vs Cache	In `free` output, "buffers" are cached disk metadata (inodes, directory entries from block device I/O) while "cache" is cached file content (page cache from filesystem I/O). The distinction dates back to when block device access and filesystem access used separate caching layers. Modern Linux has largely unified them.	kernel-docs
linux-memory/t007	linux-memory	slab-allocator,naming,design	Slab Allocator Naming	The slab allocator was invented by Jeff Bonwick at Sun Microsystems in 1994. The name "slab" refers to contiguous chunks of memory pre-divided into fixed-size objects. Linux adopted it in 2.2. SLUB (the "Unqueued" slab allocator by Christoph Lameter, 2007) replaced it as the default, being simpler and faster.	bonwick-paper
linux-memory/t008	linux-memory	huge-pages,tlb,performance	Huge Pages and TLB	Standard Linux pages are 4KB. Huge pages (2MB or 1GB) reduce TLB (Translation Lookaside Buffer) misses for memory-intensive workloads. Databases like Oracle and PostgreSQL see measurable improvements. Transparent Huge Pages (THP) automates this but has caused notorious latency spikes — many database guides recommend disabling THP.	kernel-docs
linux-memory/t009	linux-memory	mmap,memory-mapping,unix	mmap Design Elegance	mmap (memory-mapped files) lets you access file contents as if they were in memory. The kernel handles paging data in and out transparently. This is how shared libraries (.so files) work — multiple processes mmap the same library file, sharing one physical copy. mmap was added in 4.2BSD (1983).	bsd-history
linux-memory/t010	linux-memory	numa,topology,performance	NUMA Surprise	On multi-socket servers, Not all memory is equal. NUMA (Non-Uniform Memory Access) means each CPU socket has "local" memory (fast) and "remote" memory (slower, accessed via interconnect). A process pinned to CPU 0 accessing CPU 1's memory can be 30-40% slower. numactl and kernel memory policies manage this.	kernel-docs
