---
tags:
- devops
- l1
- flashcard-deck
- database-internals
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Database Internals](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
db-internals/a1b2c3d4f5e6	db-internals	easy	database, indexing, btree	What is the default index type in PostgreSQL and what queries does it support?	B-tree. It supports equality (=) and range queries (<, >, BETWEEN) on sortable data. It is the most commonly used index type.\n\nRemember: an index is a data structure (usually B-tree) that speeds up lookups at the cost of slower writes and extra storage. Like a book's index — you don't read every page to find a topic.	training/library/topics/database-internals/primer.md
db-internals/b2c3d4e5a6f7	db-internals	easy	database, indexing, explain	What command shows the actual execution plan with real timings for a query in PostgreSQL?	EXPLAIN (ANALYZE, BUFFERS, FORMAT TEXT) followed by the query. ANALYZE is required to actually execute the query and show real timing and row counts instead of estimates.\n\nRemember: EXPLAIN ANALYZE actually executes the query — be careful with UPDATE/DELETE! Wrap in a transaction: BEGIN; EXPLAIN ANALYZE ...; ROLLBACK;	training/library/topics/database-internals/primer.md
db-internals/c3d4e5f6b7a8	db-internals	easy	database, indexing, statistics	What PostgreSQL command updates table statistics used by the query planner?	ANALYZE table_name; (for a specific table) or just ANALYZE; (for the entire database). Stale statistics cause the planner to choose suboptimal execution plans.\n\nRemember: EXPLAIN ANALYZE actually runs the query and shows real execution times. Look for: Seq Scan (missing index), Nested Loop on large tables (consider Hash Join), high actual vs estimated rows (stale statistics).	training/library/topics/database-internals/primer.md
db-internals/d4e5f6a7c8b9	db-internals	medium	database, indexing, missing	How can you identify tables that may be missing indexes in PostgreSQL?	Query pg_stat_user_tables for tables with high seq_scan counts and high seq_tup_read values relative to idx_scan. A large table with many sequential scans and few or no index scans likely needs an index on commonly filtered columns.\n\nExample: SELECT schemaname, relname, seq_scan, idx_scan FROM pg_stat_user_tables WHERE seq_scan > 1000 AND idx_scan < 50 ORDER BY seq_scan DESC; — high seq_scan + low idx_scan = missing index candidate.	training/library/topics/database-internals/primer.md
db-internals/e5f6a7b8d9c0	db-internals	medium	database, indexing, explain	In EXPLAIN ANALYZE output, what does a Seq Scan on a large table indicate and how do you fix it?	A sequential scan on a large table typically means there is no suitable index for the query's WHERE clause or join condition. Fix by creating an index on the filtered columns. Verify improvement by running EXPLAIN ANALYZE again and confirming an Index Scan or Index Only Scan.\n\nRemember: EXPLAIN ANALYZE actually runs the query and shows real execution times. Look for: Seq Scan (missing index), Nested Loop on large tables (consider Hash Join), high actual vs estimated rows (stale statistics).	training/library/topics/database-internals/primer.md
db-internals/f6a7b8c9e0d1	db-internals	medium	database, indexing, pg_stat_statements	How do you find the most expensive queries in PostgreSQL using pg_stat_statements?	SELECT query, calls, total_exec_time, mean_exec_time, rows FROM pg_stat_statements ORDER BY total_exec_time DESC LIMIT 10; This requires the pg_stat_statements extension to be loaded.\n\nRemember: PostgreSQL statistics views (pg_stat_user_tables, pg_stat_statements) are your best friends for performance tuning. Enable pg_stat_statements in shared_preload_libraries.	training/library/topics/database-internals/primer.md
db-internals/a7b8c9d0f1e2	db-internals	medium	database, indexing, bloat	What is index bloat and how do you fix it online in PostgreSQL 12+?	Index bloat occurs when dead tuples accumulate in an index, wasting disk space and slowing queries. Fix with REINDEX INDEX CONCURRENTLY idx_name, which rebuilds the index without locking the table for writes.\n\nRemember: an index is a data structure (usually B-tree) that speeds up lookups at the cost of slower writes and extra storage. Like a book's index — you don't read every page to find a topic.	training/library/topics/database-internals/primer.md
db-internals/b8c9d0e1a2f3	db-internals	hard	database, indexing, covering	What is a covering index and how do you create one in PostgreSQL?	A covering index includes all columns needed by a query so it can be satisfied entirely from the index (index-only scan) without accessing the table. Create with: CREATE INDEX idx_name ON table (filter_col) INCLUDE (col1, col2). The INCLUDE columns are stored in the index but not used for searching.\n\nRemember: an index is a data structure (usually B-tree) that speeds up lookups at the cost of slower writes and extra storage. Like a book's index — you don't read every page to find a topic.	training/library/topics/database-internals/primer.md
db-internals/c9d0e1f2b3a4	db-internals	hard	database, indexing, composite	Why does column order matter in a composite index?	A composite index on (A, B) efficiently supports queries filtering on A alone or on A and B together, but not on B alone. The index follows a leftmost-prefix rule — it can only skip to a specific value of the first column, then scan within it. Ordering columns by selectivity and query patterns is critical.\n\nUnder the hood: understanding database internals (page layout, WAL, MVCC, buffer pool) helps you diagnose performance issues that high-level monitoring alone cannot explain.	training/library/topics/database-internals/primer.md
db-internals/d0e1f2a3c4b5	db-internals	hard	database, indexing, mysql	How does covering index behavior differ between PostgreSQL and MySQL InnoDB?	"In PostgreSQL, you explicitly create covering indexes with INCLUDE columns. In MySQL InnoDB, every secondary index implicitly includes the primary key columns, and the clustered index (primary key) stores the full row. Look for ""Using index"" in MySQL EXPLAIN Extra column to confirm an index-only scan.\n\nUnder the hood: understanding database internals (page layout, WAL, MVCC, buffer pool) helps you diagnose performance issues that high-level monitoring alone cannot explain."	training/library/topics/database-internals/primer.md
