id	category	tags	topic_text	trivia_fact	source
azure/t001	azure	azure,naming,history	Originally Windows Azure	Azure launched in February 2010 as "Windows Azure," emphasizing its Windows Server heritage. Microsoft renamed it to "Microsoft Azure" in April 2014 to reflect its growing support for Linux and open-source workloads, which now make up over half of Azure VMs.	microsoft.com/azure
azure/t002	azure	hyper-v,virtualization,architecture	Built on Hyper-V	Azure's compute fabric runs on a customized version of Windows Server with the Hyper-V hypervisor. Over time Microsoft developed a minimal "Azure Host OS" stripped down from full Windows Server, optimizing for cloud workload density and security.	Microsoft Ignite talks
azure/t003	azure	devops,naming,evolution	Azure DevOps Name Journey	Azure DevOps has had four names: Team Foundation Service (2012), Visual Studio Online (2013), Visual Studio Team Services (2017), and finally Azure DevOps (2018). Each rename reflected Microsoft's shifting brand strategy from developer tools to cloud platform.	devops.azure.com
azure/t004	azure	regions,global,scale	Most Regions of Any Cloud	Azure operates in more regions than any other cloud provider, with 60+ announced regions across 140+ countries. Microsoft leveraged its existing global datacenter footprint from Xbox Live, Office 365, and Bing to expand Azure's physical presence rapidly.	azure.microsoft.com/regions
azure/t005	azure	cli,python,tooling	Azure CLI Written in Python	The Azure CLI (az) is written entirely in Python and is open source on GitHub. This was a deliberate choice for cross-platform compatibility. It replaced the older Node.js-based Azure CLI (azure-cli, later called "classic CLI") which was retired.	github.com/Azure/azure-cli
azure/t006	azure	active-directory,identity,entra	AD to Entra ID	Azure Active Directory was renamed to "Microsoft Entra ID" in July 2023. Despite the rebrand, engineers worldwide still call it "Azure AD" or just "AAD." The rename was part of Microsoft's push to unify identity products under the Entra brand family.	microsoft.com/entra
azure/t007	azure	github,acquisition,devtools	Microsoft Bought GitHub	Microsoft acquired GitHub for $7.5 billion in 2018, surprising many given Microsoft's historical antagonism toward open source. Under Microsoft ownership, GitHub Actions launched, Copilot was born, and the platform grew from 28 million to over 100 million developers.	blogs.microsoft.com
azure/t008	azure	cosmos-db,global,database	Cosmos DB Turnkey Global Distribution	Azure Cosmos DB evolved from DocumentDB (2015) and was rebranded in 2017. It offers turnkey global distribution with five consistency models ranging from strong to eventual — more granularity than any competing managed database service.	azure.microsoft.com/cosmos-db
azure/t009	azure	openai,partnership,ai	Azure OpenAI Partnership	Microsoft invested over $13 billion in OpenAI and became its exclusive cloud provider. Azure OpenAI Service lets enterprises access GPT models with Azure's compliance and networking controls — making Azure the default cloud for many AI workloads.	microsoft.com/ai
azure/t010	azure	linux,embrace,open-source	Linux on Azure	Microsoft's CEO Satya Nadella declared "Microsoft loves Linux" in 2014, a dramatic reversal from Steve Ballmer calling Linux "a cancer" in 2001. By 2019, Linux VMs surpassed Windows VMs on Azure, and Microsoft even ships a custom Linux distro (CBL-Mariner/Azure Linux) for its own infrastructure.	Microsoft Ignite 2019
