id	category	tags	topic_text	trivia_fact	source
make-build-systems/t001	make-build-systems	make,history,1976	Make Was Built in a Weekend	Stuart Feldman wrote the original make at Bell Labs in 1976 after being frustrated by debugging a program where he forgot to recompile a module. He wrote it over a weekend. It is still the most widely used build tool in C/C++ projects, nearly 50 years later.	feldman-1979-make
make-build-systems/t002	make-build-systems	tab,syntax,bug	The Tab Character Controversy	Makefile recipes must be indented with a tab character, not spaces. This is the most common Makefile syntax error and has frustrated developers for decades. Feldman later admitted it was a design mistake but said it was too late to change by the time he realized it because there were already a dozen users.	feldman-interview
make-build-systems/t003	make-build-systems	phony,targets,pattern	.PHONY Prevents a Subtle Bug	If you have a Makefile target called "clean" and a file named "clean" exists in the directory, make will think the target is up-to-date and skip it. .PHONY: clean tells make that "clean" is not a real file. Forgetting .PHONY is one of the most common Makefile bugs in projects that use make for non-compilation tasks.	gnu-make-manual
make-build-systems/t004	make-build-systems	cmake,generator,meta	CMake Is Not a Build System	CMake is a build system generator — it creates Makefiles, Ninja files, Visual Studio projects, or Xcode projects, but does not build anything itself. This distinction confuses many developers. CMake was created by Kitware in 2000 for the Insight Toolkit (ITK) project because no existing tool could handle cross-platform C++ builds at that scale.	cmake-history
make-build-systems/t005	make-build-systems	ninja,chrome,speed	Ninja Was Born from Chrome	Ninja was created by Evan Martin at Google specifically to build Chrome faster. Make was too slow for Chrome's 30,000+ source files because it spent too long evaluating dependencies before starting any compilation. Ninja sacrifices flexibility for speed — it does exactly what its input says with minimal overhead. Chrome builds are 10x faster with Ninja vs Make.	ninja-build-docs
make-build-systems/t006	make-build-systems	bazel,hermetic,google	Bazel: Google's Internal Build System Escaped	Bazel (2015) is the open-source version of Google's Blaze build system. Its key insight is hermetic builds — every build action explicitly declares inputs and outputs, making builds perfectly reproducible and cacheable. Google's monorepo of billions of lines of code is built with Blaze. Bazel trades simplicity for correctness at scale.	bazel-docs
make-build-systems/t007	make-build-systems	make,parallel,j-flag	-j Makes Make Fly	make -j$(nproc) runs independent targets in parallel using all CPU cores. Without -j, make runs one job at a time. For large C projects, parallel make can reduce build times from minutes to seconds. However, incorrect dependency declarations can cause race conditions — the build works with -j1 but fails with -j8.	gnu-make-manual
make-build-systems/t008	make-build-systems	recursive,harmful,paper	Recursive Make Considered Harmful	Peter Miller's 1998 paper argued that the common pattern of recursive make (each subdirectory has its own Makefile calling sub-makes) leads to incorrect builds because sub-makes cannot see cross-directory dependencies. Non-recursive make (one top-level Makefile) is more correct but harder to maintain. This paper influenced every modern build system.	miller-1998
make-build-systems/t009	make-build-systems	make,devops,taskrunner	Make as a DevOps Task Runner	Many DevOps teams use Make not for compilation but as a polyglot task runner — wrapping docker build, terraform apply, helm install, and test commands behind short targets. Benefits: universal availability (pre-installed on every Linux/macOS), no runtime dependencies, tab completion, and self-documenting with a help target.	devops-practices
make-build-systems/t010	make-build-systems	meson,modern,replacement	Meson: The Modern Make Replacement	Meson (2013) is a build system designed to be fast, user-friendly, and correct. It uses a Python-like syntax (no tab issues), generates Ninja files for speed, and has built-in support for cross-compilation, sanitizers, and coverage. GNOME, systemd, and X.org have migrated from autotools to Meson.	mesonbuild.com
