id	category	tags	topic_text	trivia_fact	source
linux-performance/t001	linux-performance	top,naming,origin	Why top Is Called top	The `top` command (1984) shows the "top" processes by CPU usage — the name literally means "table of processes." It was written by William LeFebvre for BSD Unix. The modern replacement `htop` (2004) by Hisham Muhammad added colors, mouse support, and tree views that top lacked.	man-pages
linux-performance/t002	linux-performance	load-average,history,meaning	Load Average Origin	Unix load averages (1-minute, 5-minute, 15-minute) originally counted only processes wanting CPU time. In 1993, Linux's load average was uniquely changed to also count processes in uninterruptible I/O sleep (D state). This is why Linux load averages are often higher than expected — they measure "system pressure," not just CPU demand.	brendangregg
linux-performance/t003	linux-performance	flame-graphs,brendan-gregg,invention	Flame Graphs Invention	Brendan Gregg invented flame graphs in 2011 while working at Joyent, trying to understand MySQL performance on a cloud system. The visualization stacks function call frames on the x-axis (sorted alphabetically, NOT by time) and shows sample count on the y-axis. The "flames" metaphor comes from the SVG color scheme.	brendangregg
linux-performance/t004	linux-performance	sar,history,system-activity	SAR History	SAR (System Activity Reporter) dates back to AT&T Unix in the 1970s. The name describes exactly what it does: reports system activity. It's part of the sysstat package and remains one of the few tools that can show historical performance data — it logs to /var/log/sa/ in binary format.	sysstat-docs
linux-performance/t005	linux-performance	perf,profiler,kernel	perf Tool Origin	The `perf` tool was written by Ingo Molnar and Thomas Gleixner for Linux 2.6.31 (2009), leveraging CPU hardware performance counters. It replaced OProfile and became the standard Linux profiler. perf can count cache misses, branch mispredictions, and CPU cycles with near-zero overhead using hardware PMU support.	kernel-docs
linux-performance/t006	linux-performance	vmstat,vintage,simplicity	vmstat Is 40+ Years Old	vmstat (virtual memory statistics) was written by Bill Joy for 3BSD in 1979. Its output format — procs, memory, swap, io, system, cpu columns — has barely changed in over 40 years. The first column "r" (runnable processes) is still one of the fastest ways to check CPU saturation.	bsd-history
linux-performance/t007	linux-performance	strace,debugging,syscalls	strace Traces Everything	strace intercepts and logs every system call a process makes. It was written by Paul Kranenburg for SunOS and ported to Linux by Branko Lankester in 1992. Running a simple `ls` generates about 100 system calls. strace adds significant overhead (2-100x slowdown) because it uses ptrace to intercept each syscall.	man-pages
linux-performance/t008	linux-performance	iostat,disk,monitoring	iostat and %util Myth	iostat's %util column shows the percentage of time the device had I/O in flight — but this is misleading for modern SSDs and RAID arrays that handle many parallel requests. A device can show 100% utilization while still having capacity for more I/O. This metric was designed for single-spindle HDDs.	brendangregg
linux-performance/t009	linux-performance	use-method,methodology,gregg	USE Method	Brendan Gregg's USE method (Utilization, Saturation, Errors) provides a systematic approach to performance analysis: for every resource, check these three metrics. It was created because most performance debugging is ad hoc — engineers check random metrics hoping to find something. USE imposes order on the investigation.	brendangregg
linux-performance/t010	linux-performance	uptime,first-command,simplicity	uptime as First Check	The `uptime` command is often the first thing sysadmins run on a troubled system. In one line it reveals: current time, how long the system has been up (did someone reboot it?), number of users, and 1/5/15-minute load averages. This single command can immediately narrow the problem space.	unix-history
