---
tags:
- security
- l1
- flashcard-deck
- security-scanning
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Security Scanning](../../../../library/portal/topics.md) | **Domain:** Security
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
security/04ac68682aa2	security	medium	security, supply-chain, incident-response, audit	Give three examples of three potential security threats related to the software supply chain and describe them.	[IEEE](https://ieeexplore.ieee.org/abstract/document/9203862): \n\n  * Sensitive data being exposed or lost.\n    * In a software supply chain, sensitive data may be passed throughout the chain. Security threats involve loss or exposure of this data, such as customer credit card details.\n  * Cloud technology.\n    * Data sharing in the cloud might jeopardize the privacy of the data within the chain.\n  * Third-party vendors.\n    * Third-party vendors’ code solutions might not provide sufficient cybersecurity and risk being a potential subject to data breaches.	projects/knowledge/interview/security/059-give-three-examples-of-three-potential-security-th.txt
security/05d208acc29b	security	easy	security, vulnerability, authentication, secrets	What is CSRF? How to handle CSRF?	Cross-Site Request Forgery (CSRF) is an attack that makes the end user to initiate a unwanted action on the web application in which the user has a authenticated session, the attacker may user an email and force the end user to click on the link and that then execute malicious actions. When an CSRF attack is successful it will compromise the end user data \n\nYou can use OWASP ZAP to analyze a "request", and if it appears that there no protection against cross-site request forgery when the Security Level is set to 0 (the value of csrf-token is SecurityIsDisabled.) One can use data from this request to prepare a CSRF attack by using OWASP ZAP	projects/knowledge/interview/security/046-what-is-csrf-how-to-handle-csrf.txt
security/0d39b450b4d5	security	medium	security, fips, compliance, cryptography	What does it mean to be "FIPS compliant"?	FIPS (Federal Information Processing Standards) compliance means meeting US government cryptographic requirements.\n\nFIPS 140-2/140-3:\n- Standard for cryptographic modules\n- Required for US federal systems\n- Four security levels (1-4)\n\nRequirements:\n- Approved algorithms only (AES, SHA-2, RSA)\n- Validated cryptographic modules\n- Key management procedures\n- Self-tests on startup\n\nWhat it means in practice:\n- Use certified crypto libraries (OpenSSL FIPS module)\n- Disable non-approved algorithms\n- Enable FIPS mode in OS\n- Regular auditing\n\nEnable on Linux:\n- fips=1 kernel parameter\n- /etc/crypto-policies/back-ends/	projects/knowledge/interview/security/074-what-it-means-to-be-fips-compliant.txt
security/118cc703e848	security	easy	security, backdoor, malware	What is a "Backdoor" in information security?	A backdoor is hidden access method bypassing normal authentication.\n\nTypes:\n- Software backdoors: Hidden code in applications\n- Hardware backdoors: Chip-level access\n- Administrative backdoors: Undocumented accounts\n- Protocol backdoors: Intentional weaknesses\n\nHow they get there:\n- Malware installation\n- Developer intentionally added\n- Supply chain compromise\n- Left from development/testing\n- Vulnerability exploitation\n\nExamples:\n- Default credentials\n- Hidden admin accounts\n- Secret URLs/parameters\n- Debug modes in production\n- Hardcoded passwords\n\nDetection:\n- Code review\n- Network monitoring\n- Behavioral analysis\n- Integrity checking\n- Security audits\n\nFamous: SolarWinds backdoor, XZ Utils (CVE-2024-3094)	projects/knowledge/interview/security/106-what-is-a-backdoor-in-information-security.txt
security/12e6eea0204f	security	easy	security, vulnerability	What is an SQL injection? How to manage it?	SQL injection is an attack consists of inserts either a partial or full SQL query through data input from the browser to the web application. When a successful SQL injection happens it will allow the attacker to read sensitive information stored on the database for the web application. \n\nYou can test by using a stored procedure, so the application must be sanitize the user input to get rid of the risk of code injection. If not then the user could enter bad SQL, that will then be executed within the procedure	projects/knowledge/interview/security/040-what-is-an-sql-injection-how-to-manage-it.txt
security/15f6bfd97518	security	medium	security, ssh	How do you secure SSH at scale?	Defense in depth approach:\n\n**Authentication**:\n* Key-only auth (disable password: `PasswordAuthentication no`)\n* No root login (`PermitRootLogin no`)\n* Require specific groups (`AllowGroups sshusers`)\n\n**Architecture**:\n* Bastion/jump hosts - no direct access to internal systems\n* Certificate-based auth for large fleets (SSH CA)\n* Short-lived certificates where possible\n\n**Auditing**:\n* Centralized logging of SSH sessions\n* Session recording for privileged access\n* Alerting on anomalous access patterns\n\n**Enforcement**:\n* Configuration management (Ansible) ensures consistency\n* Compliance scanning detects drift\n* Regular key rotation	projects/knowledge/interview/security/110-how-do-you-secure-ssh-at-scale.txt
security/17b23df108fe	security	medium	security, cryptography, tls	Explain "Forward Secrecy"	Forward Secrecy (Perfect Forward Secrecy) ensures session keys can't be compromised even if long-term keys are.\n\nHow it works:\n- Ephemeral keys generated per session\n- Session key derived from ephemeral exchange\n- Long-term key only authenticates\n- Past sessions safe if private key leaked later\n\nWithout Forward Secrecy:\n- Attacker records encrypted traffic\n- Later obtains server private key\n- Can decrypt all past sessions\n\nWith Forward Secrecy:\n- Each session has unique ephemeral key\n- Key discarded after session\n- Past traffic remains secure\n\nImplementation:\n- Diffie-Hellman Ephemeral (DHE)\n- Elliptic Curve DHE (ECDHE)\n- TLS 1.3 requires forward secrecy\n\nCipher suites: Look for DHE or ECDHE	projects/knowledge/interview/security/103-explain-forward-secrecy.txt
security/1c0bc687090f	security	easy	security, encryption	What is "Diffie-Hellman key exchange" and how does it work?	Have you heard of [The Two General's Problem](https://en.wikipedia.org/wiki/Two_Generals%27_Problem)? The Diffie-Hellman key exchange is a solution to this problem to allow for the secure exchange of cryptographic keys over an encrypted channel.\n\nIt works using public/private key pairs (asymmetric encryption). Two parties that wish to communicate securely over a public channel will each generate a public/private key pair and distribute the public key to the other party (note that public keys are free to be exchanged over a public channel). From here, each party can derive a shared key using a combination of their personal private key and the public key of the other party. This combined key can now be used as a symmetric encryption key for communications.	projects/knowledge/interview/security/051-what-is-diffie-hellman-key-exchange-and-how-does-i.txt
security/1c86149425ff	security	easy	security, encryption	What is a Certificate Authority?	[wikipedia](https://en.wikipedia.org/wiki/Certificate_authority) : A certificate Authority that stores, singns and issues certificates.\n \n A certificate certifies the authenticity of the public key delivered by the website. It prevents [man-in-the-middle](https://en.wikipedia.org/wiki/Man-in-the-middle_attack) attacks by providing a lot of information which identifie the public key.	projects/knowledge/interview/security/013-what-is-a-certificate-authority.txt
security/1ca75c4a3599	security	easy	security, vulnerability	What is SSRF (Server-Side Request Forgery) and why is it dangerous?	SSRF (Server-side request forgery) it's a vulnerability where you can make a server make arbitrary requests to anywhere you want.\n\nRead more about it at [portswigger.net](https://portswigger.net/web-security/ssrf)\n\nRemember: "CIA triad = Confidentiality, Integrity, Availability." Every security control maps to one or more of these.\n\nExample: Encryption = confidentiality, checksums = integrity, redundancy = availability.	projects/knowledge/interview/security/049-what-is-ssrf.txt
