id	category	tags	topic_text	trivia_fact	source
on-call/t001	on-call	pager,history,invention	The First Pager	The first telephone pager was patented in 1949 by Al Gross and used at New York's Jewish Hospital. Doctors carried brick-sized receivers that beeped when they were needed. It took until the 1980s for pagers to become widespread in both medicine and infrastructure operations.	al-gross-patent
on-call/t002	on-call	pagerduty,naming,literal	PagerDuty Name	PagerDuty, founded in 2009, is named literally after "pager duty" — the rotation of carrying the on-call pager. By the time the company launched, most actual pagers had been replaced by phone calls and push notifications, making the name a historical reference.	pagerduty.com/about
on-call/t003	on-call	rotation,medicine,history	Medical Residency Model	On-call rotations in tech were borrowed from medical residency programs, where junior doctors take overnight shifts covering hospital patients. The medical community has since concluded that 24+ hour shifts impair judgment comparable to alcohol intoxication — a finding SRE teams cite when arguing for shorter rotations.	lancet-fatigue-study
on-call/t004	on-call	alert-fatigue,healthcare,devops	Alert Fatigue Origins	"Alert fatigue" was studied extensively in healthcare before DevOps adopted the term. Hospitals found that when monitoring systems generated too many alarms, nurses ignored 72-99% of them. The Joint Commission cited alarm fatigue as a top patient safety concern in 2013, years before SRE teams recognized the same pattern.	joint-commission-2013
on-call/t005	on-call	runbook,testing,2am	The 2 AM Test	The "2 AM test" for runbooks asks: could a sleep-deprived engineer follow this document at 2 AM during an outage? If the answer is no, the runbook needs simplification. This test is attributed to Google SRE culture and emphasizes that on-call documentation must be actionable, not comprehensive.	google-sre-book
on-call/t006	on-call	error-budget,google,culture	Error Budget Revolution	Google SRE's "error budget" concept transformed on-call culture by reframing reliability as a feature with a budget. Instead of "never have outages," teams get a measurable budget (e.g., 0.1% downtime/quarter). When the budget is spent, feature releases slow until reliability improves. This aligned development and operations incentives.	google-sre-book
on-call/t007	on-call	toil,definition,google	Toil Definition	Google SRE formally defines toil as work that is manual, repetitive, automatable, tactical, devoid of enduring value, and scales linearly with service growth. If a task has all six properties, it's toil. The goal is keeping toil below 50% of an SRE's time so the rest goes to engineering work.	google-sre-book
on-call/t008	on-call	postmortem,blameless,culture	Blameless Postmortems	The "blameless postmortem" concept was popularized by John Allspaw at Etsy around 2012, drawing on Sidney Dekker's work in aviation safety. The core insight: punishing individuals for system failures discourages honest reporting, making future failures more likely, not less.	allspaw-etsy-2012
on-call/t009	on-call	war-room,military,incident	War Room Origins	The "war room" concept for incident response comes directly from military command centers. In tech, a war room is a physical or virtual space where the incident response team gathers during major outages. The term "incident commander" is also borrowed from military and emergency services (specifically FEMA's ICS).	fema-ics
on-call/t010	on-call	mttr,metrics,reliability	MTTR Over MTBF	Modern SRE philosophy shifted focus from MTBF (Mean Time Between Failures) to MTTR (Mean Time To Recovery), accepting that failures are inevitable and recovery speed matters more than prevention. This was a philosophical departure from traditional IT operations which optimized for zero-failure systems.	google-sre-book
