---
tags:
- linux
- l1
- flashcard-deck
- linux-filesystem
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Filesystems & Storage](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-filesystem/02390083f276	linux-filesystem	medium	linux, performance, iowait, troubleshooting, disk-io	You see high "iowait" in top. What are your next three steps to identify the culprit?	High iowait means CPU is idle waiting for I/O operations to complete.\n\nThree diagnostic steps:\n1. Identify the saturated disk:\n   - `iostat -xz 1`\n   - Look for high %util, await, and avgqu-sz columns\n   - Identifies WHICH disk device is the bottleneck\n\n2. Find the process generating I/O:\n   - `iotop` (requires root)\n   - Shows per-process I/O read/write rates\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/524-high-iowait-troubleshooting-steps.txt
linux-filesystem/05b9a872563d	linux-filesystem	hard	btrfs, linux, lvm, mount, system	To LVM or not to LVM. What benefits does it provide?	- LVM makes it quite easy to move file systems around\n- you can extend a volume group onto a new physical volume\n- move any number of logical volumes of an old physical one\n- remove that volume from the volume group without needing to unmount any partitions\n- you can also make snapshots of logical volumes for making backups\n- LVM has built in mirroring support so you can have a logical volume mirrored across multiple physical volumes\n- LVM even supports TRIM\n\nRemember: LVM: PV→VG→LV. "Disks→pool→partitions."\n\nExample: `pvcreate /dev/sdb && vgcreate myvg /dev/sdb && lvcreate -L 10G -n mylv myvg`	projects/knowledge/interview/linux/056-to-lvm-or-not-to-lvm-what-benefits-does-it-provide.txt
linux-filesystem/0729f6284269	linux-filesystem	hard	linux, filesystem, inode, troubleshooting, storage	What is an Inode, and what happens if a filesystem runs out of them?	An inode is a data structure storing file metadata, and running out prevents new file creation.\n\nWhat an inode contains:\n- File type and permissions\n- Owner (UID) and group (GID)\n- File size\n- Timestamps (atime, mtime, ctime)\n- Link count (hard links)\n\nRemember: Inode = metadata (perms, size, timestamps, blocks) but NOT filename.\n\nGotcha: Out of inodes before disk space with millions of tiny files. Check: `df -i`.	projects/knowledge/interview/linux/530-inode-exhaustion.txt
linux-filesystem/09bbcc6db662	linux-filesystem	easy	linux, lvm, storage	Explain the following in regards to LVM: PV, VG, LV	LVM has three abstraction layers:\n\nPV (Physical Volume):\n- Bottom layer\n- Actual disk or partition\n- Created with: pvcreate /dev/sdb\n- View with: pvs, pvdisplay\n\nVG (Volume Group):\n- Middle layer\n\nRemember: LVM: PV→VG→LV. "Disks→pool→partitions."\n\nExample: `pvcreate /dev/sdb && vgcreate myvg /dev/sdb && lvcreate -L 10G -n mylv myvg`	projects/knowledge/interview/linux/352-explain-the-following-in-regards-to-lvm-pv-vg-lv.txt
linux-filesystem/0b0db12e5397	linux-filesystem	hard	linux, storage, io, performance, syscalls	Why is fsync() one of the most dangerous syscalls?	fsync() forces synchronous writes through all layers, potentially stalling the entire I/O subsystem.\n\nWhat fsync() does:\n- Flushes file data to stable storage\n- Flushes filesystem metadata\n- Issues write barriers to hardware\n- Waits for confirmation from disk\n\nWhy it's dangerous:\n\n1. Stalls entire I/O queue\n   - Other processes wait behind fsync\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/506-fsync-dangerous-syscall.txt
linux-filesystem/10a0a1c46f57	linux-filesystem	easy	linux, lvm, storage	What is LVM (Logical Volume Manager) and why is it useful in Linux?	LVM (Logical Volume Manager) provides flexible disk management.\n\nComponents:\n- PV (Physical Volume): Actual disks/partitions\n- VG (Volume Group): Pool of PVs\n- LV (Logical Volume): Virtual partitions from VG\n\nBenefits:\n- Resize volumes online\n- Span multiple disks\n\nRemember: LVM: PV→VG→LV. "Disks→pool→partitions."\n\nExample: `pvcreate /dev/sdb && vgcreate myvg /dev/sdb && lvcreate -L 10G -n mylv myvg`	projects/knowledge/interview/linux/351-what-is-lvm.txt
linux-filesystem/10b224d5960e	linux-filesystem	medium	linux, filesystem, troubleshooting, disk-space, lsof	df -h shows a disk is 100% full, but du -sh of the mount point shows only 50% usage. Why?	The most common cause is deleted files still held open by running processes.\n\nExplanation:\n- When a file is deleted while a process has it open, the directory entry is removed\n- du only counts files visible in the directory tree\n- The file's data blocks remain allocated until the file descriptor is closed\n- df reports actual block allocation from filesystem metadata\n\n\n\nRemember: df=filesystem level. du=directory level. "df=room left, du=who's using it."	projects/knowledge/interview/linux/529-df-du-discrepancy.txt
linux-filesystem/11e17fd2d74e	linux-filesystem	medium	block-devices, linux	How can you print all the information on connected block devices in your system?	`lsblk` — lists all block devices (disks, partitions, LVM volumes) in a tree format showing name, size, type, and mountpoint. Add `-f` to include filesystem type and UUID.\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/278-how-can-you-print-all-the-information-on-connected.txt
linux-filesystem/138798132bfb	linux-filesystem	medium	linux, performance, iowait, storage	What does high iowait with low disk utilization usually mean?	Latency-bound I/O (small random reads/writes). Check `iostat -x` and `await`.\n\nOften caused by slow storage, seeks, or network-backed storage (NFS).\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/537-high-iowait-low-disk-util.txt
linux-filesystem/161b9b3da271	linux-filesystem	hard	linux, filesystem, recovery, troubleshooting, sysadmin	How do you recover a system where /etc is filled and / is read-only?	Boot to rescue mode and methodically clean up and fix the underlying issue.\n\nRecovery steps:\n1. Boot to rescue/live CD or use recovery mode from GRUB\n2. Mount root filesystem: `mount /dev/sda1 /mnt` (adjust device)\n3. If read-only, check for errors: `fsck /dev/sda1`\n4. Remount read-write: `mount -o remount,rw /mnt`\n5. Find large files: `du -ah /mnt/etc | sort -rh | head -20`\n6.\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/520-recover-etc-full-readonly.txt
linux-filesystem/17edc0a73f70	linux-filesystem	easy	linux, tar, archive	What is an archive? How do you create one in Linux?	An archive combines multiple files into one file.\n\ntar (Tape Archive):\n- tar cvf archive.tar files/ - Create archive\n- tar cvzf archive.tar.gz files/ - Create compressed (gzip)\n- tar cvjf archive.tar.bz2 files/ - Create compressed (bzip2)\n- tar xvf archive.tar - Extract\n\nOptions:\n- c: Create\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/384-what-is-an-archive-how-do-you-create-one-in-linux.txt
linux-filesystem/18b207a464d9	linux-filesystem	hard	linux, system, troubleshooting	Getting `Too many Open files` error for Postgres. How to resolve it?	Fixed the issue by reducing `max_files_per_process` e.g. to 200 from default 1000. This parameter is in `postgresql.conf` file and this sets the maximum number of simultaneously open files allowed to each server subprocess.\n\nUsually people start to edit `/etc/security/limits.conf` file, but forget that this file only apply to the actively logged in users through the PAM system.\n\nRemember: Linux FS knowledge is foundational. `man hier` shows the directory hierarchy.\n\nGotcha: Back up configs before editing: `cp file file.bak`. One typo can lock you out.	projects/knowledge/interview/linux/110-getting-codetoo-many-open-filescode-error-for-post.txt
linux-filesystem/19adca51bf61	linux-filesystem	medium	linux, filesystem, kernel, tuning, sysadmin	Explain /proc vs /sys vs /dev — what kind of tuning would you do in each?	These are virtual/special filesystems with distinct purposes.\n\n/proc - Process and kernel information:\n- Process info: /proc/<pid>/ (cmdline, fd, maps, status)\n- Kernel tunables: /proc/sys/\n- Examples:\n  - /proc/sys/vm/swappiness (memory management)\n  - /proc/sys/net/core/somaxconn (socket backlog)\n\nRemember: /proc=process/kernel info. /sys=device/driver. Both virtual — no disk used.	projects/knowledge/interview/linux/518-proc-sys-dev-differences.txt
linux-filesystem/1dd410e4112d	linux-filesystem	hard	filesystem, storage, inodes	What is an inode in Linux, and what happens when you run out of inodes?	An inode (index node) is a data structure that stores metadata about a file:\n- File type and permissions\n- Owner and group IDs\n- File size\n- Timestamps (access, modification, change)\n- Number of hard links\n\nRemember: Inode = metadata (perms, size, timestamps, blocks) but NOT filename.\n\nGotcha: Out of inodes before disk space with millions of tiny files. Check: `df -i`.	projects/knowledge/interview/linux/003-inode.txt
