canonical_command	purpose	context	frequency	where_used
kubectl get pods -n <ns>	List pods with status in namespace	k8s	14	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/*.md; training/interview-scenarios/*.md
kubectl logs -n <ns> deploy/<name>	View current container logs	k8s	12	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/crashloopbackoff.md; training/interview-scenarios/04-loki-logs-disappeared.md
kubectl port-forward -n monitoring svc/<svc> <local>:<remote>	Forward monitoring service port locally	k8s/obs	15	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/prometheus_target_down.md; training/library/guides/observability.md
kubectl exec -n <ns> deploy/<name> -- <cmd>	Execute command inside pod	k8s	10	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/readiness_probe_failed.md; training/library/runbooks/dns_resolution.md
kubectl describe pod -n <ns> <pod>	Full pod detail including events and conditions	k8s	9	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/*.md; training/interview-scenarios/*.md
kubectl rollout status deployment/<name> -n <ns>	Check deployment rollout progress	k8s	9	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/crashloopbackoff.md; training/interview-scenarios/01-deployment-stuck-progressing.md
kubectl get pods -n <ns> -o wide	List pods with node and IP info	k8s	4	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/readiness_probe_failed.md
kubectl top pods -n <ns>	Show pod CPU/memory usage	k8s	7	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/oomkilled.md; training/interview-scenarios/02-hpa-not-scaling.md
kubectl get hpa -n <ns>	Show HPA status and current metrics	k8s	4	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/hpa_not_scaling.md
kubectl describe hpa <name> -n <ns>	HPA detail with events and conditions	k8s	3	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/hpa_not_scaling.md; training/interview-scenarios/02-hpa-not-scaling.md
kubectl get endpoints -n <ns>	Show service endpoint IPs	k8s	5	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/readiness_probe_failed.md; training/library/runbooks/prometheus_target_down.md
kubectl get events -n <ns> --sort-by=.lastTimestamp	Recent events sorted by time	k8s	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/crashloopbackoff.md
kubectl get servicemonitor -n <ns> -o yaml	ServiceMonitor spec for label matching	k8s/obs	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/prometheus_target_down.md
kubectl get svc -n <ns> --show-labels	Services with labels for selector matching	k8s	2	training/library/runbooks/prometheus_target_down.md; training/interview-scenarios/03-prometheus-target-down.md
kubectl get networkpolicy -n <ns>	List NetworkPolicies	k8s	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/networkpolicy_block.md
kubectl get ingress -n <ns>	List ingress rules	k8s	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/ingress_404.md
kubectl auth can-i --list -n <ns>	Check current RBAC permissions	k8s	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/rbac_forbidden.md
kubectl rollout undo deployment/<name> -n <ns>	Rollback deployment to previous revision	k8s	2	training/kubectl-debugging-cheatsheet.md; training/interview-scenarios/01-deployment-stuck-progressing.md
kubectl rollout history deployment/<name> -n <ns>	Show deployment revision history	k8s	1	training/kubectl-debugging-cheatsheet.md
kubectl rollout restart deployment/<name> -n <ns>	Restart all pods in deployment	k8s	1	training/kubectl-debugging-cheatsheet.md
kubectl scale deployment <name> -n <ns> --replicas=<n>	Manually scale deployment	k8s	2	training/kubectl-debugging-cheatsheet.md
kubectl run <name> -n <ns> --rm -i --restart=Never --image=<img> -- <cmd>	Run ephemeral debug pod	k8s	3	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/dns_resolution.md
kubectl logs -n <ns> deploy/<name> --previous	Previous container logs after crash	k8s	1	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/crashloopbackoff.md
kubectl get pods -A	List pods across all namespaces	k8s	1	training/kubectl-debugging-cheatsheet.md
kubectl get configmap -n <ns>	List ConfigMaps	k8s	1	training/kubectl-debugging-cheatsheet.md
kubectl get secret -n <ns>	List secrets	k8s	1	training/kubectl-debugging-cheatsheet.md
kubectl top nodes	Show node CPU/memory usage	k8s	1	training/kubectl-debugging-cheatsheet.md
kubectl get deploy -n <ns> -o jsonpath='{.spec.template.spec.containers[0].image}'	Extract current image from deployment	k8s	5	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/imagepullbackoff.md
kubectl get --raw /apis/metrics.k8s.io/v1beta1/nodes	Test metrics-server API directly	k8s	2	training/library/runbooks/hpa_not_scaling.md; training/interview-scenarios/02-hpa-not-scaling.md
kubectl get pods -n kube-system -l k8s-app=kube-dns	Check CoreDNS pods	k8s	1	training/library/runbooks/dns_resolution.md
kubectl delete networkpolicy -n <ns> -l chaos=true	Remove chaos-applied policies	k8s	1	training/kubectl-debugging-cheatsheet.md
helm list -n <ns>	List Helm releases	helm	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/helm_upgrade_failed.md
helm history <release> -n <ns>	Release revision history	helm	4	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/helm_upgrade_failed.md; training/interview-scenarios/05-helm-upgrade-broke-prod.md
helm status <release> -n <ns>	Current release status	helm	4	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/helm_upgrade_failed.md
helm get values <release> -n <ns>	Current release values	helm	2	training/kubectl-debugging-cheatsheet.md; training/interview-scenarios/05-helm-upgrade-broke-prod.md
helm get manifest <release> -n <ns>	Rendered manifests of current release	helm	2	training/kubectl-debugging-cheatsheet.md; training/interview-scenarios/07-config-drift-detected.md
helm template <chart> -f <values> --debug	Debug template rendering	helm	2	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/helm_upgrade_failed.md
helm rollback <release> <revision> -n <ns>	Rollback to specific revision	helm	3	training/kubectl-debugging-cheatsheet.md; training/library/runbooks/helm_upgrade_failed.md; training/interview-scenarios/05-helm-upgrade-broke-prod.md
helm upgrade <release> <chart> -n <ns> -f <values>	Upgrade release with new values	helm	13	training/kubectl-debugging-cheatsheet.md; training/library/guides/local-developer-workflow.md; training/library/runbooks/helm_upgrade_failed.md
helm lint <chart>	Validate chart structure and values	helm	1	training/library/guides/local-developer-workflow.md
docker build -t <tag> .	Build container image	docker	3	training/library/guides/local-developer-workflow.md; training/library/guides/ci-pipeline.md
docker run --rm -p <hp>:<cp> <img>	Run container locally	docker	1	training/library/guides/local-developer-workflow.md
trivy image --severity HIGH,CRITICAL <img>	Scan image for high/critical vulnerabilities	cicd	5	training/library/guides/security-scanning.md; training/interactive/runtime-labs/lab-runtime-06-trivy-fail-to-green/
trivy image <img>	Scan image for all vulnerabilities	cicd	1	training/library/guides/security-scanning.md
trivy fs --severity HIGH,CRITICAL .	Scan filesystem for vulnerabilities	cicd	1	training/library/guides/security-scanning.md
ansible-playbook -i <inventory> <playbook>	Run Ansible playbook	ansible	9	training/library/guides/ansible-cluster-management.md; training/library/guides/cluster-upgrade-exercise.md
argocd app get <app>	Get ArgoCD application status	gitops	1	training/library/guides/gitops-example.md
argocd app sync <app>	Sync ArgoCD application	gitops	1	training/library/guides/gitops-example.md
argocd app history <app>	ArgoCD deployment history	gitops	1	training/library/guides/gitops-example.md
argocd app rollback <app> <id>	Rollback ArgoCD deployment	gitops	1	training/library/guides/gitops-example.md
make deploy-all	Deploy full stack (obs + app)	make	3	training/README.md
make status	Verify deployment status	make	1	training/README.md
make undeploy-all	Remove all deployed resources	make	7	training/README.md; training/kubectl-debugging-cheatsheet.md
curl http://localhost:<port>/<path>	Test HTTP endpoint locally	http	11	training/library/runbooks/*.md; training/library/guides/observability.md
