---
tags:
- cloud
- l1
- flashcard-deck
- gcp-troubleshooting
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [GCP Troubleshooting](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
gcp-ts/001	gcp-troubleshooting	easy	gcp, iam, troubleshooting	A developer gets "403 Forbidden" calling a GCP API. What do you check first?	1) Confirm the caller identity with 'gcloud auth list'. \n2) Check IAM bindings on the resource for the correct role. \n3) Look for Deny policies (IAM Deny). \n4) Check Organization Policy constraints. \n5) Verify the API is enabled on the project.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/002	gcp-troubleshooting	medium	gcp, iam, service-account	A workload on GCE has no access to Cloud Storage despite the VM's service account having roles/storage.objectViewer. What could be wrong?	1) The VM may have been created with insufficient access scopes — scopes AND IAM both must allow the action. \n2) Check that the correct service account is attached (gcloud compute instances describe). \n3) Bucket-level IAM or ACL may have an explicit deny.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/003	gcp-troubleshooting	hard	gcp, iam, service-account, cross-project	A service account in project A cannot access a resource in project B. What do you troubleshoot?	1) The service account must be granted an IAM role on the resource in project B. \n2) The target project must have the required API enabled. \n3) Check for Org Policy constraints like iam.allowedPolicyMemberDomains restricting cross-project access. \n4) VPC Service Controls perimeters may block cross-project API calls.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/004	gcp-troubleshooting	easy	gcp, firewall, networking	You created a firewall rule to allow port 443 but traffic is still blocked. What do you check?	1) Verify the rule targets the correct network and instances (check target tags or target service accounts). \n2) Confirm the source range is correct (0.0.0.0/0 for public). \n3) Check rule priority — a higher-priority deny rule may be winning. \n4) Verify the instance's network tag matches the firewall rule's target tag.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/005	gcp-troubleshooting	medium	gcp, firewall, routes	What is the difference between GCP firewall rules and routes, and how can confusing them cause connectivity issues?	Firewall rules filter traffic (allow/deny by protocol, port, source/target). Routes determine where traffic is forwarded (next hop). A route can send traffic to the correct destination, but a firewall rule can still block it. Always check both: 'gcloud compute routes list' and 'gcloud compute firewall-rules list'. The implied allow-egress and deny-ingress defaults also matter.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/006	gcp-troubleshooting	medium	gcp, vpc, networking	Instances in two different VPC networks cannot communicate. Peering is set up. What do you check?	1) VPC peering must be established in both directions (each side must create a peering connection). \n2) Peering does not export/import custom routes by default — enable 'export custom routes' and 'import custom routes' if using custom routes. \n3) Firewall rules must explicitly allow traffic from the peer CIDR. \n4) Subnet CIDRs must not overlap.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/007	gcp-troubleshooting	easy	gcp, instance, ssh, troubleshooting	You cannot SSH into a GCE instance. What do you check?	1) Firewall rule allowing TCP:22 from your IP (the default-allow-ssh rule may have been deleted). \n2) Instance must have an external IP or you must use IAP tunneling. \n3) OS Login or metadata-based SSH keys must be configured. \n4) The instance must be running and the guest OS must have sshd running. \n5) Check the serial console output for boot issues.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/008	gcp-troubleshooting	medium	gcp, cloud-nat, networking	Instances in a private subnet cannot reach the internet after setting up Cloud NAT. What do you troubleshoot?	1) Cloud NAT must be configured on the correct Cloud Router in the correct region. \n2) The NAT must be mapped to the correct subnets (or set to all subnets). \n3) Check that the route table has a default route (0.0.0.0/0) to the default internet gateway. \n4) Cloud NAT only covers TCP, UDP, and ICMP. \n5) Check NAT gateway logs in Cloud Logging for dropped connections or port exhaustion.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/009	gcp-troubleshooting	hard	gcp, cloud-nat, port-exhaustion	Cloud NAT is configured but you see intermittent connection failures from multiple VMs. What is the likely cause?	Port exhaustion. Each Cloud NAT IP provides 64,512 ports. With many VMs or high connection rates, you run out of source ports. Fix: \n1) Allocate more NAT IPs. \n2) Increase minPortsPerVm. \n3) Enable Dynamic Port Allocation. \n4) Reduce idle connection timeouts. Check the 'nat_allocation_failed' metric in Cloud Monitoring.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/010	gcp-troubleshooting	easy	gcp, load-balancer, health-check	A backend service behind an HTTP(S) load balancer shows all instances as unhealthy. What do you check?	1) The health check firewall rule must allow traffic from 130.211.0.0/22 and 35.191.0.0/16 (Google health check probe ranges). \n2) The health check path must return HTTP 200. \n3) The health check port must match the port the application listens on. \n4) The instance must be in a running state.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/011	gcp-troubleshooting	medium	gcp, load-balancer, troubleshooting	Users get 502 errors from a GCP HTTP(S) load balancer. What do you investigate?	1) Backend instances may be unhealthy — check health check status. \n2) The backend may be timing out (default timeout is 30s). \n3) The backend may be returning responses the LB cannot parse. \n4) Check that the named port on the instance group matches the backend service port. \n5) Review Cloud Logging for the load balancer (resource.type='http_load_balancer') to see statusDetails.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/012	gcp-troubleshooting	hard	gcp, load-balancer, ssl, troubleshooting	After attaching a Google-managed SSL certificate to an HTTPS load balancer, the certificate stays in PROVISIONING status. What is wrong?	1) DNS for the domain must resolve to the load balancer's IP before Google can provision the cert. \n2) The domain must be publicly resolvable (not just internal DNS). \n3) Port 443 must be open and the forwarding rule must be configured. \n4) It can take up to 24 hours. \n5) Check 'gcloud compute ssl-certificates describe' for domainStatus — FAILED_NOT_VISIBLE means DNS is not pointing correctly.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/013	gcp-troubleshooting	medium	gcp, gke, pod, troubleshooting	A pod in GKE is stuck in CrashLoopBackOff. What GCP-specific things do you check beyond standard Kubernetes debugging?	1) If the pod uses Workload Identity, verify the KSA-to-GSA binding and that the GSA has correct IAM roles. \n2) Check if the node pool has sufficient resources (may need to check cluster autoscaler). \n3) If pulling from Artifact Registry/GCR, verify the node service account has roles/artifactregistry.reader. \n4) Check GKE-specific logs in Cloud Logging under k8s_container.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/014	gcp-troubleshooting	hard	gcp, gke, networking	Pods in a GKE cluster cannot reach external services. Nodes have no public IPs. What do you troubleshoot?	1) Verify Cloud NAT is configured for the GKE subnet (including secondary ranges used for pods). \n2) For private clusters, the master authorized networks must allow the control plane. \n3) Check if IP masquerade agent is running and configured correctly. \n4) Network Policy or Dataplane V2 policies may be blocking egress. \n5) Check the default route (0.0.0.0/0) has not been deleted from the VPC.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/015	gcp-troubleshooting	medium	gcp, gke, workload-identity	A GKE pod using Workload Identity gets "403 Permission Denied" calling a GCP API. What do you check?	1) KSA annotation: 'iam.gke.io/gcp-service-account' must reference the correct GSA. \n2) GSA must have the IAM binding: roles/iam.workloadIdentityUser for the KSA. \n3) The GSA must have the required role on the target resource. \n4) The pod spec must set serviceAccountName to the annotated KSA. \n5) Workload Identity must be enabled on the cluster and node pool.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/016	gcp-troubleshooting	easy	gcp, storage, permissions	A Cloud Storage upload fails with "403 Access Denied" even though the user has roles/storage.objectCreator. What could be wrong?	1) roles/storage.objectCreator allows creating objects but NOT overwriting existing ones — you also need roles/storage.objectViewer or roles/storage.objectAdmin to overwrite. \n2) A bucket-level IAM policy or ACL may deny the action. \n3) VPC Service Controls may block access from outside the perimeter. \n4) Uniform bucket-level access may conflict with legacy ACLs.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/017	gcp-troubleshooting	medium	gcp, storage, lifecycle	Objects in a Cloud Storage bucket are disappearing unexpectedly. What do you check?	1) Inspect the bucket's lifecycle rules (gsutil lifecycle get gs://bucket) — there may be a delete rule based on age, storage class, or creation date. \n2) Check object versioning status — if disabled, overwrites destroy previous data. \n3) Review Cloud Audit Logs for storage.objects.delete events to identify the actor. \n4) Check for retention policies that may have expired.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/018	gcp-troubleshooting	medium	gcp, cloud-sql, connectivity	An application on GCE cannot connect to a Cloud SQL instance. What do you troubleshoot?	1) Use the Cloud SQL Auth Proxy for secure connections — direct IP requires authorized networks. \n2) Check that the GCE instance's IP is in Cloud SQL's authorized networks (for public IP). \n3) For private IP: verify both are on the same VPC or peered VPC, and private services access is configured. \n4) Verify the Cloud SQL Admin API is enabled. \n5) Check the service account has roles/cloudsql.client.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/019	gcp-troubleshooting	hard	gcp, cloud-sql, private-ip	After enabling private IP on Cloud SQL, connections from a peered VPC fail. What is the likely issue?	1) Private services access uses VPC peering, and transitive peering is not supported in GCP. If the app is in a VPC peered to the Cloud SQL VPC, you cannot reach Cloud SQL over two hops. \n2) Fix: use the Cloud SQL Auth Proxy running in the same VPC with private IP, or configure custom route export/import. \n3) DNS resolution must also work — check if the Cloud SQL private IP resolves correctly from the app VPC.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/020	gcp-troubleshooting	easy	gcp, logging, troubleshooting	You cannot find expected logs in Cloud Logging. What do you check?	1) The correct project is selected. \n2) The log sink/router has not excluded the logs (check _Default sink exclusion filters). \n3) The logging agent (Ops Agent) is installed and running on the VM. \n4) The retention period has not expired (default 30 days). \n5) The resource type and log name filters in the Logs Explorer are correct.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/021	gcp-troubleshooting	medium	gcp, monitoring, alerting	A Cloud Monitoring alert is not firing even though the condition appears met. What do you investigate?	1) Check the alignment period and aggregation — the metric may be averaged over a window that hides spikes. \n2) The alert may have a duration requirement (e.g., condition must be true for 5 minutes). \n3) Verify the notification channel is correctly configured and verified. \n4) Check if the alert policy is enabled. \n5) Use Metrics Explorer to visualize the raw metric and compare it to the alert threshold.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/022	gcp-troubleshooting	medium	gcp, pubsub, troubleshooting	Messages published to a Pub/Sub topic are not being received by the subscriber. What do you check?	1) Verify the subscription exists and is attached to the correct topic. \n2) Check the subscription type (pull vs push) — pull requires the subscriber to actively call pull. \n3) For push subscriptions, verify the endpoint URL is reachable and returns 2xx. \n4) Check the ackDeadline — messages not acknowledged are redelivered. \n5) Look at the subscription's 'oldest_unacked_message_age' metric to see if messages are accumulating.	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
gcp-ts/023	gcp-troubleshooting	hard	gcp, pubsub, ordering, duplicates	A Pub/Sub subscriber is receiving duplicate messages and messages out of order. What do you do?	1) Pub/Sub guarantees at-least-once delivery — duplicates are expected. Design the consumer to be idempotent. \n2) For ordering, you must set an ordering key on publish AND enable message ordering on the subscription. \n3) Even with ordering keys, different keys have no ordering guarantee between them. \n4) Ensure the subscriber acks promptly — slow acks cause redelivery. \n5) Consider exactly-once delivery (available for pull subscriptions with ack-with-id).	training/interactive/knowledge/data/cards/gcp-troubleshooting.tsv
