---
tags:
- k8s
- l1
- flashcard-deck
- k8s-core
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Core](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-core/0018698ddade	k8s-core	medium	kubernetes, scheduler, node	What the master node is responsible for?	The master coordinates all the workflows in the cluster:\n\n* Scheduling applications\n* Managing desired state\n* Rolling out new updates\n\nRemember: Use `kubectl explain <resource>` to explore API fields from the CLI.	projects/knowledge/interview/kubernetes/012-what-the-master-node-is-responsible-for.txt
k8s-core/00751ac0607c	k8s-core	medium	kubernetes, api-server, controller-manager	What is the role of kube-apiserver aggregation layer in Kubernetes?	* kube-apiserver Aggregation Layer: The aggregation layer extends the kube-apiserver to support custom APIs and resources.\n* It allows third-party APIs and controllers to be seamlessly integrated into the Kubernetes API.\n* Facilitates the development and deployment of custom extensions by different organizations or vendors.\n* The kube-apiserver aggregation layer enables the Kubernetes API to be extensible, supporting custom resources and APIs beyond the core Kubernetes objects. \n* This extensibility is essential for accommodating a wide range of use cases and domain-specific requirements.	projects/knowledge/interview/kubernetes/336-what-is-the-role-of-kube-apiserver-aggregation-lay.txt
k8s-core/0191f9fa0aeb	k8s-core	easy	kubernetes, node, pod	What is the role of the kube-proxy in Kubernetes networking?	Network proxy that runs on each node in the cluster. \nMaintains network rules on nodes, enabling communication between pods and services. \nImplements load balancing for services with multiple pod instances. \nkube-proxy plays a key role in Kubernetes networking by managing network connectivity for pods and services. It ensures that communication is correctly routed between pods and facilitates the exposure of services to the external network. Load balancing of service traffic is achieved by kube-proxy distributing requests among the available pod instances.	projects/knowledge/interview/kubernetes/321-what-is-the-role-of-the-kube-proxy-in-kubernetes-n.txt
k8s-core/0380752a57a8	k8s-core	easy	kubernetes, etcd, node	What is etcd and what role does it play in Kubernetes?	Kubernetes uses etcd as a distributed key-value store for all of its data, including metadata and configuration data, and allows nodes in Kubernetes clusters to read and write data. Although etcd was purposely built for CoreOS, it also works on a variety of operating systems (e.g., Linux, BSD, and OS X) because it is open-source. Etcd represents the state of a cluster at a specific moment in time and is a canonical hub for state management and cluster coordination of a Kubernetes cluster.	projects/knowledge/interview/kubernetes/398-what-is-etcd.txt
k8s-core/05630c40ec2b	k8s-core	easy	kubernetes, node, pod	What are the possible Pod phases?	* Running - The Pod bound to a node and at least one container is running\n  * Failed/Error - At least one container in the Pod terminated with a failure\n  * Succeeded - Every container in the Pod terminated with success\n  * Unknown - Pod's state could not be obtained\n  * Pending - Containers are not yet running (Perhaps images are still being downloaded or the pod wasn't scheduled yet)\n\nRemember: Use `kubectl explain <resource>` to explore API fields from the CLI.	projects/knowledge/interview/kubernetes/032-what-are-the-possible-pod-phases.txt
k8s-core/0602657902a2	k8s-core	hard	kubernetes, controller-manager, node	What is the purpose of the kube-controller-manager in Kubernetes?	* kube-controller-manager: The kube-controller-manager runs controller processes that regulate the state of the system.\n* Various controllers include Node Controller, Replication Controller, and Endpoints Controller.\n* Each controller manages specific aspects, ensuring that the desired state is maintained.\n* kube-controller-manager hosts multiple controllers, each responsible for specific tasks related to maintaining the desired state of the Kubernetes cluster. \n* These controllers work collaboratively to manage nodes, ensure replica sets are maintained, and update endpoints as services change.\n\nRemember: Controllers run reconciliation loops: desired state vs actual state → take action.\n\nExample: ReplicaSet controller: 2 running, 3 desired → create 1. That's reconciliation.	projects/knowledge/interview/kubernetes/333-what-is-the-purpose-of-the-kube-controller-manager.txt
k8s-core/08783c1fb5b3	k8s-core	medium	kubernetes, namespace, node	Which components can't be created within a namespace?	Volume and Node.\n\nExample: `kubectl create ns staging && kubectl config set-context --current --namespace=staging`\n\nRemember: Namespaces = logical isolation. Combine with ResourceQuotas, NetworkPolicies, RBAC.	projects/knowledge/interview/kubernetes/189-which-components-cant-be-created-within-a-namespac.txt
k8s-core/08d0be968e72	k8s-core	medium	kubernetes, pod	Discuss the relationship between Kubernetes and container runtimes like Docker and containerd.	* Kubernetes and Container Runtimes: Kubernetes interacts with container runtimes to deploy and manage containers.\n* Common container runtimes include Docker, containerd, and others.\n* Kubernetes abstracts the container runtime, allowing flexibility in choosing the underlying technology.\n\nRemember: Use `kubectl explain <resource>` to explore API fields from the CLI.	projects/knowledge/interview/kubernetes/359-discuss-the-relationship-between-kubernetes-and-co.txt
k8s-core/09b240933eac	k8s-core	medium	kubernetes, api-server, kubelet, node	What happens to running pods if if you stop Kubelet on the worker nodes?	When you stop the kubelet service on a worker node, it will no longer be able to communicate with the Kubernetes API server. As a result, the node will be marked as NotReady and the pods running on that node will be marked as Unknown. The Kubernetes control plane will then attempt to reschedule the pods to other available nodes in the cluster.\n\nRemember: kubelet = node agent. Takes PodSpecs, ensures containers are running and healthy.\n\nUnder the hood: kubelet talks to container runtime (containerd, CRI-O) via CRI interface.	projects/knowledge/interview/kubernetes/023-what-happens-to-running-pods-if-if-you-stop-kubele.txt
k8s-core/0cb97529d666	k8s-core	medium	kubernetes, kubelet, pod	Describe how would you delete a static Pod	Locate the static Pods directory (look at `staticPodPath` in kubelet configuration file).\n\nGo to that directory and remove the manifest/definition of the staic Pod (`rm <STATIC_POD_PATH>/<POD_DEFINITION_FILE>`)\n\nRemember: `--dry-run=client -o yaml` generates manifests. `kubectl explain` shows field schemas.	projects/knowledge/interview/kubernetes/056-describe-how-would-you-delete-a-static-pod.txt
