---
tags:
- cloud
- l1
- flashcard-deck
- aws-compute
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [AWS EC2](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-compute/034c74d36723	aws-compute	medium	aws, ec2, reserved-instances	Explain EC2 Capacity Reservations	* Allows you to ensure you have EC2 capacity when you need it\n* Usually combined with Reserved Instances and Saving Plans to achieve cost saving\n\nRemember: right-sizing is the #1 cost optimization. Use AWS Compute Optimizer to identify over-provisioned instances. Most workloads use less than 40% of their allocated CPU.	projects/knowledge/interview/aws/089-explain-ec2-capacity-reservations.txt
aws-compute/044c930ced78	aws-compute	easy	aws, ec2, ecs	What is Amazon ECS and how does it orchestrate containers?	"[AWS Docs](https://aws.amazon.com/ecs): ""Amazon Elastic Container Service (Amazon ECS) is a fully managed container orchestration service. Customers such as Duolingo, Samsung, GE, and Cook Pad use ECS to run their most sensitive and mission critical applications because of its security, reliability, and scalability.""\n\nIn simpler words, it allows you to launch containers on AWS. \nWhile AWS takes care of starting/stopping containers, you need to provision and maintain the infrastructure where the containers are running (EC2 instances).\n\nRemember: ECS = AWS-native container orchestration. Fargate = serverless ECS (no EC2 to manage). EC2 launch type = you manage the instances."	projects/knowledge/interview/aws/131-what-is-amazon-ecs.txt
aws-compute/0b833d7fe5ba	aws-compute	medium	aws, ec2	Explain EC2 Instance Store. Why would someone choose to use it over other options?	EC2 instance store provides better I/O performances when compared to EBS. \nIt is mostly used for cache and temporary data purposes.\n\nGotcha: instance store data is lost when the instance stops, terminates, or hibernates — physically attached to the host. Use EBS for persistence.\n\nUnder the hood: instance store uses NVMe SSDs on the hypervisor host, delivering hundreds of thousands of IOPS with sub-millisecond latency.\n\nGotcha: check the instance type's network bandwidth, EBS bandwidth, and vCPU-to-memory ratio before choosing. The cheapest instance isn't always the most cost-effective.	projects/knowledge/interview/aws/046-explain-ec2-instance-store-why-would-someone-choos.txt
aws-compute/0cbc97065ff9	aws-compute	medium	aws, auto-scaling	What is Warmup and Cool down period ?	* *Warm Up Time*: Duration for newly launched instances to stabilize before they receive full traffic.\n* *Cool Down Period*: Time during which Auto Scaling waits before another scaling activity.\n\nRemember: right-sizing is the #1 cost optimization. Use AWS Compute Optimizer to identify over-provisioned instances. Most workloads use less than 40% of their allocated CPU.	projects/knowledge/interview/aws/451-what-is-warmup-and-cool-down-period.txt
aws-compute/0d8c4a5bdd5e	aws-compute	medium	aws, auto-scaling, ec2	Explain Auto Scaling Group	"[Amazon Docs](https://docs.aws.amazon.com/autoscaling/ec2/userguide/AutoScalingGroup.html): ""An Auto Scaling group contains a collection of Amazon EC2 instances that are treated as a logical grouping for the purposes of automatic scaling and management. An Auto Scaling group also enables you to use Amazon EC2 Auto Scaling features such as health check replacements and scaling policies""\n\nRemember: ASG = min + desired + max capacity. CloudWatch alarms trigger scaling policies. Desired adjusts between min and max."	projects/knowledge/interview/aws/202-explain-auto-scaling-group.txt
aws-compute/12464c809875	aws-compute	medium	aws, ec2	If you would like to have an hardware disk attached to your EC2 instead of a network one (EBS). What would you use?	EC2 Instance Store.\n\nGotcha: instance store data is lost when the instance stops, terminates, or hibernates — physically attached to the host. Use EBS for persistence.\n\nUnder the hood: instance store uses NVMe SSDs on the hypervisor host, delivering hundreds of thousands of IOPS with sub-millisecond latency.\n\nRemember: EBS volume types: gp3 (general purpose, baseline 3000 IOPS), io2 (high IOPS, up to 64000), st1 (throughput HDD), sc1 (cold HDD). gp3 is the default choice for most workloads.	projects/knowledge/interview/aws/045-if-you-would-like-to-have-an-hardware-disk-attache.txt
aws-compute/1b0cb8ccb7e4	aws-compute	medium	aws, ami, ec2, ecs	What one should do in order to make EC2 instance part of an ECS cluster?	Install ECS agent on it. Some AMIs have built-in configuration for that.\n\nUnder the hood: the ECS agent is a Go binary that registers the instance with the ECS control plane, pulls images, and manages task lifecycle.\n\nGotcha: Amazon Linux 2/2023 AMIs include the ECS agent. Other AMIs require manual install and configuration.\n\nRemember: ECS = AWS-native container orchestration. Fargate = serverless ECS (no EC2 to manage). EC2 launch type = you manage the instances.	projects/knowledge/interview/aws/132-what-one-should-do-in-order-to-make-ec2-instance-p.txt
aws-compute/1c9b1748c070	aws-compute	hard	aws, spot-instances	True or False? Cancelling a Spot instance request terminates the instance	False. When you cancel a Spot instance request, you are not terminating the instances created by it. \nTo terminate such instances, you must cancel the Spot instance request first.\n\nRemember: Spot = up to 90% cheaper but can be reclaimed with 2-minute warning. Great for batch jobs, CI/CD runners, and stateless workers.\n\nGotcha: spot instances get a 2-minute termination notice via instance metadata. Your app must handle graceful shutdown.	projects/knowledge/interview/aws/079-true-or-false-cancelling-a-spot-instance-request-t.txt
aws-compute/20500b9163cb	aws-compute	easy	aws, ec2	What is AWS EC2 and when would you use it?	a web service that provides secure, resizable compute capacity in the cloud.\nRead more [here](https://aws.amazon.com/ec2)\n\nName origin: EC2 = Elastic Compute Cloud. 'Elastic' because capacity scales in minutes, not weeks.\n\nFun fact: EC2 launched August 2006 with one instance type (m1.small, 1.7GB RAM). Today there are 750+ types.\n\nName origin: EC2 = Elastic Compute Cloud. 'Elastic' because you can scale up/down on demand.\n\nRemember: EC2 instance types follow the pattern: family + generation + size. Example: m5.xlarge = general purpose, 5th gen, extra large.	projects/knowledge/interview/aws/020-what-is-ec2.txt
aws-compute/2158de78b0b9	aws-compute	medium	aws, ec2, reserved-instances	Which tool would you use for choosing between Reserved instances or On-Demand instances?	AWS Cost Explorer — a built-in console tool that analyzes your historical spending patterns and usage data, then provides recommendations on whether Reserved Instances or Savings Plans would reduce costs compared to On-Demand pricing.\n\nRemember: right-sizing is the #1 cost optimization. Use AWS Compute Optimizer to identify over-provisioned instances. Most workloads use less than 40% of their allocated CPU.	projects/knowledge/interview/aws/271-which-tool-would-you-use-for-choosing-between-rese.txt
