---
tags:
- devops
- l1
- flashcard-deck
- ansible-ops
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Ansible](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
ansible-ops/06e18cf872fc	ansible-ops	hard	ansible, scenario	Managing Multiple Environments	To manage multiple environments, I would use separate inventory files and group variables for each environment.\n\nExample directory structure:\n\n```\ninventories/\n  development/\n    hosts\n    group_vars/\n      all.yml\n  staging/\n    hosts\n    group_vars/\n      all.yml\n  production/\n    hosts\n    group_vars/\n      all.yml\nsite.yml\n```\n\nIn site.yml, specify the inventory file based on the environment:\n\n```\nansible-playbook -i inventories/development/hosts site.yml\nansible-playbook -i inventories/staging/hosts site.yml\nansible-playbook -i inventories/production/hosts site.yml\n```\n\nThis approach keeps environment-specific configurations separate and manageable.\n\nRemember: Ansible operations best practice — always use version control for playbooks, test in staging before production, and document your inventory structure for the team.	projects/knowledge/interview/ansible/128-managing-multiple-environments-scenario-you-need-t.txt
ansible-ops/0affee97a99f	ansible-ops	medium	ansible, module, testing	What steps would you take to debug an issue with Ansible Container?	Debug by:\n* Reviewing Ansible Container logs.\n* Checking container runtime logs.\n* Inspecting container build outputs.\n* Using the --debug option for detailed debugging information.\n\nGotcha: Ansible Container was archived/deprecated in 2019. Modern container workflows use ansible-builder for Execution Environments or standard Dockerfiles.\n\nRemember: Ansible operations best practice — always use version control for playbooks, test in staging before production, and document your inventory structure for the team.	projects/knowledge/interview/ansible/111-what-steps-would-you-take-to-debug-an-issue-with-a.txt
ansible-ops/12628f8a3ec7	ansible-ops	easy	ansible, playbooks	What is an Ansible playbook?	"A playbook is a YAML file containing one or more ""plays"", which map a set of tasks to a group of hosts. It defines what tasks to run on which hosts (and in what order) to automate configuration or deployment.\n\nRemember: playbook = 'the script', play = 'a scene', task = 'a line.' A playbook has plays, plays have tasks.\n\nExample: ansible-playbook site.yml runs the playbook. Add -C for check mode (dry run), -D for diff output."	projects/knowledge/interview/ansible/135-what-is-playbook.txt
ansible-ops/13b642d01c22	ansible-ops	hard	ansible, performance, scalability, automation	What's the most common non-obvious Ansible scalability killer?	Fact gathering - enabled by default, runs on every host, before any tasks.\n\nThe problem:\n- `gather_facts: true` is default\n- Collects extensive system info via setup module\n- Runs sequentially per fork\n- Takes 2-10 seconds PER HOST\n- 1000 hosts * 5 seconds = 83 minutes before first task\n\nOther scalability killers:\n\n1. SSH connection setup\n   - New connection per host per play\n   - SSH handshake overhead\n   - Mitigation: pipelining, ControlPersist\n\nRemember: Ansible operations best practice — always use version control for playbooks, test in staging before production, and document your inventory structure for the team.	projects/knowledge/interview/ansible/131-ansible-scalability-killer.txt
ansible-ops/19b95d66ae18	ansible-ops	easy	ansible, playbooks	"What are Ansible ""playbooks""?"	YAML scripts that declare the desired state of a system.\n\nExample: a playbook targeting [webservers] installs nginx, templates the config, and notifies a handler to restart — all in one YAML file.\n\nName origin: from sports — a 'playbook' is a collection of plays (strategies) to run in sequence.\n\nRemember: Ansible operations best practice — always use version control for playbooks, test in staging before production, and document your inventory structure for the team.	projects/knowledge/interview/ansible/135-ansible-playbooks.txt
ansible-ops/287fd427b462	ansible-ops	easy	ansible, playbooks, commands	How do you run an Ansible playbook on a specific group of hosts?	"By using the -l (limit) flag or by specifying hosts in the playbook. For example: ansible-playbook site.yml -l webservers would run the playbook only on hosts in the ""webservers"" group.\n\nExample: ansible-playbook -i inventory.ini site.yml -l webservers --check --diff — runs in check mode on webservers only, showing what would change."	projects/knowledge/interview/ansible/139-run-playbook-on-group.txt
ansible-ops/29809b9fd389	ansible-ops	medium	ansible, strategy	What strategies are you familiar with in Ansible?	- Linear: the default strategy in Ansible. Run each task on all hosts before proceeding.\n  - Free: For each host, run all the tasks until the end of the play as soon as possible\n  - Debug: Run tasks in an interactive way\n\nRemember: Linear (default) = task-by-task across all hosts. Free = each host runs independently. Debug = interactive step-through. Set via strategy: free in the play.	projects/knowledge/interview/ansible/024-what-strategies-are-you-familiar-with-in-ansible.txt
ansible-ops/29b5a19f70ac	ansible-ops	medium	ansible, idempotency	How does Ansible ensure idempotence?	Ansible ensures idempotence by executing tasks only if the desired state is different from the current state. Tasks are designed to be repeatable without causing unintended changes, ensuring consistency in configurations.\n\nExample: 'Ensure nginx is installed' is idempotent — it checks first. 'Run apt install nginx' via shell is not — it runs every time.	projects/knowledge/interview/ansible/034-how-does-ansible-ensure-idempotence.txt
ansible-ops/33b59b8c2ef6	ansible-ops	easy	ansible, tasks	What is a task in Ansible?	A task is the smallest unit of action in a playbook, typically calling an Ansible module with specific arguments (e.g., a task to install a package or copy a file).\n\nRemember: task = one action on one or more hosts. A task calls a module (apt, copy, service) with parameters. Tasks execute in order within a play.\n\nExample: - name: Install nginx\n  apt: name=nginx state=present — this is one task calling the apt module.	projects/knowledge/interview/ansible/136-what-is-task.txt
ansible-ops/39065f9e1001	ansible-ops	hard	ansible, scenario	Migrating Legacy Scripts to Ansible	"To migrate legacy scripts to Ansible:\n\nIdentify Tasks: Break down the shell script into discrete tasks.\n\nUse Ansible Modules: Replace shell commands with equivalent Ansible modules.\n\nStructure Playbooks: Organize tasks into roles and playbooks for better management.\n\nExample migration:\n\nOriginal shell script:\n\n```\n#!/bin/bash\napt-get update\napt-get install -y nginx\necho ""Hello, World!"" > /var/www/html/index.html\n```\n\nMigrated Ansible playbook:\n\n\n```\n- hosts: web\n  tasks:\n    - name: Update apt cache\n      apt:\n        update_cache: yes\n\n    - name: Install Nginx\n      apt:\n        name: nginx\n        state: present\n\n    - name: Create index.html\n      copy:\n        content: ""Hello, World!""\n        dest: /var/www/html/index.html\n```\n\nRemember: Ansible operations best practice — always use version control for playbooks, test in staging before production, and document your inventory structure for the team."	projects/knowledge/interview/ansible/127-migrating-legacy-scripts-to-ansible-scenario-you-h.txt
