---
tags:
- cli
- l1
- flashcard-deck
- fd
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [fd](../../../../library/portal/topics.md) | **Domain:** CLI Tools
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
fd/a1e2f3b4c5d6	fd	easy	fd, basics, search	How does fd's default behavior differ from find?	fd searches recursively with a simpler syntax (no need for . or -name), is case-insensitive by default, respects .gitignore, skips hidden files, and uses colorized output.\n\nRemember: fd = "find for humans." Simpler syntax, .gitignore-aware, parallel, colorized, and 3-5x faster.	training/library/topics/fd/primer.md
fd/b2f3a4c5d6e7	fd	easy	fd, types, filter	How do you find only directories (not files) with fd?	Use the -t d flag: fd -t d "config". Similarly, -t f for files only, -t l for symlinks, -t x for executables, and -t e for empty files/dirs.\n\nRemember: -t d=dirs, -t f=files, -t l=symlinks, -t x=executables, -t e=empty. Composable type flags.	training/library/topics/fd/primer.md
fd/c3a4b5d6e7f8	fd	easy	fd, extension, filter	How do you search for files by extension with fd?	Use the -e flag: fd -e yaml finds all YAML files. Combine multiple extensions with: fd -e yaml -e yml.\n\nExample: fd -e py -e js finds Python and JS files. -e handles dotfiles correctly and is more readable than regex.	training/library/topics/fd/primer.md
fd/d4b5c6e7f8a9	fd	medium	fd, hidden, ignore	How do you include hidden files and .gitignore'd files in fd searches?	Use --hidden to include dotfiles, --no-ignore to include .gitignore'd files, or both flags together to include everything.\n\nRemember: --hidden = show dotfiles. --no-ignore = show gitignored. Both = show everything like find.	training/library/topics/fd/primer.md
fd/e5c6d7f8a9b0	fd	medium	fd, exec	What is the difference between --exec and --exec-batch in fd?	--exec runs the command once per match in parallel (like find -exec {} \;). --exec-batch runs the command once with all matches as arguments (like xargs — single process invocation).\n\nRemember: --exec = one cmd per match (parallel). --exec-batch = one cmd with ALL matches (like xargs).	training/library/topics/fd/primer.md
fd/f6d7e8a9b0c1	fd	medium	fd, size, time	How do you filter files by size and modification time with fd?	Use --size for size (e.g., --size +10m for files over 10MB) and --changed-within or --changed-before for time (e.g., --changed-within 24h for recently modified).\n\nExample: fd --size +10m --changed-within 24h finds large recently-modified files. Great for hunting disk hogs.	training/library/topics/fd/primer.md
fd/a7e8f9b0c1d2	fd	medium	fd, exclude	How do you exclude directories or patterns from fd results?	Use the -E flag: fd -E node_modules -E .git "config" excludes those directories. Pattern exclusion: fd -E '*.bak' excludes backup files.\n\nExample: fd -E node_modules -E .git 'config' — clean results. Glob patterns: -E '*.bak' excludes backups.	training/library/topics/fd/primer.md
fd/b8f9a0c1d2e3	fd	hard	fd, exec, placeholders	What placeholder tokens are available in fd's --exec command?	{} = full path, {/} = basename, {//} = parent directory, {.} = path without extension, {/.} = basename without extension.\n\nRemember: {} full path, {/} basename, {//} parent, {.} no extension, {/.} basename no extension.	training/library/topics/fd/primer.md
fd/c9a0b1d2e3f4	fd	hard	fd, glob, regex	How do you switch fd from regex mode to glob mode?	Use the -g flag: fd -g '*.yaml' uses glob matching. Use -F for fixed string matching (no regex). Default mode is regex: fd '^test.*\.py$'.\n\nRemember: default=regex, -g=glob, -F=fixed string. Three search modes for different needs.	training/library/topics/fd/primer.md
fd/d0b1c2e3f4a5	fd	hard	fd, config, ignore	How do you configure project-level ignore rules for fd?	Create a .fdignore file in the project root with .gitignore syntax. fd also reads .ignore files (shared with rg). Global ignores go in ~/.fdignore.\n\nAnalogy: .fdignore is to fd what .gitignore is to git — same glob syntax, same purpose (skip unwanted paths).\n\nGotcha: fd reads .gitignore AND .fdignore AND .ignore. Use --no-ignore to override all three.\n\nWho made it: David Peter (sharkdp) created fd in 2017 as a Rust rewrite of find.	training/library/topics/fd/primer.md
