---
tags:
- linux
- l1
- flashcard-deck
- linux-performance
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Linux Performance Tuning](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-performance/070ae4cdb319	linux-performance	medium	linux, kernel, limits, file-descriptors, tuning	Explain the difference between ulimit -n and fs.file-max — how do they interact?	These are two different layers of file descriptor limits.\n\nulimit -n (per-process limit):\n- Soft and hard limits per process\n- Configured in /etc/security/limits.conf\n- Syntax: `<user> <soft/hard> nofile <value>`\n- Example: `* hard nofile 65535`\n- Check current: `ulimit -n` (soft), `ulimit -Hn` (hard)\n\nRemember: Toolkit: top/htop(overview), vmstat(memory), iostat(disk), sar(historical).\n\nRemember: USE method: Utilization, Saturation, Errors for each resource.	projects/knowledge/interview/linux/521-ulimit-vs-file-max.txt
linux-performance/0853314c93c0	linux-performance	hard	cpu, io, linux, memory, system	High load average but low CPU usage - why?	Load average includes both runnable AND uninterruptible (D state) processes. Low CPU with high load means processes are blocked waiting on something:\n\nCommon causes:\n* **I/O wait**: Disk saturation, slow storage\n* **NFS latency**: Hung NFS mounts\n* **Blocked threads**: Mutex contention, lock waits\n* **Storage issues**: SAN latency, RAID rebuild\n\n\n\nRemember: Load avg = processes in run/IO-wait over 1/5/15 min. 4-core: load 4.0 = 100%.\n\nGotcha: Load includes I/O wait. High load + low CPU = disk bottleneck.	projects/knowledge/interview/linux/451-high-load-but-low-cpu-usage-why.txt
linux-performance/29cefd14d784	linux-performance	easy	benchmarking, cpu, linux, memory, system	What is load average?	Linux **load averages** are "system load averages" that show the running thread (task) demand on the system as an average number of running plus waiting threads. This measures demand, which can be greater than what the system is currently processing. Most tools show three averages, for 1, 5, and 15 minutes.\n\n\nRemember: Load avg = processes in run/IO-wait over 1/5/15 min. 4-core: load 4.0 = 100%.\n\nGotcha: Load includes I/O wait. High load + low CPU = disk bottleneck.	projects/knowledge/interview/linux/012-what-is-load-average.txt
linux-performance/2fba3801873b	linux-performance	medium	linux, profiling, system	You have added several aliases to `.profile`. How to reload shell without exit?	The best way is `exec $SHELL -l` because `exec` replaces the current process with a new one. Also good (but other) solution is `. ~/.profile`.\n\nRemember: Toolkit: top/htop(overview), vmstat(memory), iostat(disk), sar(historical).\n\nRemember: USE method: Utilization, Saturation, Errors for each resource.	projects/knowledge/interview/linux/076-you-have-added-several-aliases-to-codeprofilecode-.txt
linux-performance/37db55e35f13	linux-performance	medium	benchmarking, cpu, io, linux, monitoring, performance	What is the difference between CPU load and utilization?	They measure different things:\n\nCPU Utilization:\n- Percentage of time CPU is busy (0-100%)\n- Measured by: top, mpstat\n\nCPU Load (Load Average):\n- Number of processes wanting CPU + waiting for I/O\n- Can exceed number of cores\n- Measured by: uptime, /proc/loadavg\n\nKey insight: Linux load includes D-state (I/O wait) processes.\n- High load + low CPU util = I/O bottleneck\n- High load + high CPU util = CPU bottleneck\n\nRemember: CPU: us(user), sy(system), wa(IO wait), st(stolen). High wa = disk problem.	projects/knowledge/interview/linux/334-what-is-the-difference-between-cpu-load-and-utiliz.txt
linux-performance/3d54922f1401	linux-performance	medium	cpu, io, linux, memory, system	A Linux server is slow. Where do you start?	Systematic approach - don't guess, validate bottlenecks:\n\n1. **Load**: `uptime` - is the system under pressure?\n2. **CPU**: `top`/`htop` - check steal time (VM), iowait, user vs system\n3. **Memory**: `free -h`, check for swapping (`vmstat 1`)\n4. **Disk I/O**: `iostat -x 1`, `iotop` - check await, %util\n5. **Network**: `ss -s`, `iftop` if network-bound\n6.\n\nRemember: Toolkit: top/htop(overview), vmstat(memory), iostat(disk), sar(historical).\n\nRemember: USE method: Utilization, Saturation, Errors for each resource.	projects/knowledge/interview/linux/450-a-linux-server-is-slow-where-do-you-start.txt
linux-performance/4d75b2372b04	linux-performance	hard	cpu, io, linux, system	What does CPU jumps mean?	An OS is a very busy thing, particularly so when you have it doing something (and even when you aren't). And when we are looking at an active enterprise environment, something is always going on.\n\nMost of this activity is "bursty", meaning processes are typically quiescent with short periods of intense activity. This is certainly true of any type of network-based activity (e.g.\n\nRemember: CPU: us(user), sy(system), wa(IO wait), st(stolen). High wa = disk problem.	projects/knowledge/interview/linux/102-what-does-cpu-jumps-mean.txt
linux-performance/53e7bfb6d855	linux-performance	easy	linux, debugging, strace, syscalls	How do you trace system calls?	`strace <cmd>` or `strace -f -p <pid>`.\n\nUse `-e` filters. For lower overhead: `perf trace`.\n\nRemember: Toolkit: top/htop(overview), vmstat(memory), iostat(disk), sar(historical).\n\nRemember: USE method: Utilization, Saturation, Errors for each resource.	projects/knowledge/interview/linux/551-trace-system-calls.txt
linux-performance/54e23c3b3b42	linux-performance	hard	linux, performance, troubleshooting, load-average, io-wait	How would you debug high load average with almost no CPU usage?	High load with low CPU indicates processes in uninterruptible sleep (D state), typically waiting on I/O.\n\nDiagnostic approach:\n1. Identify D state processes: `top` or `htop` - look for 'D' in state column\n2. Check I/O metrics: `iostat -x 1` - look at %util, await, avgqu-sz\n3. System overview: `vmstat 1` - check 'b' column (blocked processes)\n4.\n\nRemember: Load avg = processes in run/IO-wait over 1/5/15 min. 4-core: load 4.0 = 100%.\n\nGotcha: Load includes I/O wait. High load + low CPU = disk bottleneck.	projects/knowledge/interview/linux/513-high-load-average-low-cpu-usage.txt
linux-performance/6027b0951f7e	linux-performance	medium	bottleneck, linux	You know how to see the load average, great. but what each part of it means? for example 1.43, 2.34, 2.78	[This article](http://www.brendangregg.com/blog/2017-08-08/linux-load-averages.html) summarizes the load average topic in a great way\n\nRemember: Load avg = processes in run/IO-wait over 1/5/15 min. 4-core: load 4.0 = 100%.\n\nGotcha: Load includes I/O wait. High load + low CPU = disk bottleneck.	projects/knowledge/interview/linux/219-you-know-how-to-see-the-load-average-great-but-wha.txt
