---
tags:
- devops
- l1
- flashcard-deck
- helm
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Helm](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
helm/001	helm	easy	helm, charts, structure	What are the required files and directories in a minimal Helm chart?	A minimal Helm chart requires: Chart.yaml (chart metadata), templates/ directory (containing at least one template), and optionally values.yaml. Chart.yaml must include apiVersion, name, and version fields. You can scaffold one with `helm create &lt;name&gt;`.	training/interactive/knowledge/data/cards/helm.tsv
helm/002	helm	medium	helm, values, precedence	In what order does Helm merge values when you run `helm install -f custom.yaml --set image.tag=v2`?	Helm merges values in this order (last wins): \n1) chart's values.yaml, \n2) parent chart's values.yaml (if subchart), \n3) files passed via -f/--values (in order given), \n4) --set and --set-string flags. So --set image.tag=v2 overrides anything in custom.yaml, which overrides the chart default.	training/interactive/knowledge/data/cards/helm.tsv
helm/003	helm	easy	helm, template, debugging	How do you preview the rendered manifests without actually deploying them?	Use `helm template &lt;release&gt; &lt;chart&gt;` to render locally, or `helm install --dry-run --debug &lt;release&gt; &lt;chart&gt;` to render server-side (which also validates against the cluster API). The --debug flag adds extra output including computed values.	training/interactive/knowledge/data/cards/helm.tsv
helm/004	helm	medium	helm, upgrade, rollback	What happens to Kubernetes resources when you run `helm rollback &lt;release&gt; &lt;revision&gt;`?	Helm creates a new release revision with the manifests from the target revision. It applies a three-way strategic merge patch comparing the old manifest, the rollback target manifest, and the live state. Resources added in later revisions but absent in the rollback target are deleted. The rollback itself becomes a new revision number.	training/interactive/knowledge/data/cards/helm.tsv
helm/005	helm	hard	helm, hooks	What are Helm hook weights and deletion policies, and how do they interact during an upgrade?	Hook weights (helm.sh/hook-weight annotation) control execution order within the same hook event (lower runs first, default 0). Deletion policies (helm.sh/hook-delete-policy) determine when hook resources are cleaned up: before-hook-creation (delete previous instance before running), hook-succeeded (delete after success), hook-failed (delete after failure). Without a deletion policy, hook resources remain until the release is deleted.	training/interactive/knowledge/data/cards/helm.tsv
helm/006	helm	medium	helm, dependencies, subcharts	How do you declare and manage chart dependencies, and what does `helm dependency update` do?	Dependencies are declared in Chart.yaml under the dependencies key (with name, version, repository, and optional condition/tags). Running `helm dependency update` downloads the dependency charts into the charts/ directory as .tgz archives and generates or updates Chart.lock. If Chart.lock exists, `helm dependency build` uses the locked versions instead of resolving again.	training/interactive/knowledge/data/cards/helm.tsv
helm/007	helm	hard	helm, template, functions	What is the difference between `include` and `template` in Helm templates, and why does it matter for pipelines?	The `template` action renders a named template inline but returns nothing (it writes directly to output), so it cannot be piped. The `include` function renders a named template and returns the result as a string, allowing you to pipe it through functions like `nindent` or `quote`. Always prefer `include` when you need post-processing: `{{ include "mychart.labels" . | nindent 4 }}`.	training/interactive/knowledge/data/cards/helm.tsv
helm/008	helm	medium	helm, release, management	A release is stuck in a "pending-upgrade" state after a failed deploy. How do you recover?	First, check status with `helm status &lt;release&gt;` and history with `helm history &lt;release&gt;`. If the release is stuck in pending-upgrade or pending-install, you can attempt `helm rollback &lt;release&gt; &lt;last-good-revision&gt;`. If rollback also fails, use `helm uninstall &lt;release&gt;` (possibly with --no-hooks) and reinstall, or as a last resort, manually delete the Helm secret (sh.helm.release.v1.&lt;name&gt;.v&lt;N&gt;) storing the broken state.	training/interactive/knowledge/data/cards/helm.tsv
helm/009	helm	easy	helm, repository	How do you add a Helm repository and search for available chart versions?	Use `helm repo add &lt;name&gt; &lt;url&gt;` to register a repo, then `helm repo update` to fetch the index. Search with `helm search repo &lt;keyword&gt;` for repo charts or `helm search hub &lt;keyword&gt;` for Artifact Hub. Use `--versions` flag to see all available versions, not just the latest.	training/interactive/knowledge/data/cards/helm.tsv
helm/010	helm	hard	helm, diff, upgrade	How does the helm-diff plugin help prevent unexpected changes during upgrades?	The helm-diff plugin (`helm diff upgrade &lt;release&gt; &lt;chart&gt;`) shows a colored diff of what would change between the current deployed release and the proposed upgrade, without applying anything. This is critical for catching unintended changes from upstream chart updates, value drift, or template logic changes. It compares rendered manifests, not live cluster state, so it may miss out-of-band modifications unless combined with --three-way-merge.	training/interactive/knowledge/data/cards/helm.tsv
