---
tags:
- linux
- l1
- flashcard-deck
- linux-systemd
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [systemd](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-systemd/0bf2bf7a1ecf	linux-systemd	medium	linux, systemd	How to start or stop a service?	To start a service: `systemctl start <service name>`\nTo stop a service: `systemctl stop <service name>`\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.\n\nExample: `systemctl restart nginx` = stop + start. `systemctl reload nginx` = send SIGHUP (re-read config without downtime).\n\nRemember: start/stop/restart affect running state. enable/disable affect boot state. They are independent axes.	projects/knowledge/interview/linux/172-how-to-start-or-stop-a-service.txt
linux-systemd/36d8ea84009c	linux-systemd	medium	linux, systemd, services, dependencies	WantedBy vs RequiredBy?	Both create dependencies when enabled.\n\n- WantedBy: soft dependency (`.wants`)\n- RequiredBy: hard dependency (`.requires`)\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.\n\nExample: WantedBy=multi-user.target means start this service when multi-user.target is reached — the most common boot target.\n\nRemember: WantedBy goes in [Install] section. Wants/Requires go in [Unit] section. Different contexts.	projects/knowledge/interview/linux/546-wantedby-vs-requiredby.txt
linux-systemd/640120b09c3c	linux-systemd	hard	linux, systemd, services, troubleshooting	A service starts manually but fails under systemd. What are the possible causes?	systemd runs services in a different execution context than interactive shells.\n\nCommon causes:\n\n1. Missing environment variables\n   - No ~/.bashrc, ~/.profile sourcing\n   - PATH may be minimal\n   - Custom vars not set\n   - Fix: Environment= or EnvironmentFile=\n\n2. No TTY\n   - Service has no controlling terminal\n   - Interactive prompts hang forever\n   - Fix: StandardInput=tty or redesign service\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.	projects/knowledge/interview/linux/507-service-manual-ok-systemd-fail.txt
linux-systemd/72baf2188b1d	linux-systemd	easy	linux, cron, systemd, scheduling	How do you schedule tasks periodically?	"Linux provides several tools for scheduling periodic tasks:\n\n1. cron - Traditional task scheduler\n   - Edit with: crontab -e\n   - Format: minute hour day month weekday command\n   - Example: 0 2 * * * /backup.sh (runs at 2 AM daily)\n   - System cron: /etc/crontab, /etc/cron.d/\n\n2. systemd timers - Modern alternative\n   - More flexible than cron\n   - Can depend on other units\n   - Better logging via journald\n\n3. at - One-time scheduled tasks\n   - Example: echo ""/backup.sh"" | at 2am tomorrow\n\n4. anacron - For machines not always on\n   - Runs missed jobs when system starts"	projects/knowledge/interview/linux/329-how-do-you-schedule-tasks-periodically.txt
linux-systemd/74c72b12554b	linux-systemd	medium	linux, system	systemd vs SysVinit - what matters operationally?	Key operational differences:\n\n* **Dependency graph**: systemd understands service dependencies; SysVinit uses numbered scripts\n* **Parallel startup**: systemd starts independent services concurrently; SysVinit is sequential\n* **Unit isolation**: systemd can sandbox services with cgroups, namespaces\n* **journald integration**: Structured logging vs scattered log files\n* **cgroups**: Resource limits and tracking built-in\n\nIt's easier to debug failures with `systemctl status` + `journalctl -u` than parsing rc scripts and scattered logs.\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.	projects/knowledge/interview/linux/447-systemd-vs-sysvinit-what-matters-operationally.txt
linux-systemd/9a132fca76b4	linux-systemd	medium	linux, system	How do you safely modify vendor unit files?	Never edit vendor unit files directly in `/usr/lib/systemd/system/`. Use overrides:\n\n```bash\nsystemctl edit myservice\n```\n\nThis creates `/etc/systemd/system/myservice.service.d/override.conf` where you can add or override directives.\n\nBenefits:\n* Keeps upgrades clean - package updates won't overwrite your changes\n* Changes are diffable and auditable\n* Easy to see what was customized vs stock\n* Can be managed by configuration management tools\n\nTo completely replace a unit, copy it to `/etc/systemd/system/` instead.\n\nRemember: Types: .service, .socket, .timer, .mount, .target. Most common: .service, .timer.	projects/knowledge/interview/linux/449-how-do-you-safely-modify-vendor-unit-files.txt
linux-systemd/a95de5273483	linux-systemd	easy	linux, control-flow, kernel, processes	What is systemd and how does it manage Linux services?	Systemd is a daemon (System 'd', d stands for daemon).\n\nA daemon is a program that runs in the background without direct control of the user, although the user can at any time\ntalk to the daemon.\n\nsystemd has many features such as user processes control/tracking, snapshot support, inhibitor locks..\n\nIf we visualize the unix/linux system in layers, systemd would fall directly after the linux kernel. \nHardware -> Kernel -> Daemons, System Libraries, Server Display.\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.\n\nName origin: The d in systemd stands for daemon. Lennart Poettering and Kay Sievers created it in 2010 for Fedora.\n\nRemember: systemd is PID 1 — the first process the kernel starts. It manages all other services.	projects/knowledge/interview/linux/171-what-is-systemd.txt
linux-systemd/b64b3e0af1f8	linux-systemd	easy	linux, systemd, troubleshooting, services	How do you debug a service that won't start?	Check status, logs, and the unit definition, then validate dependencies and runtime environment.\n- `systemctl status <svc>` for exit codes and recent log snippets.\n- `journalctl -u <svc> -e` for full logs and earlier failures.\n- `systemctl cat <svc>` to inspect unit file, overrides, and ExecStart.\n- `systemctl show -p Environment,WorkingDirectory,ExecStart <svc>` to confirm runtime settings.\n- Verify permissions, missing files, or port conflicts; reproduce with `ExecStart` manually if needed.\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.	projects/knowledge/interview/linux/545-debug-service-wont-start.txt
linux-systemd/bb3770c5ade3	linux-systemd	medium	linux, systemd, administration, production, safety	Explain the difference between systemd inhibitors, systemd-inhibit, and how to prevent accidental shutdowns in production.	"Inhibitors are systemd's mechanism to delay or block system power state changes.\n\nUsing systemd-inhibit:\n- `systemd-inhibit --what=shutdown --who=""maintenance"" --why=""Patching in progress"" sleep infinity`\n- Blocks shutdown/reboot until the process exits or is killed\n\nInhibitor targets (--what options):\n- shutdown - block poweroff/reboot\n- sleep - block suspend/hibernate\n- idle - block automatic idle action\n- handle-power-key - block power button action\n- handle-suspend-key - block suspend button"\n\nRemember: systemd: status, start/stop/restart, enable/disable, daemon-reload.\n\nGotcha: After editing unit files, always `daemon-reload` before restart.	projects/knowledge/interview/linux/512-systemd-inhibitors-prevent-shutdown.txt
linux-systemd/bb56b987569c	linux-systemd	easy	linux, logging, dmesg, journalctl, systemd	Explain the purpose of dmesg vs journalctl.	"Both show system logs but from different sources and with different scope.\n\ndmesg:\n- Reads the kernel ring buffer directly\n- Contains only kernel messages\n- Hardware detection, driver loading, kernel errors\n- Ring buffer = fixed size, older messages overwritten\n- Works without systemd\n- Command: `dmesg`, `dmesg -T` (human timestamps), `dmesg -w` (follow)\n- Useful for: boot issues, hardware problems, driver errors"\n\nExample: `journalctl -u nginx --since '1 hour ago'`. `-f`=follow, `-p err`=filter.\n\nRemember: journalctl = systemd log viewer. Binary format, fast, needs journalctl to read.	projects/knowledge/interview/linux/528-dmesg-vs-journalctl.txt
