What is the standard three-command diagnostic flow when a pod is misbehaving?	1) kubectl describe pod <pod> — check Events, conditions, and container state. 2) kubectl logs <pod> [-c container] [--previous] — read application stdout/stderr. 3) kubectl get events --field-selector involvedObject.name=<pod> — see cluster-level events. This describe-logs-events flow covers 90% of initial triage.	k8s-advanced-ops easy kubernetes events troubleshooting
A Service has no endpoints even though pods are running. What do you check?	kubectl get endpoints <svc> shows empty. Compare kubectl get svc <svc> -o wide selector labels against kubectl get pods --show-labels. A mismatch between the Service selector and pod labels is the most common cause. Also verify pods are in the same namespace as the Service and that pods are Ready (readiness probe passing).	k8s-advanced-ops easy kubernetes selectors service troubleshooting
Pods are being evicted with the message 'The node was low on resource: ephemeral-storage'. What is happening?	Kubelet's eviction manager detected ephemeral storage usage exceeding the threshold (default ~85%). It evicts pods in order of priority and usage. Check node conditions: kubectl describe node <node> | grep -A 5 Conditions. Clean up: remove unused images (crictl rmi --prune), check for pods writing large files to emptyDir, and set resource limits on ephemeral-storage in pod specs.	k8s-advanced-ops medium kubernetes node-pressure eviction
A container is OOMKilled but the application memory profiler shows usage well below the limit. Why?	The OOM limit applies to the entire cgroup, not just heap. It includes RSS, page cache, tmpfs mounts, and child processes. Also, the JVM or runtime may allocate off-heap memory (NIO buffers, thread stacks). Check kubectl describe pod for the exact Last State OOMKilled exit code 137 and compare against the actual RSS with cat /sys/fs/cgroup/memory/memory.usage_in_bytes inside the container.	k8s-advanced-ops medium kubernetes resources limits oomkilled
What is the difference between resource requests and limits, and which one affects scheduling?	Requests are guaranteed resources the scheduler uses for bin-packing — a pod is scheduled only if a node has enough allocatable capacity for the request. Limits are the max the container can use; exceeding CPU limits causes throttling, exceeding memory limits causes OOMKill. Best practice: set requests close to actual usage and limits as a safety ceiling.	k8s-advanced-ops easy kubernetes resources requests scheduling
HPA keeps scaling to max replicas even when average CPU is low. What could cause this?	1) One pod is spiking and the average is skewed by replica count. 2) The metric source is wrong (using total CPU instead of per-pod average). 3) Readiness probe failures cause fewer ready pods, inflating per-pod averages. 4) A recent deploy created pods that are initializing and consuming startup CPU. Check kubectl describe hpa and kubectl top pods to correlate.	k8s-advanced-ops medium kubernetes hpa scaling
You try to drain a node but it hangs. kubectl drain shows 'evicting pod ... Cannot evict pod as it would violate the pod's disruption budget'. How do you proceed?	A PodDisruptionBudget (PDB) is blocking eviction because draining would reduce available replicas below minAvailable or above maxUnavailable. Options: 1) Scale up the deployment first so draining one node stays within budget. 2) Check if another node already has disrupted pods. 3) As a last resort, delete the PDB temporarily (kubectl delete pdb <name>), drain, then recreate it.	k8s-advanced-ops medium kubernetes pdb disruption
You deploy an Envoy sidecar with your app container. After a rolling update, requests fail for a few seconds. What is the likely cause and how do you fix it?	The app container starts receiving traffic before the Envoy sidecar is ready (race condition). Fix: 1) Use a startup/readiness probe on the sidecar. 2) In Kubernetes 1.28+, use the native sidecar feature (restartPolicy: Always in initContainers) which guarantees sidecar readiness before the main container starts. 3) Alternatively, add a postStart lifecycle hook that polls the sidecar's health endpoint.	k8s-advanced-ops hard kubernetes sidecar pattern
You create a resource but cannot find it with kubectl get. What namespace-related mistakes should you check?	1) The resource was created in a different namespace — always use -n <ns> or --all-namespaces. 2) Your kubeconfig context has a default namespace set that differs from where the resource lives. 3) The resource is cluster-scoped (e.g., ClusterRole, PV, Node) and does not appear with -n. Check with kubectl api-resources --namespaced=false. 4) RBAC may hide resources you lack permission to list.	k8s-advanced-ops medium kubernetes namespace troubleshooting
Pods from the same Deployment keep landing on the same node, causing a single point of failure. How do you spread them across nodes?	Use pod topology spread constraints: topologySpreadConstraints with topologyKey: kubernetes.io/hostname, maxSkew: 1, and whenUnsatisfiable: DoNotSchedule. Alternatively, use pod anti-affinity with requiredDuringSchedulingIgnoredDuringExecution matching the app label. Topology spread constraints are more flexible than anti-affinity because they allow fine-grained skew control across zones and nodes.	k8s-advanced-ops hard kubernetes scheduling affinity topology
