---
tags:
- k8s
- l1
- flashcard-deck
- k8s-workloads
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Pods & Scheduling](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-workloads/01e0e458f341	k8s-workloads	easy	k8s-workloads, daemonset, pod	What are Daemon sets?	A DaemonSet is a set of pods that runs only once on a host. They are used for host layer attributes like a network or for monitoring a network, which you may not need to run on a host more than once. DaemonSets ensure that all (or some) nodes run a copy of a pod.\n\nRemember: Workload hierarchy: Deployment/StatefulSet/DaemonSet→ReplicaSet→Pod.\n\nGotcha: Use `kubectl explain <resource>` for field reference without leaving the CLI.	projects/knowledge/interview/kubernetes/391-what-are-daemon-sets.txt
k8s-workloads/024ec534efb9	k8s-workloads	hard	k8s-workloads, deployment, pod	How does Kubernetes handle rolling back a deployment?	* Rolling Back a Deployment: Kubernetes allows rolling back a deployment to a previous revision.\n* Users can use the kubectl rollout undo command to revert to a previous version of the deployment.\n* The rollout mechanism gradually replaces new pods with the older version, ensuring a controlled rollback.\n* Rolling back a deployment in Kubernetes involves undoing a previous rollout. Kubernetes ensures a smooth transition by gradually replacing new pods with the older version, maintaining the availability of the application throughout the rollback process.	projects/knowledge/interview/kubernetes/339-how-does-kubernetes-handle-rolling-back-a-deployme.txt
k8s-workloads/04bebbd3a935	k8s-workloads	easy	k8s-workloads, replicaset, pod	How to check which container image was used as part of replica set called "repli"?	`kubectl describe rs repli | grep -i image` shows the container image used by the ReplicaSet. You can also use `kubectl get rs repli -o jsonpath='{.spec.template.spec.containers[*].image}'` for a clean output. \nGotcha: always use specific image tags (nginx:1.25.3) in production — the 'latest' tag is mutable and can change unexpectedly.	projects/knowledge/interview/kubernetes/144-how-to-check-which-container-image-was-used-as-par.txt
k8s-workloads/057136909d7b	k8s-workloads	medium	k8s-workloads, deployment, statefulset, pod	What's the difference between a Deployment and a StatefulSet?	Deployment: suited for stateless pods, pods are interchangeable and get recreated at will. StatefulSet: suited for stateful pods, each pod gets a persistent identity (name, storage) and ordering guarantees (e.g., only one pod starts at a time) – use it when each instance needs stable identity or storage (like databases).\n\nRemember: Deployment > ReplicaSet > Pod. Three layers for declarative management.\n\nExample: `kubectl create deployment web --image=nginx:1.25 --replicas=3 --port=80`	projects/knowledge/interview/kubernetes/421-deployment-vs-statefulset.txt
k8s-workloads/0b95821d7a3d	k8s-workloads	medium	k8s-workloads, job, cronjob	Explain what is CronJob and what is it used for	A CronJob creates Jobs on a repeating schedule. One CronJob object is like one line of a crontab (cron table) file. It runs a job periodically on a given schedule, written in Cron format.\n\nRemember: CronJob = Job on schedule. Fields: minute hour day month weekday. "MHDMW."\n\nGotcha: `concurrencyPolicy: Forbid` prevents overlap. Default allows multiple Jobs.	projects/knowledge/interview/kubernetes/235-explain-what-is-cronjob-and-what-is-it-used-for.txt
k8s-workloads/0c54e7fee7ae	k8s-workloads	medium	k8s-workloads, deployment, replicaset	Create a deployment called "pluck" using the image "redis" and make sure it runs 5 replicas	`kubectl create deployment pluck --image=redis`\n\n`kubectl scale deployment pluck --replicas=5`\n\nExample: `kubectl create deployment web --image=nginx --replicas=3 --port=80`\n\nRemember: Deployments manage ReplicaSets→Pods. `kubectl rollout` for updates.	projects/knowledge/interview/kubernetes/086-create-a-deployment-called-pluck-using-the-image-r.txt
k8s-workloads/14f744175322	k8s-workloads	hard	k8s-workloads, job, cronjob	What possible issue can arise from using the following spec and how to fix it?	If the cron job fails, the next job will not replace the previous one due to the "concurrencyPolicy" value which is "Allow". It will keep spawning new jobs and so eventually the system will be filled with failed cron jobs.\nTo avoid such problem, the "concurrencyPolicy" value should be either "Replace" or "Forbid".\n\nRemember: Workload hierarchy: Deployment/StatefulSet/DaemonSet→ReplicaSet→Pod.\n\nGotcha: Use `kubectl explain <resource>` for field reference without leaving the CLI.	projects/knowledge/interview/kubernetes/236-what-possible-issue-can-arise-from-using-the-follo.txt
k8s-workloads/1a5a7cdf64ad	k8s-workloads	easy	k8s-workloads, replicaset, pod, lifecycle	What is the purpose of Horizontal Pod Autoscaling in Kubernetes?	**Horizontal Pod Autoscaling (HPA):**\n* Automatically adjusts the number of pod replicas based on observed metrics, such as CPU utilization or custom metrics.\n* Ensures optimal resource utilization and responsiveness.\n* Helps maintain a balance between application performance and resource efficiency.\n* HPA allows Kubernetes to dynamically scale the number of pod replicas in response to changing demand. By automatically adjusting the replica count based on specified metrics, * HPA ensures that applications can efficiently handle varying workloads without manual intervention.\n\nRemember: Workload hierarchy: Deployment/StatefulSet/DaemonSet→ReplicaSet→Pod.\n\nGotcha: Use `kubectl explain <resource>` for field reference without leaving the CLI.	projects/knowledge/interview/kubernetes/323-what-is-the-purpose-of-horizontal-pod-autoscaling-.txt
k8s-workloads/1c358b866ed9	k8s-workloads	easy	k8s-workloads, replicaset, deployment	How to delete a replica set called "rori"?	`kubectl delete rs rori` removes the ReplicaSet and all pods it manages. The workload hierarchy is: Deployment -> ReplicaSet -> Pod. \nGotcha: if the ReplicaSet was created by a Deployment, the Deployment will immediately recreate it. Delete the parent Deployment instead to fully remove the workload.	projects/knowledge/interview/kubernetes/146-how-to-delete-a-replica-set-called-rori.txt
k8s-workloads/243a5ed1e01f	k8s-workloads	easy	k8s-workloads, job, cronjob, pod	What is the difference between a Job and a CronJob in Kubernetes?	* Job: A Job in Kubernetes runs a pod to completion and then terminates.\n* It is used for short-lived, batch-style processes, ensuring that the task is executed once successfully.\n* CronJob: A CronJob is a higher-level abstraction that schedules jobs at specified intervals using cron expressions.\n* It is suitable for recurring, automated tasks that need to run periodically.\n* While Jobs are designed for one-time execution of tasks, CronJobs provide a scheduling mechanism for recurring tasks.\n\nRemember: CronJob = Job on schedule. Fields: minute hour day month weekday. "MHDMW."\n\nGotcha: `concurrencyPolicy: Forbid` prevents overlap. Default allows multiple Jobs.	projects/knowledge/interview/kubernetes/338-what-is-the-difference-between-a-job-and-a-cronjob.txt
